Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,3.9750,3.9830,3.9680,3.9780,100076
2022-12-01 00:05:00,3.9780,3.9880,3.9780,3.9860,69762
2022-12-01 00:10:00,3.9870,3.9980,3.9810,3.9970,191348
2022-12-01 00:15:00,3.9980,3.9980,3.9880,3.9890,163700
2022-12-01 00:20:00,3.9890,3.9920,3.9810,3.9910,101694
2022-12-01 00:25:00,3.9920,3.9920,3.9800,3.9830,55936
2022-12-01 00:30:00,3.9840,3.9890,3.9660,3.9720,155943
2022-12-01 00:35:00,3.9730,3.9850,3.9650,3.9650,150333
2022-12-01 00:40:00,3.9650,3.9670,3.9430,3.9460,531834
2022-12-01 00:45:00,3.9460,3.9600,3.9270,3.9420,647455
2022-12-01 00:50:00,3.9410,3.9520,3.9350,3.9420,169216
2022-12-01 00:55:00,3.9420,3.9530,3.9410,3.9470,152353
2022-12-01 01:00:00,3.9470,3.9580,3.9440,3.9540,175386
2022-12-01 01:05:00,3.9550,3.9630,3.9480,3.9570,144601
2022-12-01 01:10:00,3.9560,3.9590,3.9450,3.9480,56450
2022-12-01 01:15:00,3.9490,3.9630,3.9420,3.9580,135041
2022-12-01 01:20:00,3.9580,3.9600,3.9470,3.9470,63791
2022-12-01 01:25:00,3.9470,3.9640,3.9470,3.9630,140737
2022-12-01 01:30:00,3.9620,3.9750,3.9610,3.9680,164716
2022-12-01 01:35:00,3.9680,3.9690,3.9600,3.9670,65360
2022-12-01 01:40:00,3.9660,3.9690,3.9560,3.9680,67762
2022-12-01 01:45:00,3.9680,3.9680,3.9610,3.9620,47969
2022-12-01 01:50:00,3.9610,3.9650,3.9610,3.9630,43417
2022-12-01 01:55:00,3.9630,3.9630,3.9460,3.9500,113102
2022-12-01 02:00:00,3.9490,3.9540,3.9350,3.9380,138487
2022-12-01 02:05:00,3.9380,3.9400,3.9280,3.9320,109335
2022-12-01 02:10:00,3.9320,3.9350,3.9260,3.9280,141539
2022-12-01 02:15:00,3.9270,3.9420,3.9170,3.9410,261253
2022-12-01 02:20:00,3.9410,3.9410,3.9320,3.9320,76819
2022-12-01 02:25:00,3.9320,3.9410,3.9310,3.9410,75630
2022-12-01 02:30:00,3.9400,3.9420,3.9260,3.9280,85274
2022-12-01 02:35:00,3.9280,3.9440,3.9260,3.9430,107277
2022-12-01 02:40:00,3.9440,3.9450,3.9370,3.9410,71302
2022-12-01 02:45:00,3.9420,3.9490,3.9390,3.9470,84399
2022-12-01 02:50:00,3.9480,3.9500,3.9300,3.9350,82534
2022-12-01 02:55:00,3.9350,3.9400,3.9270,3.9280,128212
2022-12-01 03:00:00,3.9280,3.9510,3.9220,3.9490,164236
2022-12-01 03:05:00,3.9490,3.9560,3.9340,3.9340,130140
2022-12-01 03:10:00,3.9350,3.9480,3.9320,3.9480,115471
2022-12-01 03:15:00,3.9470,3.9640,3.9400,3.9610,116275
2022-12-01 03:20:00,3.9600,3.9660,3.9570,3.9590,290280
2022-12-01 03:25:00,3.9590,3.9650,3.9570,3.9620,87657
2022-12-01 03:30:00,3.9620,3.9630,3.9540,3.9560,72315
2022-12-01 03:35:00,3.9550,3.9670,3.9510,3.9640,121128
2022-12-01 03:40:00,3.9640,3.9660,3.9600,3.9650,54447
2022-12-01 03:45:00,3.9640,3.9750,3.9580,3.9620,145731
2022-12-01 03:50:00,3.9620,3.9640,3.9500,3.9510,129515
2022-12-01 03:55:00,3.9510,3.9530,3.9410,3.9520,166099
2022-12-01 04:00:00,3.9520,3.9610,3.9350,3.9350,506041
2022-12-01 04:05:00,3.9360,3.9380,3.9320,3.9320,72492
2022-12-01 04:10:00,3.9330,3.9400,3.9320,3.9330,72325
2022-12-01 04:15:00,3.9320,3.9480,3.9290,3.9470,126192
2022-12-01 04:20:00,3.9460,3.9470,3.9370,3.9390,41340
2022-12-01 04:25:00,3.9390,3.9430,3.9340,3.9410,51791
2022-12-01 04:30:00,3.9420,3.9420,3.9300,3.9360,64846
2022-12-01 04:35:00,3.9350,3.9460,3.9350,3.9460,39435
2022-12-01 04:40:00,3.9450,3.9570,3.9440,3.9520,89570
2022-12-01 04:45:00,3.9520,3.9550,3.9460,3.9500,43689
2022-12-01 04:50:00,3.9500,3.9520,3.9360,3.9390,85394
2022-12-01 04:55:00,3.9380,3.9450,3.9360,3.9440,72198
2022-12-01 05:00:00,3.9430,3.9440,3.9300,3.9360,141882
2022-12-01 05:05:00,3.9370,3.9400,3.9320,3.9380,64373
2022-12-01 05:10:00,3.9380,3.9400,3.9330,3.9370,73522
2022-12-01 05:15:00,3.9360,3.9360,3.9310,3.9330,36693
2022-12-01 05:20:00,3.9330,3.9370,3.9300,3.9310,69018
2022-12-01 05:25:00,3.9310,3.9410,3.9300,3.9350,158444
2022-12-01 05:30:00,3.9340,3.9460,3.9330,3.9390,91513
2022-12-01 05:35:00,3.9390,3.9400,3.9310,3.9340,47283
2022-12-01 05:40:00,3.9340,3.9380,3.9310,3.9370,43161
2022-12-01 05:45:00,3.9370,3.9370,3.9250,3.9310,74612
2022-12-01 05:50:00,3.9300,3.9400,3.9300,3.9350,71201
2022-12-01 05:55:00,3.9360,3.9370,3.9250,3.9300,83075
2022-12-01 06:00:00,3.9290,3.9290,3.9060,3.9150,323394
2022-12-01 06:05:00,3.9140,3.9280,3.9100,3.9240,125644
2022-12-01 06:10:00,3.9250,3.9360,3.9220,3.9350,111805
2022-12-01 06:15:00,3.9350,3.9420,3.9290,3.9420,133122
2022-12-01 06:20:00,3.9410,3.9450,3.9330,3.9370,95651
2022-12-01 06:25:00,3.9380,3.9470,3.9300,3.9460,193787
2022-12-01 06:30:00,3.9460,3.9520,3.9380,3.9460,169729
2022-12-01 06:35:00,3.9450,3.9590,3.9450,3.9570,167145
2022-12-01 06:40:00,3.9580,3.9640,3.9520,3.9560,240175
2022-12-01 06:45:00,3.9560,3.9720,3.9560,3.9670,214357
2022-12-01 06:50:00,3.9660,3.9830,3.9630,3.9810,231840
2022-12-01 06:55:00,3.9810,3.9810,3.9720,3.9760,140773
2022-12-01 07:00:00,3.9760,3.9930,3.9740,3.9800,334222
2022-12-01 07:05:00,3.9800,3.9830,3.9650,3.9650,195612
2022-12-01 07:10:00,3.9650,3.9860,3.9650,3.9750,205726
2022-12-01 07:15:00,3.9750,3.9800,3.9610,3.9620,231737
2022-12-01 07:20:00,3.9630,3.9650,3.9560,3.9620,141489
2022-12-01 07:25:00,3.9610,3.9620,3.9500,3.9620,115846
2022-12-01 07:30:00,3.9630,3.9830,3.9620,3.9740,203393
2022-12-01 07:35:00,3.9740,3.9740,3.9630,3.9670,71949
2022-12-01 07:40:00,3.9670,3.9750,3.9620,3.9670,135560
2022-12-01 07:45:00,3.9660,3.9660,3.9560,3.9640,106889
2022-12-01 07:50:00,3.9630,3.9700,3.9630,3.9660,61570
2022-12-01 07:55:00,3.9650,3.9760,3.9650,3.9670,71951
2022-12-01 08:00:00,3.9670,3.9670,3.9580,3.9650,86861
2022-12-01 08:05:00,3.9650,3.9820,3.9610,3.9820,110374
2022-12-01 08:10:00,3.9810,3.9830,3.9650,3.9720,159872
2022-12-01 08:15:00,3.9710,3.9720,3.9570,3.9600,114617
2022-12-01 08:20:00,3.9600,3.9720,3.9550,3.9710,113947
