Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,1.5280,1.5320,1.5070,1.5220,191445.0
2022-12-01 01:00:00,1.5210,1.5300,1.5190,1.5280,96091.9
2022-12-01 02:00:00,1.5280,1.5280,1.5160,1.5180,100473.3
2022-12-01 03:00:00,1.5180,1.5210,1.5140,1.5150,147938.1
2022-12-01 04:00:00,1.5150,1.5180,1.4890,1.5040,404660.0
2022-12-01 05:00:00,1.5040,1.5040,1.4900,1.4940,216549.9
2022-12-01 06:00:00,1.4930,1.5020,1.4840,1.4960,322226.0
2022-12-01 07:00:00,1.4970,1.5080,1.4870,1.5070,432596.4
2022-12-01 08:00:00,1.5060,1.5760,1.4890,1.5030,3317045.6
2022-12-01 09:00:00,1.5040,1.5040,1.4800,1.4960,869147.5
2022-12-01 10:00:00,1.4960,1.4980,1.4460,1.4770,1204608.1
2022-12-01 11:00:00,1.4770,1.4840,1.4610,1.4720,332710.5
2022-12-01 12:00:00,1.4730,1.4800,1.4610,1.4740,207165.5
2022-12-01 13:00:00,1.4750,1.4780,1.4690,1.4720,134324.3
2022-12-01 14:00:00,1.4730,1.4760,1.4670,1.4720,121278.7
2022-12-01 15:00:00,1.4710,1.4750,1.4650,1.4660,107699.4
2022-12-01 16:00:00,1.4670,1.4750,1.4600,1.4710,124446.0
2022-12-01 17:00:00,1.4700,1.4770,1.4680,1.4720,147807.3
2022-12-01 18:00:00,1.4720,1.4780,1.4610,1.4760,129573.0
2022-12-01 19:00:00,1.4760,1.4970,1.4720,1.4930,211082.1
2022-12-01 20:00:00,1.4920,1.4950,1.4660,1.4820,214871.3
2022-12-01 21:00:00,1.4820,1.4860,1.4600,1.4850,212658.0
2022-12-01 22:00:00,1.4850,1.4910,1.4830,1.4870,126881.6
2022-12-01 23:00:00,1.4880,1.4900,1.4730,1.4850,139942.2
2022-12-02 00:00:00,1.4850,1.4920,1.4840,1.4900,87258.9
2022-12-02 01:00:00,1.4900,1.4950,1.4820,1.4820,96335.7
2022-12-02 02:00:00,1.4820,1.4890,1.4800,1.4800,118183.4
2022-12-02 03:00:00,1.4800,1.4890,1.4800,1.4870,87465.9
2022-12-02 04:00:00,1.4870,1.4960,1.4860,1.4910,65386.4
2022-12-02 05:00:00,1.4920,1.5060,1.4920,1.5040,152200.3
2022-12-02 06:00:00,1.5050,1.5050,1.4910,1.4910,157009.3
2022-12-02 07:00:00,1.4910,1.5050,1.4900,1.5000,229555.4
2022-12-02 08:00:00,1.5010,1.5010,1.4530,1.4760,542728.9
2022-12-02 09:00:00,1.4750,1.4860,1.4670,1.4820,178227.8
2022-12-02 10:00:00,1.4820,1.4920,1.4790,1.4860,145588.8
