Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,9.485,9.507,9.471,9.504,16399.6
2022-12-01 00:15:00,9.504,9.518,9.480,9.487,10775.2
2022-12-01 00:30:00,9.485,9.494,9.394,9.417,32211.6
2022-12-01 00:45:00,9.417,9.452,9.375,9.446,22428.6
2022-12-01 01:00:00,9.448,9.485,9.447,9.468,22740.2
2022-12-01 01:15:00,9.467,9.484,9.452,9.462,16175.0
2022-12-01 01:30:00,9.463,9.516,9.463,9.507,24615.2
2022-12-01 01:45:00,9.506,9.520,9.489,9.502,16146.4
2022-12-01 02:00:00,9.503,9.503,9.460,9.470,12940.9
2022-12-01 02:15:00,9.471,9.505,9.466,9.497,10761.1
2022-12-01 02:30:00,9.494,9.494,9.457,9.475,15846.4
2022-12-01 02:45:00,9.475,9.476,9.450,9.454,7261.3
2022-12-01 03:00:00,9.455,9.486,9.441,9.454,21288.8
2022-12-01 03:15:00,9.450,9.478,9.444,9.466,9485.5
2022-12-01 03:30:00,9.463,9.493,9.463,9.491,8149.6
2022-12-01 03:45:00,9.490,9.512,9.483,9.496,10986.6
2022-12-01 04:00:00,9.495,9.497,9.463,9.467,10990.3
2022-12-01 04:15:00,9.466,9.472,9.428,9.437,13859.3
2022-12-01 04:30:00,9.437,9.453,9.424,9.444,9999.5
2022-12-01 04:45:00,9.444,9.463,9.441,9.448,12322.3
2022-12-01 05:00:00,9.448,9.480,9.440,9.447,18071.4
2022-12-01 05:15:00,9.446,9.446,9.343,9.368,74650.6
2022-12-01 05:30:00,9.366,9.403,9.365,9.386,43538.7
2022-12-01 05:45:00,9.386,9.400,9.357,9.363,16484.8
2022-12-01 06:00:00,9.362,9.371,9.344,9.356,26869.7
2022-12-01 06:15:00,9.356,9.356,9.300,9.314,37003.4
2022-12-01 06:30:00,9.314,9.358,9.313,9.353,25850.3
2022-12-01 06:45:00,9.353,9.389,9.345,9.378,24058.6
2022-12-01 07:00:00,9.380,9.434,9.379,9.414,36972.3
2022-12-01 07:15:00,9.415,9.429,9.389,9.400,21955.2
2022-12-01 07:30:00,9.400,9.456,9.390,9.453,46475.9
2022-12-01 07:45:00,9.452,9.561,9.448,9.532,83695.3
2022-12-01 08:00:00,9.533,9.800,9.502,9.727,129669.1
2022-12-01 08:15:00,9.726,9.880,9.577,9.594,194238.0
2022-12-01 08:30:00,9.594,9.628,9.506,9.533,95326.7
2022-12-01 08:45:00,9.533,9.535,9.330,9.452,119597.5
2022-12-01 09:00:00,9.451,9.561,9.414,9.518,54500.4
2022-12-01 09:15:00,9.519,9.532,9.392,9.407,88998.8
2022-12-01 09:30:00,9.407,9.483,9.396,9.463,32783.7
2022-12-01 09:45:00,9.463,9.544,9.463,9.493,36072.3
2022-12-01 10:00:00,9.494,9.522,9.294,9.311,75887.8
