Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,9.485,9.518,9.375,9.446,81815.0
2022-12-01 01:00:00,9.448,9.520,9.447,9.502,79676.8
2022-12-01 02:00:00,9.503,9.505,9.450,9.454,46809.7
2022-12-01 03:00:00,9.455,9.512,9.441,9.496,49910.5
2022-12-01 04:00:00,9.495,9.497,9.424,9.448,47171.4
2022-12-01 05:00:00,9.448,9.480,9.343,9.363,152745.5
2022-12-01 06:00:00,9.362,9.389,9.300,9.378,113782.0
2022-12-01 07:00:00,9.380,9.561,9.379,9.532,189098.7
2022-12-01 08:00:00,9.533,9.880,9.330,9.452,538831.3
2022-12-01 09:00:00,9.451,9.561,9.392,9.493,212355.2
2022-12-01 10:00:00,9.494,9.522,9.273,9.490,212146.8
2022-12-01 11:00:00,9.492,9.493,9.367,9.391,95374.7
2022-12-01 12:00:00,9.392,9.486,9.373,9.429,97527.8
2022-12-01 13:00:00,9.427,9.434,9.376,9.391,82367.1
2022-12-01 14:00:00,9.392,9.423,9.359,9.375,43108.0
2022-12-01 15:00:00,9.374,9.398,9.341,9.352,50109.2
2022-12-01 16:00:00,9.353,9.372,9.286,9.355,53423.3
2022-12-01 17:00:00,9.354,9.408,9.346,9.351,42435.6
2022-12-01 18:00:00,9.351,9.407,9.259,9.404,89094.6
2022-12-01 19:00:00,9.403,9.455,9.322,9.448,99875.3
2022-12-01 20:00:00,9.447,9.482,9.307,9.389,85486.2
2022-12-01 21:00:00,9.391,9.404,9.235,9.309,106119.6
2022-12-01 22:00:00,9.309,9.317,9.249,9.283,69211.6
2022-12-01 23:00:00,9.281,9.325,9.181,9.316,80083.3
2022-12-02 00:00:00,9.317,9.337,9.303,9.321,36623.6
2022-12-02 01:00:00,9.315,9.336,9.290,9.294,44362.5
2022-12-02 02:00:00,9.295,9.372,9.290,9.346,39166.5
2022-12-02 03:00:00,9.343,9.398,9.318,9.395,51485.6
2022-12-02 04:00:00,9.394,9.460,9.369,9.399,84164.0
2022-12-02 05:00:00,9.399,9.596,9.392,9.512,178721.6
2022-12-02 06:00:00,9.515,9.516,9.429,9.449,93185.5
2022-12-02 07:00:00,9.449,9.489,9.388,9.439,107662.7
2022-12-02 08:00:00,9.438,9.453,9.227,9.389,169030.3
2022-12-02 09:00:00,9.390,9.393,9.310,9.379,79567.5
2022-12-02 10:00:00,9.379,9.414,9.363,9.390,56999.8
2022-12-02 11:00:00,9.389,9.394,9.321,9.376,64624.7
2022-12-02 12:00:00,9.375,9.417,9.354,9.374,43343.0
2022-12-02 13:00:00,9.374,9.398,9.357,9.379,41961.3
2022-12-02 14:00:00,9.379,9.456,9.356,9.442,46204.0
2022-12-02 15:00:00,9.442,9.490,9.428,9.472,61118.5
2022-12-02 16:00:00,9.472,9.534,9.469,9.512,55235.8
2022-12-02 17:00:00,9.514,9.567,9.509,9.538,40664.5
2022-12-02 18:00:00,9.540,9.608,9.538,9.550,65355.4
2022-12-02 19:00:00,9.554,9.613,9.491,9.564,130970.3
2022-12-02 20:00:00,9.557,9.599,9.503,9.505,91054.9
2022-12-02 21:00:00,9.505,9.535,9.457,9.473,61261.9
2022-12-02 22:00:00,9.474,9.527,9.459,9.476,65786.1
2022-12-02 23:00:00,9.475,9.485,9.424,9.424,42457.5
2022-12-03 00:00:00,9.424,9.477,9.424,9.453,38693.9
2022-12-03 01:00:00,9.453,9.472,9.362,9.382,66852.2
2022-12-03 02:00:00,9.379,9.383,9.315,9.336,52663.7
2022-12-03 03:00:00,9.338,9.387,9.324,9.334,70239.3
2022-12-03 04:00:00,9.334,9.349,9.313,9.347,51031.7
2022-12-03 05:00:00,9.346,9.347,9.311,9.313,51212.9
2022-12-03 06:00:00,9.314,9.352,9.301,9.331,68923.0
2022-12-03 07:00:00,9.331,9.364,9.316,9.336,50780.1
2022-12-03 08:00:00,9.336,9.361,9.321,9.352,46132.9
2022-12-03 09:00:00,9.352,9.352,9.301,9.332,66657.6
2022-12-03 10:00:00,9.332,9.430,9.313,9.388,69198.9
2022-12-03 11:00:00,9.388,9.416,9.291,9.306,81061.6
2022-12-03 12:00:00,9.306,9.367,9.298,9.363,51857.7
2022-12-03 13:00:00,9.362,9.365,9.271,9.282,60848.1
2022-12-03 14:00:00,9.282,9.287,9.244,9.267,37833.6
2022-12-03 15:00:00,9.265,9.279,9.232,9.233,27559.5
2022-12-03 16:00:00,9.234,9.267,9.220,9.263,39843.1
2022-12-03 17:00:00,9.262,9.265,9.111,9.199,117825.8
2022-12-03 18:00:00,9.199,9.211,9.141,9.171,61588.0
2022-12-03 19:00:00,9.171,9.225,9.160,9.196,64155.9
2022-12-03 20:00:00,9.195,9.239,9.171,9.197,46159.9
2022-12-03 21:00:00,9.198,9.235,9.183,9.220,30648.6
2022-12-03 22:00:00,9.221,9.233,9.200,9.208,29516.1
2022-12-03 23:00:00,9.207,9.247,9.196,9.236,40411.3
2022-12-04 00:00:00,9.238,9.297,9.238,9.267,65535.3
2022-12-04 01:00:00,9.266,9.308,9.256,9.258,44279.1
2022-12-04 02:00:00,9.258,9.272,9.208,9.222,41180.8
2022-12-04 03:00:00,9.220,9.249,9.175,9.229,54613.7
2022-12-04 04:00:00,9.227,9.229,9.178,9.180,56663.4
2022-12-04 05:00:00,9.178,9.204,9.140,9.182,66652.2
2022-12-04 06:00:00,9.183,9.204,9.131,9.164,55065.8
2022-12-04 07:00:00,9.164,9.179,9.149,9.174,43944.5
2022-12-04 08:00:00,9.175,9.201,9.156,9.190,38793.4
2022-12-04 09:00:00,9.188,9.212,9.124,9.212,58771.4
2022-12-04 10:00:00,9.213,9.224,9.174,9.194,46586.5
2022-12-04 11:00:00,9.195,9.247,9.185,9.214,61823.8
2022-12-04 12:00:00,9.214,9.269,9.199,9.259,44594.7
2022-12-04 13:00:00,9.259,9.290,9.243,9.250,64254.5
2022-12-04 14:00:00,9.252,9.271,9.225,9.237,35098.4
2022-12-04 15:00:00,9.237,9.268,9.237,9.243,37269.9
2022-12-04 16:00:00,9.244,9.253,9.220,9.223,39933.8
2022-12-04 17:00:00,9.222,9.249,9.211,9.222,27333.6
2022-12-04 18:00:00,9.225,9.381,9.199,9.286,144337.4
2022-12-04 19:00:00,9.285,9.322,9.245,9.307,112300.2
2022-12-04 20:00:00,9.309,9.375,9.288,9.349,59976.8
2022-12-04 21:00:00,9.357,9.376,9.291,9.309,77530.8
2022-12-04 22:00:00,9.309,9.372,9.303,9.316,56514.5
2022-12-04 23:00:00,9.314,9.436,9.314,9.419,72882.8
2022-12-05 00:00:00,9.419,9.472,9.349,9.423,145209.5
2022-12-05 01:00:00,9.420,9.439,9.381,9.396,62024.6
2022-12-05 02:00:00,9.393,9.409,9.330,9.377,60338.5
2022-12-05 03:00:00,9.375,9.462,9.374,9.442,113887.1
2022-12-05 04:00:00,9.442,9.442,9.329,9.351,108697.2
2022-12-05 05:00:00,9.352,9.357,9.307,9.339,49139.5
2022-12-05 06:00:00,9.338,9.348,9.308,9.322,40049.8
2022-12-05 07:00:00,9.321,9.323,9.247,9.268,104250.0
2022-12-05 08:00:00,9.268,9.290,9.225,9.253,57158.5
2022-12-05 09:00:00,9.252,9.313,9.225,9.257,71028.8
2022-12-05 10:00:00,9.257,9.257,9.160,9.245,116380.3
2022-12-05 11:00:00,9.245,9.280,9.201,9.214,85284.4
