Date,Open,High,Low,Close,Volume
2022-12-01 03:00:00,10.355,10.439,10.331,10.435,596757.22
2022-12-01 07:00:00,10.436,10.511,10.127,10.258,2325213.01
2022-12-01 11:00:00,10.259,10.286,10.166,10.202,880575.72
2022-12-01 15:00:00,10.202,10.288,10.132,10.266,709162.59
2022-12-01 19:00:00,10.266,10.373,10.114,10.181,1159693.32
2022-12-01 23:00:00,10.181,10.258,10.110,10.206,677692.53
2022-12-02 03:00:00,10.206,10.352,10.194,10.316,768732.15
2022-12-02 07:00:00,10.316,10.341,10.120,10.228,1314207.49
2022-12-02 11:00:00,10.227,10.320,10.187,10.318,594558.99
2022-12-02 15:00:00,10.317,10.382,10.283,10.360,714019.12
2022-12-02 19:00:00,10.360,10.411,10.200,10.219,1126394.51
2022-12-02 23:00:00,10.218,10.253,10.153,10.186,534657.87
2022-12-03 03:00:00,10.186,10.237,10.135,10.215,505353.49
2022-12-03 07:00:00,10.216,10.247,10.182,10.236,511158.42
2022-12-03 11:00:00,10.236,10.300,10.176,10.214,518407.61
2022-12-03 15:00:00,10.214,10.237,9.967,10.013,935531.14
2022-12-03 19:00:00,10.014,10.141,10.013,10.093,524663.96
2022-12-03 23:00:00,10.093,10.177,10.085,10.100,606767.46
2022-12-04 03:00:00,10.100,10.134,10.046,10.059,510399.55
2022-12-04 07:00:00,10.058,10.146,10.054,10.143,467531.77
2022-12-04 11:00:00,10.144,10.234,10.130,10.223,778644.33
2022-12-04 15:00:00,10.223,10.284,10.196,10.249,664076.81
2022-12-04 19:00:00,10.248,10.485,10.238,10.442,1484217.66
2022-12-04 23:00:00,10.442,10.524,10.422,10.448,958888.28
2022-12-05 03:00:00,10.447,10.569,10.447,10.476,934627.67
2022-12-05 07:00:00,10.476,10.477,10.255,10.326,1286255.83
2022-12-05 11:00:00,10.325,10.449,10.139,10.218,1311977.19
2022-12-05 15:00:00,10.219,10.281,10.143,10.258,694727.97
2022-12-05 19:00:00,10.258,10.376,10.257,10.283,671189.39
2022-12-05 23:00:00,10.281,10.291,10.164,10.210,719116.01
2022-12-06 03:00:00,10.210,10.237,10.060,10.123,1035335.43
2022-12-06 07:00:00,10.123,10.187,10.021,10.084,969084.68
2022-12-06 11:00:00,10.084,10.111,9.986,10.056,1061641.00
2022-12-06 15:00:00,10.057,10.174,10.042,10.158,795606.37
2022-12-06 19:00:00,10.157,10.180,10.102,10.107,650419.71
2022-12-06 23:00:00,10.108,10.131,9.621,9.704,2012638.92
