Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,6.204,6.246,6.204,6.235,84315.5
2022-12-01 01:00:00,6.236,6.307,6.236,6.286,89179.0
2022-12-01 02:00:00,6.288,6.335,6.278,6.310,153685.2
2022-12-01 03:00:00,6.311,6.312,6.240,6.253,117398.7
2022-12-01 04:00:00,6.252,6.271,6.238,6.262,63984.4
2022-12-01 05:00:00,6.262,6.289,6.261,6.280,65431.9
2022-12-01 06:00:00,6.280,6.309,6.256,6.296,79859.1
2022-12-01 07:00:00,6.295,6.350,6.274,6.342,96166.3
2022-12-01 08:00:00,6.343,6.350,6.228,6.279,189307.1
2022-12-01 09:00:00,6.279,6.328,6.247,6.301,112027.8
2022-12-01 10:00:00,6.302,6.310,6.201,6.273,137264.5
2022-12-01 11:00:00,6.274,6.299,6.217,6.265,111063.3
2022-12-01 12:00:00,6.266,6.270,6.230,6.232,50884.9
2022-12-01 13:00:00,6.231,6.240,6.200,6.211,53606.1
2022-12-01 14:00:00,6.209,6.210,6.170,6.188,49147.5
2022-12-01 15:00:00,6.185,6.187,6.157,6.166,48941.6
2022-12-01 16:00:00,6.166,6.185,6.139,6.155,57658.7
2022-12-01 17:00:00,6.155,6.191,6.154,6.188,55512.8
2022-12-01 18:00:00,6.189,6.361,6.189,6.249,381313.0
2022-12-01 19:00:00,6.249,6.294,6.225,6.269,222618.6
2022-12-01 20:00:00,6.267,6.286,6.207,6.264,103586.9
2022-12-01 21:00:00,6.265,6.315,6.221,6.268,175270.7
2022-12-01 22:00:00,6.268,6.280,6.237,6.258,95472.2
2022-12-01 23:00:00,6.257,6.260,6.204,6.219,102802.1
2022-12-02 00:00:00,6.220,6.221,6.186,6.186,75108.0
2022-12-02 01:00:00,6.188,6.199,6.161,6.166,43324.2
2022-12-02 02:00:00,6.167,6.206,6.156,6.201,72221.5
2022-12-02 03:00:00,6.201,6.233,6.183,6.211,101246.5
2022-12-02 04:00:00,6.211,6.219,6.154,6.156,99720.6
2022-12-02 05:00:00,6.156,6.215,6.154,6.210,69383.6
2022-12-02 06:00:00,6.210,6.280,6.206,6.280,142372.6
2022-12-02 07:00:00,6.279,6.309,6.256,6.292,145124.2
2022-12-02 08:00:00,6.291,6.320,6.244,6.270,226420.7
2022-12-02 09:00:00,6.271,6.354,6.267,6.278,277031.0
2022-12-02 10:00:00,6.277,6.305,6.238,6.249,137261.7
2022-12-02 11:00:00,6.249,6.315,6.242,6.278,110891.4
2022-12-02 12:00:00,6.278,6.300,6.258,6.299,56574.2
2022-12-02 13:00:00,6.300,6.301,6.282,6.291,50726.7
2022-12-02 14:00:00,6.290,6.311,6.285,6.296,45298.2
2022-12-02 15:00:00,6.297,6.309,6.283,6.289,52476.4
2022-12-02 16:00:00,6.288,6.302,6.276,6.281,45714.0
2022-12-02 17:00:00,6.281,6.290,6.270,6.270,37135.7
2022-12-02 18:00:00,6.270,6.293,6.268,6.291,39647.8
2022-12-02 19:00:00,6.291,6.318,6.255,6.282,112415.8
2022-12-02 20:00:00,6.283,6.306,6.260,6.263,46314.6
2022-12-02 21:00:00,6.261,6.280,6.235,6.238,27480.8
2022-12-02 22:00:00,6.235,6.241,6.204,6.215,40196.5
2022-12-02 23:00:00,6.216,6.235,6.201,6.206,49234.0
2022-12-03 00:00:00,6.206,6.251,6.190,6.241,80636.2
2022-12-03 01:00:00,6.240,6.240,6.184,6.205,124012.0
2022-12-03 02:00:00,6.204,6.205,6.154,6.158,84461.2
2022-12-03 03:00:00,6.157,6.158,6.125,6.145,120011.8
2022-12-03 04:00:00,6.145,6.172,6.130,6.165,117088.6
2022-12-03 05:00:00,6.166,6.168,6.138,6.150,74726.6
2022-12-03 06:00:00,6.150,6.164,6.130,6.156,70019.8
2022-12-03 07:00:00,6.155,6.164,6.144,6.159,42992.9
2022-12-03 08:00:00,6.161,6.168,6.148,6.156,39681.4
2022-12-03 09:00:00,6.156,6.174,6.152,6.167,44003.4
2022-12-03 10:00:00,6.166,6.174,6.155,6.170,46596.3
2022-12-03 11:00:00,6.169,6.169,6.134,6.138,62897.8
2022-12-03 12:00:00,6.137,6.148,6.110,6.112,74441.5
2022-12-03 13:00:00,6.112,6.133,6.086,6.120,116745.6
2022-12-03 14:00:00,6.121,6.129,6.103,6.115,62038.4
2022-12-03 15:00:00,6.115,6.121,6.088,6.097,41692.3
2022-12-03 16:00:00,6.096,6.097,6.061,6.089,56229.3
2022-12-03 17:00:00,6.089,6.089,6.012,6.046,93878.9
2022-12-03 18:00:00,6.046,6.046,5.984,6.005,90049.7
2022-12-03 19:00:00,6.005,6.048,6.003,6.027,71340.9
2022-12-03 20:00:00,6.027,6.061,6.019,6.050,70406.7
2022-12-03 21:00:00,6.051,6.083,6.041,6.082,34348.7
2022-12-03 22:00:00,6.082,6.086,6.063,6.073,26885.1
2022-12-03 23:00:00,6.076,6.089,6.064,6.069,53601.6
2022-12-04 00:00:00,6.071,6.102,6.062,6.066,44197.1
2022-12-04 01:00:00,6.066,6.067,6.042,6.056,39113.9
2022-12-04 02:00:00,6.055,6.062,6.030,6.039,45925.1
2022-12-04 03:00:00,6.038,6.055,6.020,6.040,41405.9
2022-12-04 04:00:00,6.039,6.071,6.039,6.053,42437.4
2022-12-04 05:00:00,6.052,6.053,6.005,6.020,73708.8
2022-12-04 06:00:00,6.020,6.035,6.002,6.019,40609.9
2022-12-04 07:00:00,6.019,6.048,6.018,6.030,39477.0
2022-12-04 08:00:00,6.030,6.052,6.028,6.047,34202.4
2022-12-04 09:00:00,6.047,6.077,6.047,6.076,49065.9
2022-12-04 10:00:00,6.077,6.119,6.077,6.110,60397.2
2022-12-04 11:00:00,6.110,6.123,6.088,6.106,46251.4
2022-12-04 12:00:00,6.107,6.132,6.103,6.117,50049.0
