Date,Open,High,Low,Close,Volume
2022-12-01 03:00:00,1.8670,1.9495,1.8502,1.9375,6495229.1
2022-12-01 07:00:00,1.9379,2.3862,1.9300,2.3014,147818673.2
2022-12-01 11:00:00,2.3012,2.3619,2.2550,2.2738,66203812.2
2022-12-01 15:00:00,2.2739,2.7900,2.1300,2.1736,89005587.0
2022-12-01 19:00:00,2.1738,2.2383,2.1250,2.2137,42403793.4
2022-12-01 23:00:00,2.2132,2.2548,2.1592,2.1774,29620761.9
2022-12-02 03:00:00,2.1771,2.1892,2.1028,2.1274,24643042.2
2022-12-02 07:00:00,2.1275,2.1503,2.0717,2.1126,19088696.6
2022-12-02 11:00:00,2.1125,2.1159,2.0784,2.1054,11121813.7
2022-12-02 15:00:00,2.1053,2.1419,2.1000,2.1363,5601351.3
2022-12-02 19:00:00,2.1363,2.1958,2.0779,2.1874,12149089.8
2022-12-02 23:00:00,2.1875,2.2354,2.1510,2.2151,12899615.9
2022-12-03 03:00:00,2.2154,2.2788,2.2091,2.2410,18709884.4
2022-12-03 07:00:00,2.2416,2.2645,2.1858,2.2198,13675716.2
2022-12-03 11:00:00,2.2192,2.2430,2.1703,2.1931,9181557.0
2022-12-03 15:00:00,2.1927,2.2339,2.1054,2.1421,10268457.5
2022-12-03 19:00:00,2.1421,2.1768,2.1165,2.1361,6507051.4
2022-12-03 23:00:00,2.1360,2.1518,2.1082,2.1085,5241684.6
2022-12-04 03:00:00,2.1087,2.1297,2.0732,2.1083,6908236.1
2022-12-04 07:00:00,2.1082,2.1246,2.0937,2.1007,3675486.2
2022-12-04 11:00:00,2.1010,2.1151,2.0801,2.1012,4924170.2
2022-12-04 15:00:00,2.1013,2.1543,2.0957,2.1306,4321771.4
2022-12-04 19:00:00,2.1306,2.1641,2.1121,2.1470,4481908.4
2022-12-04 23:00:00,2.1473,2.1673,2.1117,2.1233,4567090.7
2022-12-05 03:00:00,2.1234,2.1929,2.1002,2.1204,7407190.2
2022-12-05 07:00:00,2.1204,2.1243,2.0000,2.0372,8761577.9
2022-12-05 11:00:00,2.0372,2.0457,1.9757,2.0038,7984951.5
2022-12-05 15:00:00,2.0038,2.0393,1.9987,2.0239,3281954.1
2022-12-05 19:00:00,2.0236,2.0540,2.0236,2.0411,2873911.1
2022-12-05 23:00:00,2.0410,2.1178,2.0224,2.0813,6693784.1
2022-12-06 03:00:00,2.0814,2.1121,2.0603,2.0942,6409526.1
2022-12-06 07:00:00,2.0942,2.1098,2.0367,2.0447,6182027.5
2022-12-06 11:00:00,2.0447,2.0448,1.9926,2.0121,5647845.3
2022-12-06 15:00:00,2.0122,2.0392,1.9979,2.0301,2918309.1
2022-12-06 19:00:00,2.0300,2.0469,2.0210,2.0211,2249980.9
2022-12-06 23:00:00,2.0215,2.0256,1.8994,1.9236,6914627.9
2022-12-07 03:00:00,1.9237,1.9633,1.9193,1.9382,4428428.7
2022-12-07 07:00:00,1.9380,1.9619,1.9052,1.9248,3458250.0
2022-12-07 11:00:00,1.9247,1.9440,1.9127,1.9323,2895935.2
2022-12-07 15:00:00,1.9323,1.9445,1.9180,1.9427,2140484.7
2022-12-07 19:00:00,1.9428,2.0089,1.9392,1.9859,6735370.5
2022-12-07 23:00:00,1.9861,2.1610,1.9843,2.1397,45478911.1
2022-12-08 03:00:00,2.1397,2.1723,2.0736,2.1147,42995881.4
2022-12-08 07:00:00,2.1151,2.1761,2.0839,2.1186,37725303.8
2022-12-08 11:00:00,2.1188,2.1476,2.0975,2.1337,18627057.2
2022-12-08 15:00:00,2.1334,2.1410,2.0874,2.0933,11275781.9
2022-12-08 19:00:00,2.0934,2.1330,2.0600,2.0924,19152135.1
2022-12-08 23:00:00,2.0922,2.0925,2.0500,2.0733,8435580.6
2022-12-09 03:00:00,2.0733,2.0804,2.0550,2.0707,6600178.1
2022-12-09 07:00:00,2.0708,2.0934,2.0420,2.0729,10064721.6
2022-12-09 11:00:00,2.0729,2.0839,2.0300,2.0425,6076756.8
2022-12-09 15:00:00,2.0424,2.0562,2.0353,2.0481,2978393.4
2022-12-09 19:00:00,2.0481,2.0612,2.0350,2.0451,2482568.1
2022-12-09 23:00:00,2.0452,2.0489,2.0100,2.0117,3700519.5
2022-12-10 03:00:00,2.0117,2.0445,2.0001,2.0307,4886273.0
2022-12-10 07:00:00,2.0309,2.0565,2.0246,2.0484,4329653.7
2022-12-10 11:00:00,2.0484,2.0595,2.0340,2.0377,3016112.7
2022-12-10 15:00:00,2.0377,2.0416,2.0126,2.0284,2422514.0
2022-12-10 19:00:00,2.0284,2.0494,2.0190,2.0351,1728106.0
2022-12-10 23:00:00,2.0352,2.0536,2.0300,2.0423,1977526.8
2022-12-11 03:00:00,2.0422,2.0472,2.0161,2.0279,2474447.4
2022-12-11 07:00:00,2.0278,2.0296,2.0066,2.0151,3219287.6
2022-12-11 11:00:00,2.0148,2.0240,1.9332,1.9972,5975340.4
2022-12-11 15:00:00,1.9975,1.9976,1.8959,1.9407,6534082.0
2022-12-11 19:00:00,1.9401,1.9636,1.8144,1.8838,8171247.7
2022-12-11 23:00:00,1.8837,1.9034,1.8811,1.9009,3176721.6
2022-12-12 03:00:00,1.9007,1.9544,1.9002,1.9360,3921566.1
2022-12-12 07:00:00,1.9357,1.9542,1.9130,1.9203,5260649.6
2022-12-12 11:00:00,1.9204,1.9288,1.8941,1.9226,3043829.5
2022-12-12 15:00:00,1.9227,2.0042,1.9152,1.9598,5528687.2
2022-12-12 19:00:00,1.9597,1.9818,1.9236,1.9242,3041841.2
2022-12-12 23:00:00,1.9242,1.9623,1.8557,1.8845,6041739.6
2022-12-13 03:00:00,1.8845,1.9380,1.8758,1.9231,4457111.5
2022-12-13 07:00:00,1.9231,1.9773,1.9066,1.9480,6674484.9
2022-12-13 11:00:00,1.9481,1.9620,1.9074,1.9255,2888474.2
2022-12-13 15:00:00,1.9255,1.9377,1.9209,1.9360,1512906.0
2022-12-13 19:00:00,1.9350,1.9889,1.9279,1.9741,3437281.6
2022-12-13 23:00:00,1.9737,1.9966,1.9659,1.9670,2541727.2
2022-12-14 03:00:00,1.9670,1.9719,1.9568,1.9613,1886227.8
2022-12-14 07:00:00,1.9607,1.9800,1.9402,1.9629,3074576.2
2022-12-14 11:00:00,1.9639,2.0559,1.8600,1.9470,10418983.7
2022-12-14 15:00:00,1.9460,1.9573,1.9161,1.9395,2927037.8
2022-12-14 19:00:00,1.9385,2.0170,1.9012,1.9901,4521978.3
2022-12-14 23:00:00,1.9894,2.0219,1.9387,1.9395,5454933.7
2022-12-15 03:00:00,1.9395,1.9539,1.9237,1.9402,2841975.5
2022-12-15 07:00:00,1.9402,1.9408,1.9094,1.9258,3075882.8
2022-12-15 11:00:00,1.9259,1.9336,1.9079,1.9286,2583220.7
2022-12-15 15:00:00,1.9287,1.9370,1.8853,1.9031,2356008.5
2022-12-15 19:00:00,1.9028,1.9294,1.8940,1.9250,1281598.0
2022-12-15 23:00:00,1.9250,1.9497,1.9110,1.9438,1617522.9
2022-12-16 03:00:00,1.9438,1.9529,1.8080,1.8606,7722172.3
2022-12-16 07:00:00,1.8606,1.8705,1.8151,1.8395,4152804.7
2022-12-16 11:00:00,1.8389,1.8425,1.8091,1.8418,2711089.9
2022-12-16 15:00:00,1.8416,1.8485,1.6700,1.6864,6692002.8
2022-12-16 19:00:00,1.6865,1.7082,1.6342,1.6990,4835487.9
2022-12-16 23:00:00,1.6989,1.7354,1.6885,1.7252,2408344.3
2022-12-17 03:00:00,1.7251,1.7299,1.6942,1.7007,2020440.8
2022-12-17 07:00:00,1.7006,1.7087,1.6792,1.6955,1654050.6
2022-12-17 11:00:00,1.6956,1.7046,1.6762,1.6933,1721176.3
2022-12-17 15:00:00,1.6938,1.7494,1.6908,1.7410,2063280.3
2022-12-17 19:00:00,1.7411,1.7461,1.7134,1.7245,1257730.0
2022-12-17 23:00:00,1.7245,1.7356,1.7111,1.7181,1063168.7
2022-12-18 03:00:00,1.7183,1.7219,1.6868,1.7105,1765830.5
2022-12-18 07:00:00,1.7111,1.7191,1.6931,1.6957,1279310.2
2022-12-18 11:00:00,1.6959,1.7238,1.6943,1.7185,1671906.2
2022-12-18 15:00:00,1.7185,1.7410,1.7098,1.7256,1543964.7
2022-12-18 19:00:00,1.7255,1.7700,1.7000,1.7104,3843587.4
2022-12-18 23:00:00,1.7104,1.7996,1.7104,1.7844,8998590.2
2022-12-19 03:00:00,1.7845,1.7850,1.7432,1.7474,5888734.3
2022-12-19 07:00:00,1.7473,1.7612,1.7150,1.7158,3858733.9
2022-12-19 11:00:00,1.7161,1.7168,1.6082,1.6490,7629411.0
2022-12-19 15:00:00,1.6491,1.6566,1.5753,1.6038,3613411.1
2022-12-19 19:00:00,1.6036,1.6556,1.6035,1.6341,3408135.3
2022-12-19 23:00:00,1.6345,1.6650,1.6309,1.6633,2667185.2
2022-12-20 03:00:00,1.6633,1.7145,1.6568,1.7011,4598390.2
2022-12-20 07:00:00,1.7009,1.7220,1.6816,1.6991,4766287.2
2022-12-20 11:00:00,1.6992,1.7070,1.6689,1.6770,2627054.0
2022-12-20 15:00:00,1.6769,1.6976,1.6749,1.6772,1659771.0
2022-12-20 19:00:00,1.6772,1.6824,1.6338,1.6352,2913366.7
2022-12-20 23:00:00,1.6352,1.6373,1.5957,1.6015,3714577.6
2022-12-21 03:00:00,1.6017,1.6231,1.5890,1.6152,3739852.6
2022-12-21 07:00:00,1.6149,1.6170,1.5931,1.6104,3247490.7
2022-12-21 11:00:00,1.6104,1.6119,1.5676,1.5778,3549948.4
2022-12-21 15:00:00,1.5779,1.6081,1.5720,1.6064,1914674.6
2022-12-21 19:00:00,1.6061,1.6220,1.5996,1.6149,2083274.0
2022-12-21 23:00:00,1.6148,1.6188,1.5872,1.5969,1999104.3
2022-12-22 03:00:00,1.5969,1.6040,1.5781,1.6007,2749300.3
2022-12-22 07:00:00,1.6008,1.6096,1.5301,1.5650,5773841.4
2022-12-22 11:00:00,1.5645,1.5703,1.5436,1.5619,2556921.6
2022-12-22 15:00:00,1.5618,1.6135,1.5584,1.6119,3540741.3
2022-12-22 19:00:00,1.6119,1.6277,1.5994,1.6141,2592822.5
2022-12-22 23:00:00,1.6141,1.6197,1.5963,1.5970,1784531.8
2022-12-23 03:00:00,1.5967,1.6040,1.5853,1.6011,2182691.2
2022-12-23 07:00:00,1.6012,1.6301,1.5639,1.5871,4045380.4
2022-12-23 11:00:00,1.5871,1.5932,1.5818,1.5847,1509514.2
2022-12-23 15:00:00,1.5849,1.5894,1.5715,1.5729,1240241.2
2022-12-23 19:00:00,1.5730,1.5837,1.5655,1.5755,1516034.6
2022-12-23 23:00:00,1.5756,1.5762,1.5401,1.5562,3021541.8
2022-12-24 03:00:00,1.5562,1.5563,1.5350,1.5473,2154871.7
2022-12-24 07:00:00,1.5475,1.5719,1.5391,1.5656,2447646.8
2022-12-24 11:00:00,1.5657,1.5776,1.5604,1.5707,2345510.2
2022-12-24 15:00:00,1.5706,1.5709,1.5477,1.5480,1342318.2
2022-12-24 19:00:00,1.5481,1.5578,1.5418,1.5545,1186445.6
2022-12-24 23:00:00,1.5544,1.5545,1.5227,1.5445,2189871.8
2022-12-25 03:00:00,1.5445,1.5445,1.5119,1.5143,1930784.8
2022-12-25 07:00:00,1.5144,1.5202,1.4843,1.4908,4113103.2
2022-12-25 11:00:00,1.4908,1.4990,1.4748,1.4918,3465819.2
2022-12-25 15:00:00,1.4918,1.5016,1.4767,1.4867,2246447.7
2022-12-25 19:00:00,1.4866,1.5123,1.4855,1.5024,2570839.5
2022-12-25 23:00:00,1.5023,1.5041,1.4750,1.4801,3132968.2
2022-12-26 03:00:00,1.4800,1.4920,1.4554,1.4872,4829815.2
2022-12-26 07:00:00,1.4880,1.4923,1.4747,1.4807,2446057.5
