Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,1.9071,1.9181,1.9062,1.9067,201872.5
2022-12-01 00:05:00,1.9067,1.9091,1.9013,1.9034,129832.0
2022-12-01 00:10:00,1.9034,1.9112,1.9006,1.9104,139233.6
2022-12-01 00:15:00,1.9103,1.9111,1.9062,1.9092,68057.7
2022-12-01 00:20:00,1.9091,1.9125,1.9077,1.9123,65120.8
2022-12-01 00:25:00,1.9122,1.9122,1.9025,1.9035,47480.5
2022-12-01 00:30:00,1.9030,1.9033,1.8852,1.8874,360117.9
2022-12-01 00:35:00,1.8874,1.8896,1.8709,1.8716,344844.3
2022-12-01 00:40:00,1.8719,1.8769,1.8543,1.8584,411231.4
2022-12-01 00:45:00,1.8584,1.8693,1.8565,1.8669,331730.9
2022-12-01 00:50:00,1.8669,1.8735,1.8653,1.8700,182735.5
2022-12-01 00:55:00,1.8700,1.8778,1.8698,1.8769,134704.9
2022-12-01 01:00:00,1.8768,1.8956,1.8754,1.8933,335502.6
2022-12-01 01:05:00,1.8932,1.8999,1.8929,1.8988,207606.3
2022-12-01 01:10:00,1.8989,1.9003,1.8853,1.8880,194822.1
2022-12-01 01:15:00,1.8880,1.8890,1.8836,1.8863,93778.8
2022-12-01 01:20:00,1.8865,1.8891,1.8836,1.8840,76464.8
2022-12-01 01:25:00,1.8840,1.8870,1.8820,1.8847,91215.9
2022-12-01 01:30:00,1.8847,1.8918,1.8845,1.8863,115151.7
2022-12-01 01:35:00,1.8866,1.8876,1.8806,1.8821,77492.2
2022-12-01 01:40:00,1.8822,1.8883,1.8801,1.8880,45333.5
2022-12-01 01:45:00,1.8876,1.8876,1.8815,1.8841,58862.0
2022-12-01 01:50:00,1.8841,1.8914,1.8840,1.8894,60850.5
2022-12-01 01:55:00,1.8890,1.8890,1.8804,1.8806,73818.9
2022-12-01 02:00:00,1.8805,1.8854,1.8752,1.8763,100611.3
2022-12-01 02:05:00,1.8764,1.8776,1.8695,1.8753,160103.3
