Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,112.32,112.66,111.76,112.23,16600.389
2022-12-01 01:00:00,112.22,112.46,111.95,112.29,12918.831
2022-12-01 02:00:00,112.30,112.34,111.53,111.71,15769.737
2022-12-01 03:00:00,111.72,111.95,111.45,111.74,21326.316
2022-12-01 04:00:00,111.73,111.76,111.21,111.66,14319.781
2022-12-01 05:00:00,111.66,111.87,111.47,111.77,15177.433
2022-12-01 06:00:00,111.78,111.91,111.40,111.89,14794.663
2022-12-01 07:00:00,111.89,112.08,111.62,111.98,19935.952
2022-12-01 08:00:00,111.98,111.98,109.44,110.71,104441.368
2022-12-01 09:00:00,110.71,111.19,110.29,110.92,84468.765
2022-12-01 10:00:00,110.93,111.17,109.46,110.56,45958.855
2022-12-01 11:00:00,110.57,110.80,109.86,110.66,23581.063
2022-12-01 12:00:00,110.67,111.09,110.25,110.89,17000.699
2022-12-01 13:00:00,110.89,111.23,110.64,110.85,17787.749
2022-12-01 14:00:00,110.85,110.88,110.47,110.49,10031.702
2022-12-01 15:00:00,110.48,110.70,110.37,110.44,8622.857
2022-12-01 16:00:00,110.46,110.51,110.07,110.48,9621.113
2022-12-01 17:00:00,110.47,110.93,110.34,110.52,11096.038
2022-12-01 18:00:00,110.52,110.61,109.61,110.31,15443.560
2022-12-01 19:00:00,110.31,110.61,109.79,110.38,27428.545
2022-12-01 20:00:00,110.37,110.61,108.27,109.20,39831.218
2022-12-01 21:00:00,109.20,109.41,108.11,109.33,37499.381
2022-12-01 22:00:00,109.35,109.50,109.05,109.29,13026.715
2022-12-01 23:00:00,109.27,109.42,108.45,109.41,22509.059
2022-12-02 00:00:00,109.41,109.75,109.37,109.70,9594.002
2022-12-02 01:00:00,109.69,110.09,109.50,109.55,17436.454
2022-12-02 02:00:00,109.55,110.18,109.51,110.00,13064.547
2022-12-02 03:00:00,110.00,110.23,109.80,110.04,14027.886
2022-12-02 04:00:00,110.05,110.34,110.00,110.11,11948.810
2022-12-02 05:00:00,110.12,110.31,109.98,110.29,10740.708
2022-12-02 06:00:00,110.29,110.58,110.04,110.19,26472.692
2022-12-02 07:00:00,110.19,110.35,109.98,110.30,15999.613
2022-12-02 08:00:00,110.30,110.54,108.53,109.65,62467.259
2022-12-02 09:00:00,109.65,109.97,109.29,109.87,20199.526
2022-12-02 10:00:00,109.88,110.47,109.87,110.09,13874.152
2022-12-02 11:00:00,110.08,110.36,109.77,110.25,13025.783
2022-12-02 12:00:00,110.26,110.97,110.25,110.34,22311.196
2022-12-02 13:00:00,110.33,110.73,110.31,110.63,14250.082
2022-12-02 14:00:00,110.63,111.05,110.38,110.98,14123.695
2022-12-02 15:00:00,110.99,111.77,110.96,111.63,22797.255
2022-12-02 16:00:00,111.64,111.82,111.42,111.53,17195.677
2022-12-02 17:00:00,111.54,111.89,111.47,111.71,9519.986
2022-12-02 18:00:00,111.71,112.27,111.53,111.90,31980.240
2022-12-02 19:00:00,111.91,112.26,111.19,111.50,35055.678
2022-12-02 20:00:00,111.50,111.66,111.19,111.50,8393.336
2022-12-02 21:00:00,111.51,111.56,111.06,111.30,11058.697
2022-12-02 22:00:00,111.31,112.02,110.90,111.15,29781.449
2022-12-02 23:00:00,111.14,111.34,110.80,110.84,11192.304
2022-12-03 00:00:00,110.84,111.38,110.81,111.37,7302.374
2022-12-03 01:00:00,111.38,111.44,110.50,110.80,20407.831
2022-12-03 02:00:00,110.79,110.84,110.38,110.62,11651.686
2022-12-03 03:00:00,110.60,110.72,110.13,110.29,15079.684
2022-12-03 04:00:00,110.29,110.71,110.15,110.66,10284.575
2022-12-03 05:00:00,110.66,110.99,110.59,110.98,12070.938
2022-12-03 06:00:00,110.99,111.10,110.40,111.07,17103.517
2022-12-03 07:00:00,111.07,111.65,110.94,111.44,26904.722
2022-12-03 08:00:00,111.45,111.71,111.17,111.42,17886.917
2022-12-03 09:00:00,111.41,111.54,111.15,111.49,13413.936
2022-12-03 10:00:00,111.50,111.57,111.25,111.39,11936.865
2022-12-03 11:00:00,111.39,112.00,111.36,111.62,23502.304
2022-12-03 12:00:00,111.63,112.07,111.59,111.85,12738.474
2022-12-03 13:00:00,111.85,112.03,111.30,111.36,9686.067
2022-12-03 14:00:00,111.35,111.43,110.63,110.99,15992.939
2022-12-03 15:00:00,110.98,111.06,110.64,110.90,9348.979
2022-12-03 16:00:00,110.88,111.05,110.39,111.05,11223.025
2022-12-03 17:00:00,111.05,111.09,109.31,109.51,26851.550
2022-12-03 18:00:00,109.51,109.91,109.33,109.55,13735.281
2022-12-03 19:00:00,109.55,110.67,109.48,110.49,18888.584
2022-12-03 20:00:00,110.49,111.23,110.30,110.68,16544.654
2022-12-03 21:00:00,110.68,111.43,110.56,110.89,23622.606
2022-12-03 22:00:00,110.89,111.73,110.78,111.37,31254.084
2022-12-03 23:00:00,111.38,111.63,111.02,111.54,12505.478
2022-12-04 00:00:00,111.55,111.86,111.31,111.57,14505.945
2022-12-04 01:00:00,111.58,111.62,110.75,110.93,17498.116
2022-12-04 02:00:00,110.92,111.00,110.74,110.78,9691.165
2022-12-04 03:00:00,110.79,110.97,110.28,110.80,14040.087
2022-12-04 04:00:00,110.79,111.09,110.57,110.57,11618.974
2022-12-04 05:00:00,110.56,110.77,110.44,110.66,10099.045
2022-12-04 06:00:00,110.67,110.67,110.03,110.21,12299.639
2022-12-04 07:00:00,110.21,110.74,110.01,110.59,17200.164
2022-12-04 08:00:00,110.60,111.15,110.01,110.19,34068.410
2022-12-04 09:00:00,110.19,110.36,109.91,110.33,13834.440
2022-12-04 10:00:00,110.33,110.55,110.23,110.39,10678.695
2022-12-04 11:00:00,110.40,110.57,109.75,109.96,13276.608
2022-12-04 12:00:00,109.96,110.33,109.85,110.27,9850.292
2022-12-04 13:00:00,110.27,110.75,110.25,110.60,21820.467
2022-12-04 14:00:00,110.60,110.78,110.39,110.63,13014.067
2022-12-04 15:00:00,110.64,110.95,110.64,110.74,6477.067
2022-12-04 16:00:00,110.75,111.03,110.64,110.93,7484.546
2022-12-04 17:00:00,110.92,110.98,110.66,110.79,6694.765
2022-12-04 18:00:00,110.80,111.38,110.60,110.94,17632.724
2022-12-04 19:00:00,110.94,112.49,110.83,111.93,44941.302
2022-12-04 20:00:00,111.93,111.97,111.35,111.85,16688.453
2022-12-04 21:00:00,111.86,112.17,111.56,111.59,17563.044
2022-12-04 22:00:00,111.59,112.66,111.35,111.90,57162.440
2022-12-04 23:00:00,111.90,114.30,111.80,113.82,78967.209
2022-12-05 00:00:00,113.82,114.55,113.81,114.22,50560.438
2022-12-05 01:00:00,114.22,115.12,113.73,114.96,48034.721
2022-12-05 02:00:00,114.95,116.78,114.38,116.57,94881.976
2022-12-05 03:00:00,116.57,116.79,115.75,115.98,86266.810
2022-12-05 04:00:00,115.98,116.04,115.01,115.06,36341.793
2022-12-05 05:00:00,115.06,115.65,115.01,115.40,17779.763
2022-12-05 06:00:00,115.40,115.63,115.01,115.30,24417.206
2022-12-05 07:00:00,115.29,115.30,114.55,114.62,24927.436
2022-12-05 08:00:00,114.62,115.52,114.36,115.44,39696.984
2022-12-05 09:00:00,115.43,116.77,115.00,115.18,71228.028
2022-12-05 10:00:00,115.18,115.18,112.83,113.57,116716.766
2022-12-05 11:00:00,113.58,113.72,112.69,112.89,38144.399
2022-12-05 12:00:00,112.88,113.36,112.60,112.77,30197.612
2022-12-05 13:00:00,112.77,113.05,112.16,112.21,25193.429
2022-12-05 14:00:00,112.21,112.30,109.53,110.05,90782.893
2022-12-05 15:00:00,110.05,110.30,109.79,110.24,20237.190
2022-12-05 16:00:00,110.22,110.40,110.15,110.19,18134.100
2022-12-05 17:00:00,110.18,110.35,109.81,110.29,16784.954
2022-12-05 18:00:00,110.28,110.46,109.97,110.32,21549.945
2022-12-05 19:00:00,110.32,110.76,110.22,110.75,28081.868
2022-12-05 20:00:00,110.76,111.23,110.67,111.11,32276.039
2022-12-05 21:00:00,111.11,111.37,110.92,111.07,20105.004
2022-12-05 22:00:00,111.06,111.24,110.73,110.73,14435.105
2022-12-05 23:00:00,110.73,111.51,110.19,111.51,42531.457
2022-12-06 00:00:00,111.50,111.66,111.06,111.27,32094.078
2022-12-06 01:00:00,111.28,111.80,111.18,111.40,33509.187
2022-12-06 02:00:00,111.39,111.50,111.11,111.27,17717.928
2022-12-06 03:00:00,111.26,111.85,111.19,111.70,26997.749
2022-12-06 04:00:00,111.70,111.80,110.92,110.96,17606.551
2022-12-06 05:00:00,110.96,111.24,110.62,111.03,21465.090
2022-12-06 06:00:00,111.03,111.37,110.23,111.25,19672.309
2022-12-06 07:00:00,111.24,111.35,110.95,111.20,16059.447
2022-12-06 08:00:00,111.21,111.47,110.92,111.04,11401.188
2022-12-06 09:00:00,111.06,111.40,110.72,110.75,20582.778
2022-12-06 10:00:00,110.75,111.48,110.25,111.02,45740.053
2022-12-06 11:00:00,111.03,111.39,110.92,110.93,11719.844
2022-12-06 12:00:00,110.93,111.13,110.36,110.76,13328.477
2022-12-06 13:00:00,110.75,110.79,110.12,110.61,20419.926
2022-12-06 14:00:00,110.61,110.62,110.13,110.51,13153.877
2022-12-06 15:00:00,110.50,110.99,110.42,110.89,10360.474
2022-12-06 16:00:00,110.88,111.16,110.86,111.06,8387.918
2022-12-06 17:00:00,111.05,111.29,110.98,111.14,10768.274
2022-12-06 18:00:00,111.13,112.18,111.08,111.97,33604.953
2022-12-06 19:00:00,111.97,112.76,111.97,112.41,35421.815
2022-12-06 20:00:00,112.41,112.50,111.93,112.05,13810.085
2022-12-06 21:00:00,112.07,112.21,111.86,112.09,10033.956
2022-12-06 22:00:00,112.09,112.09,111.64,111.79,11415.823
2022-12-06 23:00:00,111.79,112.18,111.52,112.09,13412.073
2022-12-07 00:00:00,112.08,112.15,111.70,112.06,12285.838
2022-12-07 01:00:00,112.06,112.34,110.20,110.45,58898.440
2022-12-07 02:00:00,110.42,110.73,107.18,108.25,116656.654
2022-12-07 03:00:00,108.23,108.78,107.64,108.63,47595.873
2022-12-07 04:00:00,108.63,108.85,108.44,108.64,19931.522
2022-12-07 05:00:00,108.63,109.20,108.20,109.17,24932.699
2022-12-07 06:00:00,109.17,109.28,108.54,108.78,18465.057
2022-12-07 07:00:00,108.78,109.38,108.77,109.06,27881.642
2022-12-07 08:00:00,109.07,109.50,108.89,109.14,20349.300
2022-12-07 09:00:00,109.15,109.56,108.91,109.38,20907.773
2022-12-07 10:00:00,109.38,109.62,109.00,109.19,19033.057
2022-12-07 11:00:00,109.19,109.34,108.80,109.22,17340.728
2022-12-07 12:00:00,109.22,109.63,109.15,109.36,16911.243
2022-12-07 13:00:00,109.36,109.58,108.54,108.60,19943.242
2022-12-07 14:00:00,108.60,109.24,108.55,109.04,13064.483
2022-12-07 15:00:00,109.04,109.09,108.54,108.79,14309.698
2022-12-07 16:00:00,108.78,109.33,108.53,109.06,18753.296
2022-12-07 17:00:00,109.06,109.12,108.54,109.01,9275.458
2022-12-07 18:00:00,109.01,109.25,108.86,109.03,12713.543
2022-12-07 19:00:00,109.04,109.46,108.64,108.68,16262.688
2022-12-07 20:00:00,108.69,108.99,108.40,108.71,16462.412
2022-12-07 21:00:00,108.72,109.42,108.40,109.04,18231.240
2022-12-07 22:00:00,109.05,109.40,108.93,109.00,8075.514
2022-12-07 23:00:00,109.01,109.07,108.50,108.57,16863.501
2022-12-08 00:00:00,108.57,108.90,108.32,108.76,15867.236
2022-12-08 01:00:00,108.76,109.04,108.46,109.04,10989.500
2022-12-08 02:00:00,109.03,109.57,108.99,109.44,26227.073
2022-12-08 03:00:00,109.43,109.55,109.18,109.41,16447.188
2022-12-08 04:00:00,109.41,109.58,109.09,109.39,23384.738
2022-12-08 05:00:00,109.38,109.69,109.34,109.48,15544.958
2022-12-08 06:00:00,109.48,109.81,108.71,109.69,32114.712
2022-12-08 07:00:00,109.69,109.96,109.12,109.55,27086.195
2022-12-08 08:00:00,109.56,109.79,109.26,109.62,17716.169
2022-12-08 09:00:00,109.61,109.89,109.26,109.76,22531.555
2022-12-08 10:00:00,109.76,110.98,109.75,110.68,58473.057
2022-12-08 11:00:00,110.69,112.22,110.67,110.82,79066.853
2022-12-08 12:00:00,110.81,110.82,110.09,110.39,29907.926
2022-12-08 13:00:00,110.39,112.05,110.22,111.75,45652.679
2022-12-08 14:00:00,111.76,112.26,111.52,111.99,29417.829
2022-12-08 15:00:00,111.99,112.19,111.23,111.45,20980.189
2022-12-08 16:00:00,111.45,111.80,111.38,111.80,9287.811
2022-12-08 17:00:00,111.80,112.18,111.70,112.10,12577.310
2022-12-08 18:00:00,112.10,112.24,111.57,111.79,21857.693
2022-12-08 19:00:00,111.79,112.10,111.29,111.82,34182.401
2022-12-08 20:00:00,111.82,112.24,111.76,111.93,19745.762
2022-12-08 21:00:00,111.93,112.05,111.56,111.88,18854.772
2022-12-08 22:00:00,111.88,112.09,111.35,111.86,24686.616
2022-12-08 23:00:00,111.87,112.06,111.41,111.59,25287.503
2022-12-09 00:00:00,111.59,111.95,111.28,111.54,23840.261
2022-12-09 01:00:00,111.55,112.06,111.54,111.87,11024.371
2022-12-09 02:00:00,111.88,112.09,111.82,111.92,18412.749
2022-12-09 03:00:00,111.92,111.96,111.54,111.67,13398.683
2022-12-09 04:00:00,111.67,112.04,111.52,111.81,15128.012
2022-12-09 05:00:00,111.81,112.03,111.45,111.56,17221.243
2022-12-09 06:00:00,111.56,111.84,111.50,111.67,12346.905
2022-12-09 07:00:00,111.67,111.96,110.52,111.41,48775.833
2022-12-09 08:00:00,111.40,111.52,110.00,110.81,52153.259
2022-12-09 09:00:00,110.80,111.15,110.51,110.95,20951.468
2022-12-09 10:00:00,110.94,111.09,110.55,110.71,19540.009
2022-12-09 11:00:00,110.71,110.72,110.32,110.58,17102.394
2022-12-09 12:00:00,110.59,110.71,110.45,110.54,8667.388
2022-12-09 13:00:00,110.55,110.56,110.00,110.25,21286.541
2022-12-09 14:00:00,110.25,110.26,109.59,109.91,29742.532
2022-12-09 15:00:00,109.92,110.06,109.25,109.30,21144.209
2022-12-09 16:00:00,109.29,109.53,108.89,109.12,26644.262
2022-12-09 17:00:00,109.12,109.44,108.94,109.30,12623.916
2022-12-09 18:00:00,109.30,109.80,109.23,109.76,14348.022
2022-12-09 19:00:00,109.77,109.91,109.45,109.69,17526.747
2022-12-09 20:00:00,109.69,110.07,109.68,109.88,10218.529
2022-12-09 21:00:00,109.88,110.00,109.75,109.77,5473.280
2022-12-09 22:00:00,109.79,110.08,109.76,109.90,7098.235
2022-12-09 23:00:00,109.91,110.01,109.68,109.91,5952.704
2022-12-10 00:00:00,109.91,109.97,109.60,109.62,4910.506
2022-12-10 01:00:00,109.62,109.83,109.47,109.61,7857.947
2022-12-10 02:00:00,109.62,109.68,109.49,109.58,7090.443
2022-12-10 03:00:00,109.58,109.77,109.41,109.42,8671.519
2022-12-10 04:00:00,109.43,109.48,109.02,109.23,13873.515
2022-12-10 05:00:00,109.23,110.00,109.23,110.00,19062.665
2022-12-10 06:00:00,110.00,110.08,109.80,109.92,12946.201
2022-12-10 07:00:00,109.91,109.93,109.64,109.80,9499.027
2022-12-10 08:00:00,109.80,109.91,109.51,109.85,10151.856
2022-12-10 09:00:00,109.85,110.16,109.70,110.12,12125.681
2022-12-10 10:00:00,110.12,110.36,110.06,110.26,15135.443
2022-12-10 11:00:00,110.26,110.43,110.04,110.04,14560.779
2022-12-10 12:00:00,110.05,110.10,109.44,109.52,14901.088
2022-12-10 13:00:00,109.53,109.85,109.49,109.53,8121.117
2022-12-10 14:00:00,109.54,109.66,109.46,109.55,7341.247
2022-12-10 15:00:00,109.55,109.66,109.45,109.59,8393.388
2022-12-10 16:00:00,109.58,109.74,109.29,109.33,10176.451
2022-12-10 17:00:00,109.34,109.43,108.59,108.91,28578.905
2022-12-10 18:00:00,108.91,109.47,108.68,109.04,30844.432
2022-12-10 19:00:00,109.05,109.41,108.67,109.29,18799.435
2022-12-10 20:00:00,109.30,109.46,108.84,109.09,13470.149
2022-12-10 21:00:00,109.08,109.58,108.88,109.45,24734.794
2022-12-10 22:00:00,109.45,109.70,109.36,109.56,9841.561
2022-12-10 23:00:00,109.58,109.73,109.43,109.63,7387.616
2022-12-11 00:00:00,109.63,109.84,109.55,109.77,8596.464
2022-12-11 01:00:00,109.77,109.86,109.47,109.57,9378.659
2022-12-11 02:00:00,109.57,109.73,109.46,109.57,6131.605
2022-12-11 03:00:00,109.57,109.59,109.18,109.20,7590.667
2022-12-11 04:00:00,109.19,109.22,108.56,108.99,22978.088
2022-12-11 05:00:00,108.99,109.12,108.83,109.11,11294.220
2022-12-11 06:00:00,109.10,109.12,108.98,109.07,8335.214
2022-12-11 07:00:00,109.07,109.09,108.86,109.05,10015.687
2022-12-11 08:00:00,109.04,109.20,108.95,109.07,7491.806
2022-12-11 09:00:00,109.06,109.07,108.80,108.96,12274.748
2022-12-11 10:00:00,108.96,109.09,108.86,109.07,9434.224
2022-12-11 11:00:00,109.07,109.08,108.21,108.56,42072.528
2022-12-11 12:00:00,108.56,108.61,107.80,107.93,36117.383
2022-12-11 13:00:00,107.93,108.28,107.79,108.26,23987.814
2022-12-11 14:00:00,108.25,108.63,107.89,108.35,23305.312
2022-12-11 15:00:00,108.36,108.37,106.19,106.97,65863.580
2022-12-11 16:00:00,106.96,107.20,106.60,106.90,18906.996
2022-12-11 17:00:00,106.91,107.20,105.49,106.25,44307.474
2022-12-11 18:00:00,106.25,106.80,105.92,106.09,39867.468
