Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,17133.10,17137.70,17120.90,17126.40,835.450
2022-12-01 00:05:00,17126.40,17135.60,17126.40,17129.10,513.747
2022-12-01 00:10:00,17129.10,17141.30,17126.50,17140.10,595.396
2022-12-01 00:15:00,17140.10,17145.00,17138.30,17140.90,479.020
2022-12-01 00:20:00,17140.90,17141.00,17132.00,17136.90,398.375
2022-12-01 00:25:00,17136.90,17137.00,17126.90,17134.90,356.309
2022-12-01 00:30:00,17134.90,17139.50,17103.00,17103.00,2150.746
2022-12-01 00:35:00,17103.10,17115.60,17083.30,17095.50,2110.821
2022-12-01 00:40:00,17095.50,17103.80,17080.20,17087.00,1673.485
2022-12-01 00:45:00,17087.10,17099.60,17054.00,17094.80,3146.071
2022-12-01 00:50:00,17094.90,17105.00,17090.00,17096.40,726.539
2022-12-01 00:55:00,17096.50,17111.60,17096.50,17105.30,832.808
2022-12-01 01:00:00,17105.30,17110.90,17101.00,17106.20,709.893
2022-12-01 01:05:00,17106.10,17115.40,17105.00,17109.40,637.581
2022-12-01 01:10:00,17109.50,17110.80,17095.10,17099.00,663.332
2022-12-01 01:15:00,17099.10,17103.80,17087.10,17089.50,857.366
2022-12-01 01:20:00,17089.50,17094.90,17087.90,17088.00,403.399
2022-12-01 01:25:00,17088.10,17098.00,17088.00,17091.10,593.547
2022-12-01 01:30:00,17091.20,17094.40,17081.90,17086.00,614.768
2022-12-01 01:35:00,17085.90,17086.10,17081.10,17084.90,530.157
2022-12-01 01:40:00,17084.90,17107.30,17084.90,17104.60,962.180
2022-12-01 01:45:00,17104.50,17118.50,17101.10,17118.50,1044.973
2022-12-01 01:50:00,17118.50,17123.30,17113.10,17114.90,775.620
2022-12-01 01:55:00,17114.90,17116.80,17110.20,17114.00,401.309
2022-12-01 02:00:00,17113.90,17116.50,17105.60,17105.60,573.582
2022-12-01 02:05:00,17105.70,17106.00,17095.00,17102.70,636.278
2022-12-01 02:10:00,17102.70,17104.00,17090.50,17103.90,587.176
2022-12-01 02:15:00,17103.90,17110.90,17099.30,17110.90,482.768
2022-12-01 02:20:00,17110.90,17114.10,17100.30,17100.30,525.538
2022-12-01 02:25:00,17100.30,17105.00,17098.60,17103.90,358.463
2022-12-01 02:30:00,17103.90,17105.80,17094.80,17097.00,490.668
2022-12-01 02:35:00,17097.00,17114.00,17095.50,17111.30,533.239
2022-12-01 02:40:00,17111.30,17114.50,17107.50,17113.40,488.916
2022-12-01 02:45:00,17113.30,17115.00,17104.20,17107.10,322.160
2022-12-01 02:50:00,17107.10,17107.20,17072.00,17080.10,1347.921
2022-12-01 02:55:00,17080.10,17092.30,17056.30,17062.60,1632.102
2022-12-01 03:00:00,17062.50,17083.10,17062.50,17074.70,1576.224
2022-12-01 03:05:00,17074.70,17080.00,17056.00,17057.80,1154.726
2022-12-01 03:10:00,17057.90,17073.20,17053.00,17071.10,1102.847
2022-12-01 03:15:00,17071.10,17078.90,17069.60,17076.60,585.062
2022-12-01 03:20:00,17076.50,17080.60,17069.40,17072.60,606.521
2022-12-01 03:25:00,17072.70,17079.40,17071.10,17072.30,480.235
2022-12-01 03:30:00,17072.30,17080.00,17072.30,17075.00,480.330
2022-12-01 03:35:00,17075.10,17093.90,17073.40,17090.90,1115.157
2022-12-01 03:40:00,17090.90,17102.40,17088.60,17101.00,1022.294
2022-12-01 03:45:00,17101.10,17132.90,17096.90,17127.30,2444.477
2022-12-01 03:50:00,17127.50,17128.70,17110.10,17118.10,887.287
2022-12-01 03:55:00,17117.90,17117.90,17102.50,17106.60,852.168
2022-12-01 04:00:00,17106.50,17108.30,17102.30,17102.40,563.716
2022-12-01 04:05:00,17102.30,17103.50,17086.00,17086.50,1193.275
2022-12-01 04:10:00,17086.60,17096.00,17086.00,17088.10,803.094
2022-12-01 04:15:00,17088.10,17095.30,17085.90,17093.20,628.566
2022-12-01 04:20:00,17093.30,17094.00,17086.10,17088.30,502.642
2022-12-01 04:25:00,17088.30,17096.70,17081.00,17094.80,757.279
2022-12-01 04:30:00,17094.90,17094.90,17080.90,17088.50,605.662
2022-12-01 04:35:00,17088.50,17095.50,17088.30,17089.00,652.032
2022-12-01 04:40:00,17089.10,17104.80,17089.00,17097.30,804.068
2022-12-01 04:45:00,17097.30,17109.30,17094.50,17106.50,678.445
2022-12-01 04:50:00,17106.50,17106.50,17099.10,17099.10,380.704
2022-12-01 04:55:00,17099.10,17110.30,17099.10,17106.10,721.794
2022-12-01 05:00:00,17106.20,17106.70,17096.90,17106.20,550.395
2022-12-01 05:05:00,17106.10,17106.20,17099.60,17104.50,354.571
2022-12-01 05:10:00,17104.50,17104.50,17096.00,17099.70,363.546
2022-12-01 05:15:00,17099.70,17100.80,17094.10,17094.20,419.750
2022-12-01 05:20:00,17094.10,17100.00,17083.00,17086.00,915.516
2022-12-01 05:25:00,17086.10,17089.40,17081.10,17083.80,490.369
2022-12-01 05:30:00,17083.90,17105.00,17083.90,17089.90,911.120
2022-12-01 05:35:00,17089.90,17093.40,17083.10,17090.20,501.538
2022-12-01 05:40:00,17090.30,17098.40,17090.20,17097.20,531.048
2022-12-01 05:45:00,17097.10,17099.10,17092.20,17098.20,401.270
2022-12-01 05:50:00,17098.30,17098.30,17086.20,17091.50,545.107
2022-12-01 05:55:00,17091.50,17092.00,17084.40,17087.90,523.855
2022-12-01 06:00:00,17087.90,17088.40,17050.00,17069.20,4303.652
2022-12-01 06:05:00,17069.10,17081.80,17066.50,17072.30,821.537
2022-12-01 06:10:00,17072.30,17076.40,17062.50,17076.30,973.444
2022-12-01 06:15:00,17076.30,17084.10,17074.20,17080.00,685.824
2022-12-01 06:20:00,17080.10,17082.30,17065.40,17065.50,599.616
2022-12-01 06:25:00,17065.50,17065.50,17030.00,17061.00,2939.470
2022-12-01 06:30:00,17060.90,17067.10,17057.40,17064.60,741.911
2022-12-01 06:35:00,17064.60,17070.90,17061.30,17066.50,959.814
2022-12-01 06:40:00,17066.50,17076.80,17066.40,17075.90,521.506
2022-12-01 06:45:00,17075.90,17090.00,17072.20,17089.40,1250.421
2022-12-01 06:50:00,17089.30,17096.70,17085.70,17095.30,1299.837
2022-12-01 06:55:00,17095.30,17099.80,17094.30,17096.90,761.550
2022-12-01 07:00:00,17096.90,17114.70,17095.00,17102.70,1939.962
2022-12-01 07:05:00,17102.70,17110.40,17096.30,17105.00,1003.633
2022-12-01 07:10:00,17105.10,17134.30,17105.00,17119.10,1855.568
2022-12-01 07:15:00,17119.10,17150.00,17119.10,17121.80,4095.951
2022-12-01 07:20:00,17121.80,17121.90,17104.20,17107.40,1605.174
2022-12-01 07:25:00,17107.50,17109.80,17098.00,17108.00,1044.416
2022-12-01 07:30:00,17108.10,17139.30,17106.50,17125.90,1937.225
2022-12-01 07:35:00,17125.90,17129.00,17113.00,17115.90,969.950
2022-12-01 07:40:00,17115.90,17141.60,17115.90,17132.10,983.703
2022-12-01 07:45:00,17132.10,17133.20,17110.90,17127.60,1032.714
