Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,0.2369,0.2376,0.2369,0.2376,312127
2022-12-01 00:15:00,0.2376,0.2378,0.2373,0.2374,306469
2022-12-01 00:30:00,0.2375,0.2375,0.2346,0.2347,1241532
2022-12-01 00:45:00,0.2347,0.2353,0.2340,0.2352,1052823
2022-12-01 01:00:00,0.2351,0.2359,0.2348,0.2348,721458
2022-12-01 01:15:00,0.2349,0.2352,0.2345,0.2350,394872
2022-12-01 01:30:00,0.2350,0.2356,0.2349,0.2356,548758
2022-12-01 01:45:00,0.2355,0.2361,0.2352,0.2360,322894
2022-12-01 02:00:00,0.2361,0.2361,0.2352,0.2357,601783
2022-12-01 02:15:00,0.2357,0.2363,0.2350,0.2356,3500555
2022-12-01 02:30:00,0.2357,0.2363,0.2355,0.2360,688666
2022-12-01 02:45:00,0.2360,0.2362,0.2352,0.2353,399075
2022-12-01 03:00:00,0.2353,0.2358,0.2349,0.2356,609395
2022-12-01 03:15:00,0.2355,0.2355,0.2349,0.2350,461332
2022-12-01 03:30:00,0.2351,0.2352,0.2348,0.2352,241083
2022-12-01 03:45:00,0.2351,0.2357,0.2351,0.2355,281152
2022-12-01 04:00:00,0.2355,0.2355,0.2346,0.2349,407554
2022-12-01 04:15:00,0.2348,0.2351,0.2344,0.2344,395709
2022-12-01 04:30:00,0.2344,0.2351,0.2344,0.2349,329229
2022-12-01 04:45:00,0.2349,0.2356,0.2349,0.2354,411498
2022-12-01 05:00:00,0.2354,0.2355,0.2347,0.2349,593084
2022-12-01 05:15:00,0.2348,0.2354,0.2338,0.2340,3260763
2022-12-01 05:30:00,0.2341,0.2352,0.2341,0.2350,780213
2022-12-01 05:45:00,0.2349,0.2351,0.2342,0.2343,472847
2022-12-01 06:00:00,0.2344,0.2346,0.2336,0.2344,735093
2022-12-01 06:15:00,0.2344,0.2347,0.2338,0.2341,395113
2022-12-01 06:30:00,0.2340,0.2344,0.2340,0.2342,308278
2022-12-01 06:45:00,0.2343,0.2358,0.2342,0.2356,485571
2022-12-01 07:00:00,0.2357,0.2373,0.2356,0.2370,1250622
2022-12-01 07:15:00,0.2370,0.2375,0.2361,0.2368,873235
2022-12-01 07:30:00,0.2368,0.2371,0.2364,0.2369,700645
2022-12-01 07:45:00,0.2370,0.2384,0.2369,0.2381,766551
2022-12-01 08:00:00,0.2381,0.2389,0.2377,0.2386,658357
2022-12-01 08:15:00,0.2386,0.2386,0.2376,0.2376,512993
2022-12-01 08:30:00,0.2377,0.2393,0.2370,0.2379,1994809
2022-12-01 08:45:00,0.2379,0.2379,0.2340,0.2366,2262675
2022-12-01 09:00:00,0.2365,0.2373,0.2350,0.2366,899733
2022-12-01 09:15:00,0.2365,0.2366,0.2346,0.2351,867306
2022-12-01 09:30:00,0.2351,0.2368,0.2351,0.2359,616335
2022-12-01 09:45:00,0.2359,0.2396,0.2359,0.2384,1224502
2022-12-01 10:00:00,0.2384,0.2391,0.2333,0.2337,1554456
2022-12-01 10:15:00,0.2338,0.2360,0.2322,0.2352,2155698
2022-12-01 10:30:00,0.2353,0.2364,0.2340,0.2357,1212565
2022-12-01 10:45:00,0.2358,0.2362,0.2339,0.2351,2128861
2022-12-01 11:00:00,0.2352,0.2361,0.2350,0.2351,842942
2022-12-01 11:15:00,0.2350,0.2354,0.2340,0.2350,621461
2022-12-01 11:30:00,0.2350,0.2373,0.2350,0.2361,973511
2022-12-01 11:45:00,0.2361,0.2362,0.2353,0.2357,494210
2022-12-01 12:00:00,0.2357,0.2358,0.2342,0.2348,818822
2022-12-01 12:15:00,0.2347,0.2355,0.2342,0.2349,694840
2022-12-01 12:30:00,0.2349,0.2360,0.2349,0.2355,502231
2022-12-01 12:45:00,0.2355,0.2363,0.2354,0.2359,357731
2022-12-01 13:00:00,0.2359,0.2364,0.2356,0.2362,297050
2022-12-01 13:15:00,0.2363,0.2373,0.2356,0.2370,1130373
2022-12-01 13:30:00,0.2370,0.2371,0.2360,0.2367,724096
2022-12-01 13:45:00,0.2368,0.2378,0.2367,0.2378,1047687
2022-12-01 14:00:00,0.2377,0.2385,0.2370,0.2376,1712008
2022-12-01 14:15:00,0.2374,0.2382,0.2373,0.2379,849317
