Date,Open,High,Low,Close,Volume
2022-12-01 03:00:00,0.586,0.590,0.574,0.582,16045112.0
2022-12-01 07:00:00,0.581,0.592,0.567,0.577,23972659.5
2022-12-01 11:00:00,0.578,0.590,0.574,0.578,9384013.6
2022-12-01 15:00:00,0.578,0.591,0.577,0.590,4722928.3
2022-12-01 19:00:00,0.590,0.599,0.569,0.572,13354708.8
2022-12-01 23:00:00,0.572,0.577,0.566,0.570,9385100.4
2022-12-02 03:00:00,0.571,0.579,0.570,0.576,6224161.4
2022-12-02 07:00:00,0.577,0.582,0.567,0.578,10296033.5
2022-12-02 11:00:00,0.579,0.594,0.578,0.593,8640316.4
2022-12-02 15:00:00,0.594,0.602,0.590,0.602,5061582.6
2022-12-02 19:00:00,0.602,0.606,0.594,0.596,9792758.2
2022-12-02 23:00:00,0.597,0.603,0.587,0.591,8522554.2
2022-12-03 03:00:00,0.591,0.600,0.586,0.599,6965411.9
2022-12-03 07:00:00,0.598,0.600,0.589,0.595,7429344.0
2022-12-03 11:00:00,0.595,0.597,0.590,0.596,4569949.1
2022-12-03 15:00:00,0.595,0.599,0.579,0.585,8542175.2
2022-12-03 19:00:00,0.585,0.601,0.577,0.593,13639457.7
2022-12-03 23:00:00,0.592,0.691,0.592,0.676,110167039.1
2022-12-04 03:00:00,0.676,0.697,0.667,0.677,97338700.6
2022-12-04 07:00:00,0.677,0.699,0.674,0.680,66096961.6
2022-12-04 11:00:00,0.679,0.734,0.676,0.711,113515751.2
2022-12-04 15:00:00,0.711,0.715,0.691,0.697,43684847.4
2022-12-04 19:00:00,0.696,0.719,0.681,0.692,79834032.7
2022-12-04 23:00:00,0.692,0.698,0.675,0.679,37885314.0
2022-12-05 03:00:00,0.678,0.683,0.661,0.667,33272149.4
2022-12-05 07:00:00,0.668,0.668,0.653,0.665,21024000.9
2022-12-05 11:00:00,0.664,0.676,0.651,0.663,25892128.9
2022-12-05 15:00:00,0.663,0.665,0.647,0.648,13405243.3
2022-12-05 19:00:00,0.649,0.652,0.640,0.643,17268051.8
2022-12-05 23:00:00,0.642,0.675,0.638,0.646,31780298.5
2022-12-06 03:00:00,0.646,0.649,0.631,0.636,15378245.9
2022-12-06 07:00:00,0.635,0.637,0.628,0.632,13977677.9
2022-12-06 11:00:00,0.633,0.634,0.623,0.626,11703573.2
2022-12-06 15:00:00,0.627,0.635,0.625,0.634,7940300.2
2022-12-06 19:00:00,0.634,0.637,0.612,0.614,12700934.2
2022-12-06 23:00:00,0.615,0.620,0.592,0.598,21193031.2
2022-12-07 03:00:00,0.597,0.602,0.593,0.598,15445151.5
2022-12-07 07:00:00,0.597,0.606,0.596,0.597,14412573.4
2022-12-07 11:00:00,0.598,0.599,0.586,0.588,11161450.2
2022-12-07 15:00:00,0.588,0.595,0.582,0.592,10238947.1
2022-12-07 19:00:00,0.591,0.612,0.576,0.581,27679260.4
2022-12-07 23:00:00,0.581,0.593,0.577,0.592,12136605.9
2022-12-08 03:00:00,0.592,0.597,0.576,0.581,10237832.5
2022-12-08 07:00:00,0.582,0.589,0.577,0.584,11632920.9
2022-12-08 11:00:00,0.585,0.609,0.578,0.601,17518428.8
2022-12-08 15:00:00,0.600,0.604,0.597,0.604,7557194.2
2022-12-08 19:00:00,0.603,0.604,0.588,0.594,14697437.7
2022-12-08 23:00:00,0.594,0.601,0.592,0.600,5607522.8
2022-12-09 03:00:00,0.600,0.602,0.595,0.601,6650684.8
2022-12-09 07:00:00,0.600,0.602,0.585,0.595,10361929.2
2022-12-09 11:00:00,0.595,0.595,0.587,0.590,6009820.6
2022-12-09 15:00:00,0.591,0.603,0.587,0.602,5084621.1
2022-12-09 19:00:00,0.602,0.641,0.599,0.630,57684950.0
2022-12-09 23:00:00,0.631,0.632,0.618,0.624,24716279.5
2022-12-10 03:00:00,0.625,0.629,0.609,0.610,18705248.9
2022-12-10 07:00:00,0.611,0.615,0.606,0.611,11210824.0
2022-12-10 11:00:00,0.612,0.613,0.602,0.605,7460666.2
2022-12-10 15:00:00,0.605,0.607,0.594,0.599,8162917.8
2022-12-10 19:00:00,0.599,0.600,0.589,0.592,9568788.9
2022-12-10 23:00:00,0.592,0.598,0.592,0.595,7582902.5
2022-12-11 03:00:00,0.596,0.597,0.592,0.595,6134167.8
2022-12-11 07:00:00,0.596,0.596,0.586,0.588,5901291.2
2022-12-11 11:00:00,0.588,0.593,0.582,0.591,7272406.8
2022-12-11 15:00:00,0.590,0.590,0.563,0.574,18949896.6
2022-12-11 19:00:00,0.574,0.599,0.556,0.567,32990400.8
2022-12-11 23:00:00,0.567,0.568,0.550,0.554,14652092.2
2022-12-12 03:00:00,0.553,0.564,0.553,0.563,6384321.1
2022-12-12 07:00:00,0.563,0.565,0.553,0.559,15668464.5
2022-12-12 11:00:00,0.560,0.564,0.555,0.559,7781411.8
2022-12-12 15:00:00,0.560,0.564,0.554,0.561,8664058.4
2022-12-12 19:00:00,0.561,0.563,0.549,0.550,7949022.7
2022-12-12 23:00:00,0.550,0.551,0.523,0.531,15808210.8
2022-12-13 03:00:00,0.531,0.546,0.529,0.542,12378466.2
2022-12-13 07:00:00,0.543,0.567,0.538,0.554,20614870.3
2022-12-13 11:00:00,0.554,0.558,0.546,0.549,9106579.0
2022-12-13 15:00:00,0.550,0.561,0.548,0.560,4912460.5
2022-12-13 19:00:00,0.560,0.561,0.549,0.557,9895706.0
2022-12-13 23:00:00,0.557,0.559,0.550,0.552,5481214.7
2022-12-14 03:00:00,0.552,0.553,0.546,0.546,6923750.5
2022-12-14 07:00:00,0.547,0.554,0.545,0.552,7892660.2
2022-12-14 11:00:00,0.551,0.555,0.530,0.541,13671149.9
2022-12-14 15:00:00,0.542,0.547,0.538,0.544,5451706.3
2022-12-14 19:00:00,0.544,0.544,0.527,0.541,9708512.0
2022-12-14 23:00:00,0.540,0.585,0.540,0.575,60571595.0
2022-12-15 03:00:00,0.574,0.605,0.570,0.594,97962527.5
2022-12-15 07:00:00,0.594,0.595,0.567,0.570,45188040.8
2022-12-15 11:00:00,0.569,0.586,0.568,0.583,33887246.3
2022-12-15 15:00:00,0.583,0.585,0.565,0.567,23343881.2
2022-12-15 19:00:00,0.566,0.600,0.556,0.592,78891147.7
2022-12-15 23:00:00,0.592,0.593,0.579,0.582,29755145.2
2022-12-16 03:00:00,0.582,0.591,0.563,0.584,39890349.4
2022-12-16 07:00:00,0.583,0.595,0.573,0.579,32802064.0
2022-12-16 11:00:00,0.579,0.583,0.570,0.578,21617654.1
2022-12-16 15:00:00,0.578,0.585,0.527,0.539,33517343.5
2022-12-16 19:00:00,0.539,0.540,0.498,0.511,33990574.8
2022-12-16 23:00:00,0.512,0.524,0.509,0.521,15052919.6
2022-12-17 03:00:00,0.522,0.523,0.512,0.514,11743742.4
