Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,38.21,38.39,38.20,38.30,3253.177
2022-12-01 00:15:00,38.30,38.33,38.22,38.22,1425.858
2022-12-01 00:30:00,38.23,38.27,38.09,38.13,6231.750
2022-12-01 00:45:00,38.11,38.37,38.05,38.36,5681.040
2022-12-01 01:00:00,38.36,38.37,38.25,38.26,3481.675
2022-12-01 01:15:00,38.26,38.28,38.22,38.26,1165.569
2022-12-01 01:30:00,38.26,38.30,38.11,38.13,5717.541
2022-12-01 01:45:00,38.14,38.18,38.11,38.14,2974.386
2022-12-01 02:00:00,38.14,38.18,38.10,38.12,3811.921
2022-12-01 02:15:00,38.13,38.17,38.10,38.16,2581.572
2022-12-01 02:30:00,38.15,38.34,38.15,38.32,7274.699
2022-12-01 02:45:00,38.32,38.35,38.23,38.27,4002.250
2022-12-01 03:00:00,38.26,38.35,38.18,38.21,3498.537
2022-12-01 03:15:00,38.21,38.22,38.18,38.20,1235.055
2022-12-01 03:30:00,38.20,38.24,38.18,38.23,1681.430
2022-12-01 03:45:00,38.22,38.34,38.20,38.33,3237.835
2022-12-01 04:00:00,38.33,38.34,38.23,38.27,3064.563
2022-12-01 04:15:00,38.27,38.27,38.16,38.19,2541.297
2022-12-01 04:30:00,38.19,38.27,38.18,38.23,2055.260
2022-12-01 04:45:00,38.25,38.26,38.17,38.17,2779.945
2022-12-01 05:00:00,38.18,38.20,38.15,38.17,2730.435
2022-12-01 05:15:00,38.18,38.18,38.08,38.11,3690.774
2022-12-01 05:30:00,38.11,38.18,38.07,38.14,3142.198
2022-12-01 05:45:00,38.14,38.16,38.05,38.08,2276.501
2022-12-01 06:00:00,38.08,38.19,38.01,38.14,7573.832
2022-12-01 06:15:00,38.13,38.14,38.00,38.10,4290.955
2022-12-01 06:30:00,38.10,38.14,38.07,38.11,1779.844
2022-12-01 06:45:00,38.12,38.24,38.10,38.22,1912.682
2022-12-01 07:00:00,38.23,38.34,38.22,38.28,4767.853
2022-12-01 07:15:00,38.29,38.32,38.18,38.20,2749.218
2022-12-01 07:30:00,38.21,38.39,38.20,38.36,3575.594
2022-12-01 07:45:00,38.36,38.45,38.34,38.44,2459.354
2022-12-01 08:00:00,38.43,38.47,38.34,38.37,3354.237
2022-12-01 08:15:00,38.39,38.40,38.28,38.32,2207.959
2022-12-01 08:30:00,38.32,38.48,38.18,38.20,14476.876
2022-12-01 08:45:00,38.20,38.24,37.64,37.97,31622.221
2022-12-01 09:00:00,37.96,37.99,37.80,37.90,4959.414
2022-12-01 09:15:00,37.88,37.90,37.71,37.75,5340.248
2022-12-01 09:30:00,37.75,37.93,37.72,37.80,4961.242
2022-12-01 09:45:00,37.80,38.10,37.80,38.00,4627.611
2022-12-01 10:00:00,38.02,38.11,37.25,37.37,15757.872
2022-12-01 10:15:00,37.36,37.78,37.27,37.71,12216.581
2022-12-01 10:30:00,37.71,37.86,37.55,37.79,8779.998
2022-12-01 10:45:00,37.79,37.90,37.75,37.88,2671.121
2022-12-01 11:00:00,37.88,37.96,37.78,37.81,3606.493
2022-12-01 11:15:00,37.81,37.90,37.66,37.86,3180.764
2022-12-01 11:30:00,37.85,38.02,37.85,37.98,4085.780
2022-12-01 11:45:00,37.98,37.99,37.88,37.88,1575.184
2022-12-01 12:00:00,37.88,37.93,37.65,37.82,3370.347
2022-12-01 12:15:00,37.81,37.94,37.73,37.89,1786.439
2022-12-01 12:30:00,37.90,37.96,37.85,37.86,3515.127
2022-12-01 12:45:00,37.86,37.96,37.84,37.85,1775.098
2022-12-01 13:00:00,37.85,37.93,37.85,37.92,2815.432
2022-12-01 13:15:00,37.91,37.91,37.79,37.81,1566.596
2022-12-01 13:30:00,37.80,37.85,37.73,37.85,3785.867
2022-12-01 13:45:00,37.82,37.89,37.72,37.73,1291.124
2022-12-01 14:00:00,37.74,37.75,37.60,37.64,3293.083
2022-12-01 14:15:00,37.62,37.79,37.62,37.76,1490.634
2022-12-01 14:30:00,37.75,37.75,37.62,37.62,2959.124
2022-12-01 14:45:00,37.63,37.66,37.39,37.39,7481.289
2022-12-01 15:00:00,37.37,37.41,37.33,37.34,8564.051
2022-12-01 15:15:00,37.33,37.44,37.33,37.41,2103.483
2022-12-01 15:30:00,37.40,37.41,37.33,37.40,2265.900
2022-12-01 15:45:00,37.40,37.41,37.28,37.30,1632.812
2022-12-01 16:00:00,37.30,37.31,37.18,37.26,4612.342
2022-12-01 16:15:00,37.27,37.38,37.26,37.34,2128.604
2022-12-01 16:30:00,37.33,37.37,37.24,37.35,2135.804
2022-12-01 16:45:00,37.36,37.40,37.29,37.30,1936.735
2022-12-01 17:00:00,37.30,37.34,37.28,37.31,2092.000
2022-12-01 17:15:00,37.30,37.49,37.30,37.39,1455.404
2022-12-01 17:30:00,37.39,37.49,37.39,37.46,1839.693
2022-12-01 17:45:00,37.45,37.48,37.36,37.41,2232.299
2022-12-01 18:00:00,37.41,37.53,37.38,37.38,2131.097
2022-12-01 18:15:00,37.39,37.45,37.14,37.22,4571.308
2022-12-01 18:30:00,37.25,37.36,37.21,37.30,2318.100
2022-12-01 18:45:00,37.31,37.49,37.31,37.46,1702.676
2022-12-01 19:00:00,37.48,37.52,37.27,37.41,5527.815
2022-12-01 19:15:00,37.40,37.40,37.31,37.34,1766.680
2022-12-01 19:30:00,37.34,37.71,37.33,37.64,6418.350
2022-12-01 19:45:00,37.64,37.64,37.49,37.60,2072.973
2022-12-01 20:00:00,37.60,37.72,37.57,37.67,2709.015
2022-12-01 20:15:00,37.66,37.66,37.48,37.56,1634.370
2022-12-01 20:30:00,37.56,37.57,37.49,37.50,1731.878
2022-12-01 20:45:00,37.49,37.49,37.03,37.33,8081.860
2022-12-01 21:00:00,37.32,37.42,36.74,36.90,12300.066
2022-12-01 21:15:00,36.89,37.26,36.80,37.21,6433.224
2022-12-01 21:30:00,37.22,37.35,37.14,37.22,3393.096
2022-12-01 21:45:00,37.22,37.25,37.06,37.24,2404.147
2022-12-01 22:00:00,37.25,37.31,37.19,37.30,2040.329
2022-12-01 22:15:00,37.30,37.31,37.16,37.16,1964.205
2022-12-01 22:30:00,37.16,37.22,37.14,37.22,995.931
2022-12-01 22:45:00,37.22,37.27,37.16,37.24,2587.208
2022-12-01 23:00:00,37.24,37.24,36.94,37.05,4799.395
2022-12-01 23:15:00,37.06,37.33,37.05,37.33,3502.520
2022-12-01 23:30:00,37.33,37.41,37.25,37.29,2153.317
2022-12-01 23:45:00,37.29,37.34,37.26,37.32,585.235
2022-12-02 00:00:00,37.32,37.41,37.29,37.39,894.783
2022-12-02 00:15:00,37.38,37.43,37.38,37.40,1079.289
2022-12-02 00:30:00,37.40,37.44,37.39,37.39,1110.419
