Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,0.668,0.670,0.667,0.668,660329.6
2022-12-01 00:05:00,0.668,0.669,0.668,0.669,49315.8
2022-12-01 00:10:00,0.668,0.670,0.667,0.670,619318.1
2022-12-01 00:15:00,0.670,0.671,0.669,0.670,417605.8
2022-12-01 00:20:00,0.671,0.673,0.670,0.672,859611.7
2022-12-01 00:25:00,0.672,0.672,0.670,0.670,202847.7
2022-12-01 00:30:00,0.670,0.672,0.667,0.668,1740730.7
2022-12-01 00:35:00,0.668,0.669,0.662,0.663,2278931.7
2022-12-01 00:40:00,0.663,0.665,0.662,0.663,572093.3
2022-12-01 00:45:00,0.664,0.665,0.661,0.662,1477027.6
2022-12-01 00:50:00,0.663,0.663,0.662,0.662,112320.5
2022-12-01 00:55:00,0.662,0.663,0.661,0.663,633615.0
2022-12-01 01:00:00,0.662,0.663,0.661,0.662,289365.4
2022-12-01 01:05:00,0.661,0.663,0.661,0.663,165570.3
2022-12-01 01:10:00,0.662,0.663,0.662,0.663,69016.4
2022-12-01 01:15:00,0.662,0.663,0.661,0.661,432013.9
2022-12-01 01:20:00,0.662,0.663,0.661,0.663,278635.9
2022-12-01 01:25:00,0.662,0.663,0.662,0.663,81076.8
2022-12-01 01:30:00,0.663,0.664,0.662,0.663,372201.0
2022-12-01 01:35:00,0.664,0.664,0.662,0.663,202191.2
2022-12-01 01:40:00,0.663,0.664,0.662,0.663,187866.7
2022-12-01 01:45:00,0.664,0.664,0.662,0.662,310256.4
2022-12-01 01:50:00,0.663,0.665,0.662,0.664,277697.9
2022-12-01 01:55:00,0.665,0.665,0.664,0.665,38995.0
2022-12-01 02:00:00,0.665,0.665,0.662,0.663,614075.9
2022-12-01 02:05:00,0.662,0.665,0.662,0.665,868930.4
2022-12-01 02:10:00,0.664,0.664,0.662,0.663,316034.6
2022-12-01 02:15:00,0.664,0.665,0.663,0.665,209355.2
2022-12-01 02:20:00,0.665,0.665,0.662,0.663,485608.5
2022-12-01 02:25:00,0.662,0.664,0.662,0.664,195875.6
2022-12-01 02:30:00,0.664,0.664,0.661,0.662,486063.4
2022-12-01 02:35:00,0.661,0.664,0.661,0.664,367792.5
2022-12-01 02:40:00,0.664,0.664,0.662,0.664,223538.1
2022-12-01 02:45:00,0.664,0.664,0.662,0.663,168171.6
2022-12-01 02:50:00,0.662,0.663,0.660,0.662,646731.7
2022-12-01 02:55:00,0.661,0.663,0.661,0.662,912445.8
2022-12-01 03:00:00,0.662,0.663,0.661,0.662,623366.3
2022-12-01 03:05:00,0.661,0.663,0.660,0.660,416873.9
2022-12-01 03:10:00,0.661,0.663,0.659,0.662,584567.8
2022-12-01 03:15:00,0.662,0.663,0.662,0.663,56657.9
2022-12-01 03:20:00,0.663,0.663,0.661,0.663,1750989.1
2022-12-01 03:25:00,0.662,0.663,0.661,0.662,171681.4
2022-12-01 03:30:00,0.662,0.663,0.661,0.662,156637.2
2022-12-01 03:35:00,0.662,0.663,0.661,0.663,283449.6
2022-12-01 03:40:00,0.662,0.663,0.661,0.662,330043.2
2022-12-01 03:45:00,0.662,0.664,0.662,0.664,420442.5
2022-12-01 03:50:00,0.663,0.664,0.663,0.663,18401.9
2022-12-01 03:55:00,0.664,0.664,0.662,0.663,354441.9
2022-12-01 04:00:00,0.662,0.663,0.660,0.661,1192323.0
2022-12-01 04:05:00,0.660,0.661,0.658,0.659,587712.2
2022-12-01 04:10:00,0.659,0.660,0.658,0.660,303153.7
