Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,1.727,1.738,1.707,1.710,4509912.9
2022-12-01 01:00:00,1.711,1.729,1.708,1.725,2356972.2
2022-12-01 02:00:00,1.726,1.727,1.709,1.710,2744732.9
2022-12-01 03:00:00,1.711,1.724,1.708,1.722,2235351.7
2022-12-01 04:00:00,1.721,1.722,1.707,1.720,1922848.5
2022-12-01 05:00:00,1.720,1.721,1.704,1.704,2326003.1
2022-12-01 06:00:00,1.704,1.722,1.697,1.718,2675777.3
2022-12-01 07:00:00,1.718,1.750,1.716,1.744,5178229.2
2022-12-01 08:00:00,1.744,1.779,1.720,1.767,10237016.5
2022-12-01 09:00:00,1.767,1.824,1.751,1.820,13406502.9
2022-12-01 10:00:00,1.820,1.848,1.784,1.829,17457647.4
2022-12-01 11:00:00,1.830,1.849,1.803,1.830,8471045.8
2022-12-01 12:00:00,1.831,1.855,1.811,1.832,6461884.8
2022-12-01 13:00:00,1.833,1.852,1.818,1.844,4946598.1
2022-12-01 14:00:00,1.843,1.868,1.828,1.847,6813464.0
2022-12-01 15:00:00,1.847,1.857,1.831,1.836,3760757.1
2022-12-01 16:00:00,1.835,1.840,1.819,1.829,3911735.6
2022-12-01 17:00:00,1.828,1.873,1.826,1.844,5615753.6
2022-12-01 18:00:00,1.843,1.854,1.822,1.830,3670547.7
2022-12-01 19:00:00,1.830,1.893,1.811,1.891,11954881.2
2022-12-01 20:00:00,1.890,1.899,1.843,1.854,7348785.0
2022-12-01 21:00:00,1.854,1.861,1.824,1.845,4771063.3
2022-12-01 22:00:00,1.844,1.845,1.828,1.834,2169142.1
2022-12-01 23:00:00,1.834,1.869,1.813,1.865,5278006.3
2022-12-02 00:00:00,1.865,1.894,1.865,1.885,6405181.2
2022-12-02 01:00:00,1.885,1.888,1.866,1.870,5059799.1
2022-12-02 02:00:00,1.870,1.897,1.859,1.889,5076968.0
2022-12-02 03:00:00,1.889,1.919,1.880,1.886,10775184.0
2022-12-02 04:00:00,1.885,1.920,1.876,1.910,8666304.9
2022-12-02 05:00:00,1.909,1.933,1.893,1.919,10559622.4
2022-12-02 06:00:00,1.920,1.928,1.885,1.889,8753836.7
