Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,4.377,4.390,4.376,4.389,99026.6
2022-12-01 00:15:00,4.389,4.396,4.388,4.393,77747.6
2022-12-01 00:30:00,4.394,4.396,4.367,4.368,269489.9
2022-12-01 00:45:00,4.368,4.384,4.360,4.378,179501.9
2022-12-01 01:00:00,4.378,4.388,4.376,4.382,132292.1
2022-12-01 01:15:00,4.382,4.384,4.375,4.378,75051.1
2022-12-01 01:30:00,4.378,4.388,4.377,4.385,93420.5
2022-12-01 01:45:00,4.385,4.389,4.384,4.386,39840.1
2022-12-01 02:00:00,4.387,4.388,4.371,4.373,83882.0
2022-12-01 02:15:00,4.373,4.384,4.373,4.380,106628.4
2022-12-01 02:30:00,4.379,4.389,4.375,4.387,71500.2
2022-12-01 02:45:00,4.387,4.389,4.374,4.379,128612.7
2022-12-01 03:00:00,4.378,4.383,4.366,4.376,189991.9
2022-12-01 03:15:00,4.376,4.378,4.373,4.374,39646.6
2022-12-01 03:30:00,4.375,4.383,4.373,4.381,61532.5
2022-12-01 03:45:00,4.382,4.388,4.380,4.383,43913.7
2022-12-01 04:00:00,4.382,4.386,4.369,4.370,101355.5
2022-12-01 04:15:00,4.370,4.378,4.369,4.378,111546.6
2022-12-01 04:30:00,4.377,4.383,4.365,4.377,134359.4
2022-12-01 04:45:00,4.377,4.388,4.377,4.386,77207.2
2022-12-01 05:00:00,4.386,4.388,4.383,4.386,57600.5
2022-12-01 05:15:00,4.386,4.387,4.375,4.378,73653.4
2022-12-01 05:30:00,4.379,4.403,4.379,4.402,292882.8
2022-12-01 05:45:00,4.401,4.410,4.397,4.406,167729.9
2022-12-01 06:00:00,4.407,4.436,4.404,4.413,436776.9
2022-12-01 06:15:00,4.412,4.418,4.400,4.404,179170.7
2022-12-01 06:30:00,4.405,4.407,4.392,4.398,186593.2
2022-12-01 06:45:00,4.397,4.410,4.394,4.409,96909.6
2022-12-01 07:00:00,4.410,4.423,4.410,4.417,163955.3
2022-12-01 07:15:00,4.417,4.420,4.395,4.402,254764.7
2022-12-01 07:30:00,4.402,4.416,4.402,4.415,119937.0
2022-12-01 07:45:00,4.415,4.435,4.410,4.434,194345.0
2022-12-01 08:00:00,4.434,4.481,4.434,4.456,561455.1
2022-12-01 08:15:00,4.457,4.459,4.441,4.442,302907.3
2022-12-01 08:30:00,4.442,4.459,4.411,4.417,888892.3
2022-12-01 08:45:00,4.417,4.418,4.356,4.388,1029028.0
2022-12-01 09:00:00,4.389,4.410,4.374,4.397,314084.2
2022-12-01 09:15:00,4.397,4.398,4.372,4.377,290130.6
2022-12-01 09:30:00,4.378,4.398,4.373,4.393,328256.2
2022-12-01 09:45:00,4.392,4.418,4.392,4.407,225484.1
2022-12-01 10:00:00,4.407,4.413,4.350,4.356,608270.8
2022-12-01 10:15:00,4.356,4.377,4.341,4.368,597156.3
2022-12-01 10:30:00,4.369,4.385,4.356,4.379,248441.0
2022-12-01 10:45:00,4.379,4.399,4.377,4.399,156893.4
2022-12-01 11:00:00,4.398,4.406,4.391,4.396,253030.7
2022-12-01 11:15:00,4.397,4.405,4.378,4.402,247660.5
2022-12-01 11:30:00,4.401,4.415,4.398,4.413,163691.8
2022-12-01 11:45:00,4.414,4.417,4.401,4.401,183110.0
2022-12-01 12:00:00,4.402,4.402,4.383,4.391,255335.8
2022-12-01 12:15:00,4.390,4.399,4.379,4.398,142456.7
2022-12-01 12:30:00,4.397,4.405,4.391,4.396,98631.6
2022-12-01 12:45:00,4.395,4.399,4.391,4.393,39684.3
2022-12-01 13:00:00,4.392,4.393,4.383,4.391,138030.4
2022-12-01 13:15:00,4.390,4.391,4.374,4.377,130361.9
2022-12-01 13:30:00,4.376,4.381,4.368,4.380,109751.0
2022-12-01 13:45:00,4.380,4.389,4.368,4.371,123346.4
2022-12-01 14:00:00,4.370,4.372,4.362,4.366,99992.0
2022-12-01 14:15:00,4.365,4.377,4.365,4.375,69307.8
2022-12-01 14:30:00,4.374,4.376,4.368,4.370,94615.8
2022-12-01 14:45:00,4.370,4.382,4.368,4.371,153217.0
2022-12-01 15:00:00,4.370,4.375,4.368,4.369,86103.6
2022-12-01 15:15:00,4.370,4.374,4.367,4.367,45174.0
2022-12-01 15:30:00,4.367,4.371,4.363,4.371,120358.0
2022-12-01 15:45:00,4.371,4.371,4.356,4.359,60049.7
2022-12-01 16:00:00,4.358,4.361,4.346,4.357,187566.3
2022-12-01 16:15:00,4.356,4.367,4.354,4.361,65981.8
2022-12-01 16:30:00,4.362,4.375,4.360,4.371,91990.6
2022-12-01 16:45:00,4.370,4.372,4.365,4.366,53940.2
2022-12-01 17:00:00,4.366,4.372,4.363,4.369,85186.5
2022-12-01 17:15:00,4.370,4.380,4.367,4.367,95378.7
2022-12-01 17:30:00,4.367,4.380,4.367,4.375,79513.2
2022-12-01 17:45:00,4.374,4.378,4.364,4.374,68946.2
2022-12-01 18:00:00,4.373,4.390,4.373,4.375,123962.9
2022-12-01 18:15:00,4.375,4.376,4.347,4.363,207905.8
2022-12-01 18:30:00,4.363,4.378,4.360,4.377,136730.4
2022-12-01 18:45:00,4.377,4.391,4.373,4.391,81076.1
2022-12-01 19:00:00,4.391,4.393,4.372,4.388,234697.0
2022-12-01 19:15:00,4.389,4.396,4.383,4.393,124296.2
2022-12-01 19:30:00,4.392,4.427,4.391,4.426,349436.3
2022-12-01 19:45:00,4.425,4.439,4.422,4.436,293611.6
2022-12-01 20:00:00,4.436,4.447,4.418,4.422,324872.1
2022-12-01 20:15:00,4.422,4.423,4.410,4.420,156427.3
2022-12-01 20:30:00,4.420,4.422,4.403,4.408,258090.2
2022-12-01 20:45:00,4.407,4.408,4.356,4.385,580282.3
2022-12-01 21:00:00,4.384,4.393,4.336,4.354,409211.4
2022-12-01 21:15:00,4.353,4.388,4.349,4.377,301460.9
2022-12-01 21:30:00,4.378,4.399,4.374,4.387,199290.1
2022-12-01 21:45:00,4.386,4.399,4.376,4.398,98643.8
2022-12-01 22:00:00,4.398,4.404,4.392,4.403,96455.8
2022-12-01 22:15:00,4.402,4.403,4.384,4.385,135539.2
2022-12-01 22:30:00,4.385,4.387,4.380,4.387,71610.7
2022-12-01 22:45:00,4.388,4.389,4.372,4.380,103534.5
2022-12-01 23:00:00,4.380,4.380,4.360,4.368,202128.0
2022-12-01 23:15:00,4.367,4.422,4.367,4.420,230279.2
2022-12-01 23:30:00,4.419,4.431,4.407,4.414,238154.9
2022-12-01 23:45:00,4.415,4.419,4.411,4.417,82098.4
2022-12-02 00:00:00,4.416,4.425,4.415,4.423,93073.4
2022-12-02 00:15:00,4.423,4.423,4.416,4.419,95020.2
2022-12-02 00:30:00,4.420,4.424,4.415,4.419,125336.7
2022-12-02 00:45:00,4.418,4.429,4.417,4.423,119061.1
2022-12-02 01:00:00,4.423,4.426,4.410,4.412,174907.5
2022-12-02 01:15:00,4.413,4.420,4.405,4.416,86244.6
2022-12-02 01:30:00,4.417,4.419,4.392,4.398,208032.0
2022-12-02 01:45:00,4.399,4.405,4.397,4.398,71729.1
2022-12-02 02:00:00,4.399,4.439,4.385,4.430,492020.2
2022-12-02 02:15:00,4.429,4.450,4.428,4.433,378173.2
2022-12-02 02:30:00,4.434,4.445,4.430,4.431,359156.0
2022-12-02 02:45:00,4.431,4.433,4.418,4.421,198342.0
2022-12-02 03:00:00,4.421,4.434,4.417,4.433,223543.5
2022-12-02 03:15:00,4.432,4.438,4.428,4.438,111559.2
2022-12-02 03:30:00,4.437,4.460,4.433,4.457,228175.3
2022-12-02 03:45:00,4.456,4.460,4.441,4.452,235806.1
2022-12-02 04:00:00,4.452,4.453,4.441,4.448,241842.5
2022-12-02 04:15:00,4.448,4.449,4.433,4.435,166644.2
2022-12-02 04:30:00,4.435,4.449,4.434,4.441,107708.8
2022-12-02 04:45:00,4.441,4.445,4.432,4.435,91573.7
2022-12-02 05:00:00,4.435,4.459,4.435,4.457,242205.6
2022-12-02 05:15:00,4.457,4.622,4.457,4.582,2569612.9
