Date,Open,High,Low,Close,Volume
2022-12-01 03:00:00,4.378,4.436,4.365,4.409,2250870.4
2022-12-01 07:00:00,4.410,4.481,4.341,4.399,6284001.3
2022-12-01 11:00:00,4.398,4.417,4.362,4.371,2302223.7
2022-12-01 15:00:00,4.370,4.391,4.346,4.391,1589864.0
2022-12-01 19:00:00,4.391,4.447,4.336,4.380,3737459.4
2022-12-01 23:00:00,4.380,4.450,4.360,4.421,3153756.5
2022-12-02 03:00:00,4.421,4.664,4.417,4.603,10496042.5
2022-12-02 07:00:00,4.603,4.703,4.446,4.574,13990975.9
2022-12-02 11:00:00,4.573,4.619,4.519,4.615,3644780.8
2022-12-02 15:00:00,4.615,4.663,4.582,4.641,2146161.0
2022-12-02 19:00:00,4.642,4.690,4.531,4.543,4682761.1
2022-12-02 23:00:00,4.543,4.575,4.504,4.524,2355331.2
2022-12-03 03:00:00,4.524,4.579,4.505,4.549,2207467.4
2022-12-03 07:00:00,4.550,4.560,4.518,4.541,1744251.2
2022-12-03 11:00:00,4.541,4.546,4.473,4.498,1496419.0
2022-12-03 15:00:00,4.498,4.505,4.370,4.422,3311465.9
2022-12-03 19:00:00,4.422,4.479,4.416,4.465,1976359.7
2022-12-03 23:00:00,4.466,4.503,4.462,4.489,1400807.0
2022-12-04 03:00:00,4.489,4.499,4.460,4.468,1671954.8
2022-12-04 07:00:00,4.469,4.520,4.463,4.518,1868143.9
2022-12-04 11:00:00,4.517,4.580,4.503,4.549,2314927.9
2022-12-04 15:00:00,4.549,4.599,4.544,4.571,1762528.8
2022-12-04 19:00:00,4.570,4.613,4.556,4.575,2969770.2
2022-12-04 23:00:00,4.576,4.615,4.562,4.577,2821793.7
2022-12-05 03:00:00,4.578,4.620,4.575,4.592,2739120.2
2022-12-05 07:00:00,4.593,4.593,4.517,4.557,4920903.7
2022-12-05 11:00:00,4.557,4.557,4.460,4.487,4521197.5
2022-12-05 15:00:00,4.486,4.523,4.474,4.519,1505868.2
2022-12-05 19:00:00,4.519,4.545,4.506,4.523,1751668.6
2022-12-05 23:00:00,4.522,4.546,4.490,4.542,2034075.8
2022-12-06 03:00:00,4.542,4.628,4.501,4.521,7264344.7
2022-12-06 07:00:00,4.520,4.619,4.501,4.594,4717445.3
2022-12-06 11:00:00,4.595,4.609,4.524,4.552,3149657.1
2022-12-06 15:00:00,4.552,4.596,4.547,4.588,2153412.5
2022-12-06 19:00:00,4.589,4.593,4.553,4.569,1856088.4
2022-12-06 23:00:00,4.570,4.600,4.156,4.336,9412318.5
2022-12-07 03:00:00,4.335,4.404,4.317,4.360,5014140.5
2022-12-07 07:00:00,4.361,4.395,4.345,4.364,3053316.9
2022-12-07 11:00:00,4.364,4.372,4.323,4.329,1973078.7
2022-12-07 15:00:00,4.329,4.347,4.295,4.344,2172166.0
2022-12-07 19:00:00,4.345,4.394,4.333,4.372,2723202.0
2022-12-07 23:00:00,4.371,4.376,4.337,4.366,1890250.6
2022-12-08 03:00:00,4.366,4.380,4.300,4.365,3186834.0
2022-12-08 07:00:00,4.364,4.391,4.350,4.370,3264248.4
2022-12-08 11:00:00,4.371,4.438,4.345,4.428,2917810.2
2022-12-08 15:00:00,4.429,4.438,4.382,4.389,2282918.1
2022-12-08 19:00:00,4.390,4.463,4.374,4.439,3336325.9
2022-12-08 23:00:00,4.438,4.459,4.426,4.449,1224537.5
2022-12-09 03:00:00,4.450,4.462,4.416,4.441,2566095.5
2022-12-09 07:00:00,4.440,4.463,4.370,4.445,3815681.8
2022-12-09 11:00:00,4.446,4.446,4.404,4.423,1498349.5
2022-12-09 15:00:00,4.423,4.437,4.412,4.437,1141269.2
2022-12-09 19:00:00,4.437,4.448,4.399,4.410,1522822.9
2022-12-09 23:00:00,4.410,4.414,4.393,4.396,851420.7
2022-12-10 03:00:00,4.397,4.409,4.365,4.403,1751058.6
2022-12-10 07:00:00,4.404,4.419,4.388,4.411,1180294.5
2022-12-10 11:00:00,4.412,4.417,4.390,4.403,991178.1
2022-12-10 15:00:00,4.402,4.408,4.359,4.378,1174509.9
2022-12-10 19:00:00,4.377,4.404,4.369,4.400,1062120.5
2022-12-10 23:00:00,4.401,4.416,4.396,4.413,947440.6
2022-12-11 03:00:00,4.413,4.413,4.384,4.397,1135955.1
2022-12-11 07:00:00,4.396,4.403,4.381,4.394,1086811.6
2022-12-11 11:00:00,4.393,4.412,4.373,4.383,1140458.3
2022-12-11 15:00:00,4.384,4.384,4.231,4.278,3789569.4
2022-12-11 19:00:00,4.277,4.285,4.150,4.228,4459791.4
2022-12-11 23:00:00,4.229,4.244,4.205,4.223,2042894.1
2022-12-12 03:00:00,4.223,4.252,4.208,4.244,1633821.5
2022-12-12 07:00:00,4.243,4.251,4.208,4.209,2146481.4
2022-12-12 11:00:00,4.210,4.224,4.204,4.216,1307211.7
2022-12-12 15:00:00,4.217,4.267,4.209,4.256,1690979.7
2022-12-12 19:00:00,4.256,4.275,4.225,4.229,1403352.5
2022-12-12 23:00:00,4.228,4.248,4.108,4.173,3774174.4
2022-12-13 03:00:00,4.174,4.264,4.164,4.255,2334167.6
