Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,0.0863,0.0866,0.0863,0.0865,699628
2022-12-01 00:15:00,0.0866,0.0866,0.0864,0.0864,192839
2022-12-01 00:30:00,0.0864,0.0865,0.0857,0.0857,1196516
2022-12-01 00:45:00,0.0858,0.0860,0.0856,0.0859,786696
2022-12-01 01:00:00,0.0860,0.0862,0.0859,0.0861,521500
2022-12-01 01:15:00,0.0860,0.0862,0.0860,0.0862,328160
2022-12-01 01:30:00,0.0862,0.0863,0.0860,0.0863,367051
2022-12-01 01:45:00,0.0862,0.0863,0.0861,0.0863,580910
2022-12-01 02:00:00,0.0863,0.0864,0.0861,0.0862,433425
2022-12-01 02:15:00,0.0861,0.0865,0.0861,0.0863,569811
2022-12-01 02:30:00,0.0863,0.0864,0.0861,0.0862,676508
2022-12-01 02:45:00,0.0861,0.0862,0.0859,0.0861,569771
2022-12-01 03:00:00,0.0861,0.0862,0.0860,0.0860,1365526
2022-12-01 03:15:00,0.0860,0.0863,0.0860,0.0862,585460
2022-12-01 03:30:00,0.0861,0.0863,0.0861,0.0862,208334
2022-12-01 03:45:00,0.0862,0.0864,0.0861,0.0864,382692
2022-12-01 04:00:00,0.0863,0.0864,0.0860,0.0861,645767
2022-12-01 04:15:00,0.0861,0.0862,0.0851,0.0854,4067489
2022-12-01 04:30:00,0.0853,0.0858,0.0853,0.0856,2152225
2022-12-01 04:45:00,0.0857,0.0861,0.0857,0.0859,1552707
2022-12-01 05:00:00,0.0859,0.0876,0.0859,0.0869,9487195
2022-12-01 05:15:00,0.0870,0.0870,0.0859,0.0866,4027920
2022-12-01 05:30:00,0.0865,0.0870,0.0864,0.0870,1956590
2022-12-01 05:45:00,0.0869,0.0875,0.0869,0.0874,3891258
2022-12-01 06:00:00,0.0873,0.0879,0.0866,0.0879,5054272
2022-12-01 06:15:00,0.0878,0.0880,0.0875,0.0876,2941994
2022-12-01 06:30:00,0.0875,0.0877,0.0872,0.0876,2035464
2022-12-01 06:45:00,0.0876,0.0884,0.0876,0.0883,2771674
2022-12-01 07:00:00,0.0883,0.0884,0.0877,0.0878,3107197
