Date,Open,High,Low,Close,Volume
2022-12-01 03:00:00,0.0861,0.0884,0.0851,0.0883,43126567
2022-12-01 07:00:00,0.0883,0.0890,0.0865,0.0876,40958353
2022-12-01 11:00:00,0.0877,0.0883,0.0864,0.0864,15340906
2022-12-01 15:00:00,0.0864,0.0866,0.0857,0.0866,9182333
2022-12-01 19:00:00,0.0866,0.0877,0.0854,0.0864,21705706
2022-12-01 23:00:00,0.0864,0.0865,0.0854,0.0860,14184216
2022-12-02 03:00:00,0.0860,0.0872,0.0859,0.0868,13364395
2022-12-02 07:00:00,0.0867,0.0880,0.0855,0.0876,22853274
2022-12-02 11:00:00,0.0876,0.0883,0.0871,0.0882,10294357
2022-12-02 15:00:00,0.0881,0.0882,0.0875,0.0881,9721462
2022-12-02 19:00:00,0.0881,0.0897,0.0877,0.0877,13061259
2022-12-02 23:00:00,0.0878,0.0880,0.0867,0.0876,12552358
2022-12-03 03:00:00,0.0876,0.0884,0.0873,0.0882,8498476
2022-12-03 07:00:00,0.0882,0.0901,0.0882,0.0893,19401016
2022-12-03 11:00:00,0.0894,0.0898,0.0879,0.0881,11672487
2022-12-03 15:00:00,0.0881,0.0890,0.0868,0.0872,11406271
2022-12-03 19:00:00,0.0873,0.0880,0.0871,0.0875,7977838
2022-12-03 23:00:00,0.0875,0.0885,0.0870,0.0871,7066216
2022-12-04 03:00:00,0.0870,0.0874,0.0855,0.0858,18049449
2022-12-04 07:00:00,0.0858,0.0863,0.0853,0.0863,10360292
2022-12-04 11:00:00,0.0862,0.0865,0.0858,0.0863,12358862
2022-12-04 15:00:00,0.0863,0.0868,0.0857,0.0863,6726818
2022-12-04 19:00:00,0.0864,0.0880,0.0862,0.0874,12320170
2022-12-04 23:00:00,0.0874,0.0882,0.0873,0.0878,11953095
2022-12-05 03:00:00,0.0878,0.0885,0.0874,0.0877,10337865
2022-12-05 07:00:00,0.0878,0.0879,0.0855,0.0860,16032591
2022-12-05 11:00:00,0.0860,0.0867,0.0844,0.0850,20034794
2022-12-05 15:00:00,0.0850,0.0856,0.0847,0.0855,7232125
2022-12-05 19:00:00,0.0855,0.0866,0.0854,0.0861,8539884
2022-12-05 23:00:00,0.0861,0.0861,0.0851,0.0859,8344091
2022-12-06 03:00:00,0.0858,0.0861,0.0850,0.0858,11260724
2022-12-06 07:00:00,0.0859,0.0868,0.0857,0.0866,13127152
2022-12-06 11:00:00,0.0866,0.0866,0.0858,0.0861,9294636
2022-12-06 15:00:00,0.0862,0.0874,0.0860,0.0870,10533972
2022-12-06 19:00:00,0.0871,0.0873,0.0865,0.0866,7949192
2022-12-06 23:00:00,0.0866,0.0867,0.0816,0.0825,22467915
2022-12-07 03:00:00,0.0825,0.0835,0.0820,0.0829,12365101
2022-12-07 07:00:00,0.0828,0.0838,0.0827,0.0833,11277749
2022-12-07 11:00:00,0.0833,0.0834,0.0823,0.0829,8582232
2022-12-07 15:00:00,0.0828,0.0833,0.0820,0.0831,5208120
2022-12-07 19:00:00,0.0832,0.0837,0.0825,0.0835,8537773
2022-12-07 23:00:00,0.0836,0.0840,0.0828,0.0835,8288289
2022-12-08 03:00:00,0.0835,0.0838,0.0809,0.0819,13103306
2022-12-08 07:00:00,0.0819,0.0835,0.0819,0.0834,15743962
2022-12-08 11:00:00,0.0835,0.0848,0.0830,0.0847,13266312
2022-12-08 15:00:00,0.0847,0.0847,0.0838,0.0844,9511633
2022-12-08 19:00:00,0.0843,0.0854,0.0838,0.0853,11842364
2022-12-08 23:00:00,0.0853,0.0872,0.0849,0.0867,13797116
2022-12-09 03:00:00,0.0867,0.0895,0.0866,0.0875,45956426
2022-12-09 07:00:00,0.0876,0.0876,0.0855,0.0865,24218582
2022-12-09 11:00:00,0.0865,0.0865,0.0852,0.0855,10616305
2022-12-09 15:00:00,0.0855,0.0859,0.0850,0.0858,7489430
2022-12-09 19:00:00,0.0859,0.0863,0.0857,0.0862,6152974
2022-12-09 23:00:00,0.0861,0.0861,0.0855,0.0858,5873155
2022-12-10 03:00:00,0.0858,0.0873,0.0856,0.0865,9151854
2022-12-10 07:00:00,0.0866,0.0872,0.0864,0.0871,6992219
2022-12-10 11:00:00,0.0872,0.0874,0.0859,0.0865,7658805
2022-12-10 15:00:00,0.0864,0.0872,0.0859,0.0861,9528613
2022-12-10 19:00:00,0.0861,0.0879,0.0860,0.0878,9579128
2022-12-10 23:00:00,0.0877,0.0892,0.0875,0.0877,34849835
2022-12-11 03:00:00,0.0877,0.0878,0.0870,0.0874,9993226
2022-12-11 07:00:00,0.0875,0.0885,0.0874,0.0881,11171931
2022-12-11 11:00:00,0.0881,0.0885,0.0875,0.0882,8515756
2022-12-11 15:00:00,0.0882,0.0884,0.0859,0.0863,18281892
2022-12-11 19:00:00,0.0864,0.0865,0.0825,0.0832,21944423
2022-12-11 23:00:00,0.0832,0.0849,0.0831,0.0842,8565209
2022-12-12 03:00:00,0.0843,0.0852,0.0838,0.0851,9204274
2022-12-12 07:00:00,0.0851,0.0853,0.0842,0.0846,10475292
2022-12-12 11:00:00,0.0847,0.0858,0.0846,0.0857,7427045
2022-12-12 15:00:00,0.0857,0.0871,0.0855,0.0871,10905736
2022-12-12 19:00:00,0.0870,0.0875,0.0849,0.0850,10653478
2022-12-12 23:00:00,0.0849,0.0854,0.0826,0.0836,19400273
2022-12-13 03:00:00,0.0836,0.0852,0.0833,0.0848,17085869
2022-12-13 07:00:00,0.0847,0.0868,0.0841,0.0856,25066916
2022-12-13 11:00:00,0.0855,0.0875,0.0854,0.0871,10633752
2022-12-13 15:00:00,0.0871,0.0890,0.0869,0.0886,10100812
2022-12-13 19:00:00,0.0886,0.0895,0.0885,0.0887,8428323
2022-12-13 23:00:00,0.0887,0.0896,0.0881,0.0889,7281001
2022-12-14 03:00:00,0.0889,0.0889,0.0880,0.0882,7525736
2022-12-14 07:00:00,0.0881,0.0897,0.0879,0.0890,16325955
2022-12-14 11:00:00,0.0890,0.0896,0.0864,0.0881,16657677
2022-12-14 15:00:00,0.0881,0.0895,0.0877,0.0890,8814280
2022-12-14 19:00:00,0.0891,0.0898,0.0869,0.0893,16822296
2022-12-14 23:00:00,0.0892,0.0914,0.0885,0.0907,43866596
2022-12-15 03:00:00,0.0907,0.0924,0.0895,0.0912,46836218
2022-12-15 07:00:00,0.0912,0.0917,0.0899,0.0915,41983397
2022-12-15 11:00:00,0.0916,0.0916,0.0887,0.0897,29537902
2022-12-15 15:00:00,0.0898,0.0907,0.0888,0.0906,18670309
2022-12-15 19:00:00,0.0907,0.0909,0.0895,0.0905,15270279
2022-12-15 23:00:00,0.0905,0.0914,0.0900,0.0910,11335606
2022-12-16 03:00:00,0.0910,0.0916,0.0863,0.0871,42657277
2022-12-16 07:00:00,0.0870,0.0872,0.0853,0.0862,25948012
2022-12-16 11:00:00,0.0863,0.0865,0.0851,0.0863,15876959
2022-12-16 15:00:00,0.0863,0.0868,0.0778,0.0790,33800086
2022-12-16 19:00:00,0.0789,0.0793,0.0759,0.0771,21135087
2022-12-16 23:00:00,0.0772,0.0776,0.0762,0.0774,17360262
2022-12-17 03:00:00,0.0774,0.0775,0.0766,0.0769,14871151
2022-12-17 07:00:00,0.0768,0.0770,0.0757,0.0766,16149485
2022-12-17 11:00:00,0.0766,0.0768,0.0755,0.0761,12272579
2022-12-17 15:00:00,0.0761,0.0780,0.0760,0.0776,13448490
2022-12-17 19:00:00,0.0776,0.0780,0.0769,0.0776,8653327
2022-12-17 23:00:00,0.0777,0.0780,0.0766,0.0771,7312199
2022-12-18 03:00:00,0.0771,0.0780,0.0761,0.0774,7384569
2022-12-18 07:00:00,0.0774,0.0777,0.0765,0.0765,5565960
2022-12-18 11:00:00,0.0766,0.0778,0.0765,0.0771,6217812
2022-12-18 15:00:00,0.0771,0.0780,0.0768,0.0773,17017828
2022-12-18 19:00:00,0.0773,0.0788,0.0761,0.0768,19444890
2022-12-18 23:00:00,0.0769,0.0780,0.0767,0.0775,10243870
2022-12-19 03:00:00,0.0775,0.0786,0.0774,0.0782,13239726
2022-12-19 07:00:00,0.0783,0.0786,0.0774,0.0775,14564924
2022-12-19 11:00:00,0.0775,0.0777,0.0745,0.0758,21347607
2022-12-19 15:00:00,0.0758,0.0759,0.0697,0.0731,24660633
2022-12-19 19:00:00,0.0730,0.0757,0.0724,0.0752,17174246
2022-12-19 23:00:00,0.0753,0.0764,0.0752,0.0761,8962220
2022-12-20 03:00:00,0.0762,0.0764,0.0757,0.0760,8454982
2022-12-20 07:00:00,0.0759,0.0769,0.0751,0.0762,14181669
2022-12-20 11:00:00,0.0761,0.0765,0.0755,0.0764,9532237
2022-12-20 15:00:00,0.0763,0.0766,0.0757,0.0761,9487140
2022-12-20 19:00:00,0.0761,0.0766,0.0751,0.0754,12497867
2022-12-20 23:00:00,0.0753,0.0756,0.0743,0.0755,10468117
2022-12-21 03:00:00,0.0754,0.0760,0.0747,0.0756,12277180
2022-12-21 07:00:00,0.0757,0.0757,0.0745,0.0750,17503412
2022-12-21 11:00:00,0.0751,0.0754,0.0743,0.0745,16559476
2022-12-21 15:00:00,0.0745,0.0754,0.0741,0.0753,9005389
2022-12-21 19:00:00,0.0753,0.0758,0.0750,0.0755,7730250
2022-12-21 23:00:00,0.0756,0.0758,0.0741,0.0744,13401569
2022-12-22 03:00:00,0.0744,0.0753,0.0744,0.0751,13225120
2022-12-22 07:00:00,0.0751,0.0754,0.0733,0.0736,17813636
2022-12-22 11:00:00,0.0737,0.0738,0.0730,0.0736,8468263
2022-12-22 15:00:00,0.0737,0.0754,0.0737,0.0752,15188879
2022-12-22 19:00:00,0.0752,0.0759,0.0748,0.0757,11149243
2022-12-22 23:00:00,0.0756,0.0757,0.0751,0.0753,6504891
2022-12-23 03:00:00,0.0753,0.0753,0.0746,0.0750,7950784
2022-12-23 07:00:00,0.0749,0.0751,0.0740,0.0748,15546474
2022-12-23 11:00:00,0.0747,0.0754,0.0745,0.0751,6501923
2022-12-23 15:00:00,0.0751,0.0754,0.0748,0.0749,4415410
2022-12-23 19:00:00,0.0750,0.0755,0.0749,0.0755,4593207
2022-12-23 23:00:00,0.0754,0.0755,0.0747,0.0751,4878114
2022-12-24 03:00:00,0.0750,0.0751,0.0745,0.0746,4115891
2022-12-24 07:00:00,0.0746,0.0750,0.0746,0.0747,7106138
2022-12-24 11:00:00,0.0747,0.0750,0.0746,0.0749,6505866
2022-12-24 15:00:00,0.0749,0.0749,0.0745,0.0746,5261197
2022-12-24 19:00:00,0.0747,0.0750,0.0746,0.0749,4043014
2022-12-24 23:00:00,0.0748,0.0749,0.0744,0.0744,3424327
2022-12-25 03:00:00,0.0745,0.0749,0.0742,0.0745,8164108
2022-12-25 07:00:00,0.0746,0.0746,0.0727,0.0731,20828718
2022-12-25 11:00:00,0.0731,0.0732,0.0725,0.0731,10221510
2022-12-25 15:00:00,0.0731,0.0737,0.0730,0.0733,7641341
2022-12-25 19:00:00,0.0734,0.0736,0.0731,0.0734,9454534
2022-12-25 23:00:00,0.0735,0.0736,0.0721,0.0723,11187914
2022-12-26 03:00:00,0.0723,0.0724,0.0713,0.0722,19152500
2022-12-26 07:00:00,0.0722,0.0725,0.0717,0.0719,11274590
