Date,Open,High,Low,Close,Volume
2022-12-01 03:00:00,1.112,1.115,1.107,1.115,1741830.3
2022-12-01 07:00:00,1.114,1.125,1.095,1.112,4383845.1
2022-12-01 11:00:00,1.112,1.113,1.097,1.098,2032598.7
2022-12-01 15:00:00,1.098,1.104,1.090,1.100,1745643.7
2022-12-01 19:00:00,1.101,1.108,1.082,1.085,2926776.0
2022-12-01 23:00:00,1.084,1.095,1.072,1.091,2405229.1
2022-12-02 03:00:00,1.090,1.110,1.088,1.104,1787713.3
2022-12-02 07:00:00,1.104,1.109,1.083,1.100,3330977.0
2022-12-02 11:00:00,1.100,1.105,1.092,1.100,1912776.5
2022-12-02 15:00:00,1.100,1.104,1.097,1.101,1618308.3
2022-12-02 19:00:00,1.101,1.104,1.090,1.093,1648865.5
2022-12-02 23:00:00,1.093,1.096,1.081,1.087,1718560.3
2022-12-03 03:00:00,1.087,1.099,1.082,1.096,1458124.0
2022-12-03 07:00:00,1.095,1.099,1.087,1.090,1206128.3
2022-12-03 11:00:00,1.091,1.093,1.081,1.085,1388206.1
2022-12-03 15:00:00,1.085,1.085,1.064,1.067,2595995.5
2022-12-03 19:00:00,1.067,1.087,1.060,1.077,1744896.8
2022-12-03 23:00:00,1.077,1.093,1.077,1.087,1293356.2
2022-12-04 03:00:00,1.087,1.094,1.079,1.093,2329320.1
2022-12-04 07:00:00,1.093,1.131,1.093,1.118,14202555.7
2022-12-04 11:00:00,1.118,1.133,1.116,1.117,4842134.7
2022-12-04 15:00:00,1.118,1.132,1.116,1.124,2314324.5
2022-12-04 19:00:00,1.124,1.138,1.117,1.123,4094278.9
2022-12-04 23:00:00,1.123,1.140,1.114,1.138,4919561.6
2022-12-05 03:00:00,1.138,1.162,1.129,1.141,6493431.7
2022-12-05 07:00:00,1.140,1.140,1.107,1.113,6973363.8
2022-12-05 11:00:00,1.114,1.131,1.086,1.093,6099627.7
2022-12-05 15:00:00,1.093,1.106,1.090,1.100,2946343.5
2022-12-05 19:00:00,1.100,1.105,1.096,1.099,2246939.0
2022-12-05 23:00:00,1.098,1.107,1.090,1.106,2052246.2
2022-12-06 03:00:00,1.106,1.112,1.087,1.090,4397942.0
2022-12-06 07:00:00,1.091,1.107,1.090,1.098,3836281.4
2022-12-06 11:00:00,1.099,1.102,1.092,1.101,2543416.5
2022-12-06 15:00:00,1.100,1.113,1.096,1.109,2687403.0
2022-12-06 19:00:00,1.109,1.111,1.088,1.092,3134863.4
2022-12-06 23:00:00,1.092,1.095,1.000,1.031,10742659.6
2022-12-07 03:00:00,1.031,1.053,1.019,1.043,5786029.3
2022-12-07 07:00:00,1.044,1.055,1.038,1.044,3303658.2
2022-12-07 11:00:00,1.045,1.046,1.026,1.031,2030996.0
2022-12-07 15:00:00,1.031,1.040,1.022,1.039,2247979.9
2022-12-07 19:00:00,1.038,1.043,1.018,1.029,2909978.9
2022-12-07 23:00:00,1.029,1.038,1.016,1.034,3023915.5
2022-12-08 03:00:00,1.034,1.036,1.000,1.016,3888070.7
2022-12-08 07:00:00,1.016,1.028,1.004,1.024,3991850.3
2022-12-08 11:00:00,1.025,1.044,1.021,1.030,3884308.3
2022-12-08 15:00:00,1.031,1.051,1.023,1.041,5148780.6
2022-12-08 19:00:00,1.042,1.046,1.027,1.032,2910578.1
2022-12-08 23:00:00,1.033,1.034,1.026,1.027,2381218.6
2022-12-09 03:00:00,1.028,1.035,1.024,1.030,3317257.4
2022-12-09 07:00:00,1.031,1.032,1.012,1.028,6809244.5
2022-12-09 11:00:00,1.028,1.032,1.017,1.020,3340487.3
2022-12-09 15:00:00,1.020,1.024,1.012,1.023,2160138.1
2022-12-09 19:00:00,1.024,1.024,1.015,1.020,1772174.4
2022-12-09 23:00:00,1.020,1.021,1.012,1.017,1881017.0
2022-12-10 03:00:00,1.017,1.019,1.005,1.018,2951047.0
2022-12-10 07:00:00,1.018,1.031,1.018,1.027,2795487.9
2022-12-10 11:00:00,1.027,1.028,1.017,1.022,2141897.4
2022-12-10 15:00:00,1.021,1.026,1.017,1.022,1506369.9
2022-12-10 19:00:00,1.021,1.033,1.019,1.032,1364387.6
2022-12-10 23:00:00,1.032,1.036,1.028,1.029,2020587.7
2022-12-11 03:00:00,1.030,1.032,1.018,1.022,1775908.0
2022-12-11 07:00:00,1.023,1.028,1.013,1.020,2750794.8
2022-12-11 11:00:00,1.021,1.026,1.015,1.021,1492869.9
2022-12-11 15:00:00,1.020,1.020,0.974,0.981,9234653.4
2022-12-11 19:00:00,0.981,0.987,0.922,0.938,10570334.8
2022-12-11 23:00:00,0.937,0.942,0.926,0.932,3625321.7
2022-12-12 03:00:00,0.932,0.940,0.916,0.936,5587791.7
2022-12-12 07:00:00,0.936,0.938,0.921,0.932,5456528.4
2022-12-12 11:00:00,0.931,0.934,0.929,0.933,2100220.7
2022-12-12 15:00:00,0.933,0.953,0.931,0.950,3369572.4
2022-12-12 19:00:00,0.949,0.954,0.927,0.927,3494755.3
2022-12-12 23:00:00,0.928,0.932,0.883,0.907,8845263.1
2022-12-13 03:00:00,0.908,0.936,0.904,0.933,5065617.9
2022-12-13 07:00:00,0.932,0.982,0.922,0.954,8834011.8
2022-12-13 11:00:00,0.954,0.968,0.935,0.948,3431784.5
2022-12-13 15:00:00,0.948,0.958,0.947,0.957,1433134.7
2022-12-13 19:00:00,0.957,0.969,0.953,0.957,2491803.2
2022-12-13 23:00:00,0.957,0.962,0.949,0.956,1939769.6
2022-12-14 03:00:00,0.956,0.959,0.945,0.955,1705127.0
2022-12-14 07:00:00,0.955,0.964,0.948,0.961,2161966.9
2022-12-14 11:00:00,0.960,0.964,0.920,0.931,6538774.9
2022-12-14 15:00:00,0.931,0.935,0.918,0.923,2998948.1
2022-12-14 19:00:00,0.924,0.929,0.891,0.905,5360114.8
2022-12-14 23:00:00,0.906,0.909,0.898,0.900,2117649.2
2022-12-15 03:00:00,0.901,0.904,0.886,0.902,5024586.9
2022-12-15 07:00:00,0.903,0.903,0.890,0.896,3900733.1
2022-12-15 11:00:00,0.897,0.909,0.890,0.899,3386654.8
2022-12-15 15:00:00,0.899,0.902,0.887,0.891,2362604.3
2022-12-15 19:00:00,0.891,0.900,0.888,0.898,2073349.5
2022-12-15 23:00:00,0.898,0.904,0.874,0.904,6525566.1
2022-12-16 03:00:00,0.903,0.904,0.829,0.854,15152684.3
2022-12-16 07:00:00,0.854,0.856,0.835,0.844,4591670.1
2022-12-16 11:00:00,0.845,0.846,0.823,0.833,4957658.6
2022-12-16 15:00:00,0.834,0.839,0.731,0.767,13168448.3
2022-12-16 19:00:00,0.766,0.773,0.716,0.747,9447648.7
2022-12-16 23:00:00,0.747,0.763,0.740,0.760,5796248.7
2022-12-17 03:00:00,0.761,0.769,0.752,0.761,4213153.1
2022-12-17 07:00:00,0.762,0.764,0.749,0.754,2879328.9
2022-12-17 11:00:00,0.754,0.755,0.742,0.748,2851747.3
2022-12-17 15:00:00,0.748,0.785,0.746,0.783,3623305.7
2022-12-17 19:00:00,0.783,0.787,0.766,0.773,2716234.0
2022-12-17 23:00:00,0.774,0.780,0.763,0.764,1811532.3
2022-12-18 03:00:00,0.765,0.767,0.751,0.756,2411194.7
2022-12-18 07:00:00,0.756,0.762,0.748,0.750,1901372.4
2022-12-18 11:00:00,0.750,0.767,0.747,0.760,2509388.7
2022-12-18 15:00:00,0.760,0.770,0.756,0.762,2326572.4
2022-12-18 19:00:00,0.763,0.775,0.739,0.748,3334306.7
2022-12-18 23:00:00,0.748,0.757,0.746,0.752,2025374.6
2022-12-19 03:00:00,0.752,0.771,0.750,0.765,2726030.4
2022-12-19 07:00:00,0.764,0.769,0.754,0.755,2588528.6
2022-12-19 11:00:00,0.755,0.762,0.726,0.736,5290561.2
2022-12-19 15:00:00,0.736,0.743,0.705,0.728,3834999.1
2022-12-19 19:00:00,0.727,0.760,0.716,0.756,5084648.0
2022-12-19 23:00:00,0.755,0.778,0.755,0.769,4587851.4
2022-12-20 03:00:00,0.769,0.776,0.763,0.773,3071404.1
2022-12-20 07:00:00,0.773,0.782,0.762,0.773,7595577.4
2022-12-20 11:00:00,0.773,0.773,0.765,0.772,2826058.7
2022-12-20 15:00:00,0.773,0.780,0.768,0.776,2392930.6
2022-12-20 19:00:00,0.776,0.778,0.759,0.762,2871416.9
2022-12-20 23:00:00,0.761,0.770,0.749,0.768,3042112.4
2022-12-21 03:00:00,0.768,0.773,0.760,0.771,2167840.7
2022-12-21 07:00:00,0.771,0.772,0.757,0.769,3208236.5
2022-12-21 11:00:00,0.769,0.770,0.747,0.749,2657413.1
2022-12-21 15:00:00,0.750,0.769,0.748,0.769,2313255.1
2022-12-21 19:00:00,0.769,0.772,0.760,0.768,2030963.2
2022-12-21 23:00:00,0.768,0.769,0.754,0.762,2033179.0
2022-12-22 03:00:00,0.762,0.771,0.760,0.766,2306168.1
2022-12-22 07:00:00,0.766,0.768,0.746,0.751,3075454.3
2022-12-22 11:00:00,0.750,0.752,0.737,0.748,3244844.2
2022-12-22 15:00:00,0.748,0.765,0.746,0.764,2911488.3
2022-12-22 19:00:00,0.764,0.767,0.749,0.760,3630442.1
2022-12-22 23:00:00,0.759,0.770,0.755,0.763,3258143.2
2022-12-23 03:00:00,0.763,0.766,0.757,0.762,1553508.5
2022-12-23 07:00:00,0.763,0.767,0.753,0.759,3301328.3
2022-12-23 11:00:00,0.759,0.767,0.757,0.765,1510738.0
2022-12-23 15:00:00,0.764,0.766,0.752,0.760,2459389.5
2022-12-23 19:00:00,0.760,0.764,0.758,0.764,1370409.5
2022-12-23 23:00:00,0.764,0.764,0.755,0.759,1698713.3
2022-12-24 03:00:00,0.759,0.759,0.749,0.755,1707783.7
2022-12-24 07:00:00,0.755,0.760,0.752,0.757,1143698.3
2022-12-24 11:00:00,0.758,0.760,0.755,0.756,927592.9
