Date,Open,High,Low,Close,Volume
2022-12-01 03:00:00,1.810,1.867,1.797,1.857,2045002.3
2022-12-01 07:00:00,1.857,2.024,1.848,1.919,13613229.1
2022-12-01 11:00:00,1.920,1.920,1.866,1.875,2048271.7
2022-12-01 15:00:00,1.875,1.884,1.831,1.843,1463123.2
2022-12-01 19:00:00,1.843,1.873,1.780,1.792,2377590.8
2022-12-01 23:00:00,1.792,1.812,1.769,1.795,1254239.2
2022-12-02 03:00:00,1.794,1.818,1.785,1.804,1280565.0
2022-12-02 07:00:00,1.804,1.806,1.760,1.797,1777567.4
2022-12-02 11:00:00,1.797,1.844,1.781,1.841,1340142.3
2022-12-02 15:00:00,1.842,1.873,1.834,1.864,1240690.7
2022-12-02 19:00:00,1.865,1.872,1.835,1.862,1115444.1
2022-12-02 23:00:00,1.863,1.875,1.818,1.827,1027773.8
2022-12-03 03:00:00,1.826,1.858,1.817,1.829,942089.7
2022-12-03 07:00:00,1.830,1.845,1.819,1.834,726091.4
2022-12-03 11:00:00,1.834,1.842,1.805,1.813,613689.8
2022-12-03 15:00:00,1.813,1.823,1.774,1.814,732644.0
2022-12-03 19:00:00,1.815,1.845,1.791,1.803,953419.0
2022-12-03 23:00:00,1.803,1.864,1.795,1.803,1204212.4
2022-12-04 03:00:00,1.803,1.806,1.757,1.764,1061142.1
2022-12-04 07:00:00,1.763,1.783,1.759,1.777,515146.0
2022-12-04 11:00:00,1.778,1.802,1.769,1.796,456310.4
2022-12-04 15:00:00,1.796,1.818,1.789,1.803,407777.5
2022-12-04 19:00:00,1.803,1.840,1.800,1.823,635676.0
2022-12-04 23:00:00,1.824,1.849,1.818,1.825,931094.8
2022-12-05 03:00:00,1.824,1.860,1.811,1.818,1045498.0
2022-12-05 07:00:00,1.817,1.828,1.769,1.781,885738.9
2022-12-05 11:00:00,1.781,1.792,1.735,1.753,1369763.7
2022-12-05 15:00:00,1.753,1.804,1.748,1.801,473277.5
2022-12-05 19:00:00,1.801,1.816,1.780,1.781,515212.4
2022-12-05 23:00:00,1.782,1.793,1.769,1.781,586116.0
2022-12-06 03:00:00,1.781,1.788,1.754,1.770,621432.2
2022-12-06 07:00:00,1.769,1.776,1.751,1.770,637645.8
2022-12-06 11:00:00,1.771,1.776,1.735,1.748,779090.6
2022-12-06 15:00:00,1.747,1.774,1.746,1.773,350557.5
2022-12-06 19:00:00,1.772,1.790,1.770,1.770,594740.6
