Date,Open,High,Low,Close,Volume
2022-12-01 03:00:00,2.3660,2.3750,2.3280,2.3460,991683
2022-12-01 07:00:00,2.3450,2.3660,2.2800,2.3170,2274333
2022-12-01 11:00:00,2.3180,2.3200,2.2860,2.2930,780384
2022-12-01 15:00:00,2.2940,2.3160,2.2660,2.3130,973922
2022-12-01 19:00:00,2.3140,2.3510,2.2880,2.3010,1121733
2022-12-01 23:00:00,2.3000,2.3410,2.2840,2.3260,655983
2022-12-02 03:00:00,2.3260,2.3400,2.3090,2.3150,749922
2022-12-02 07:00:00,2.3160,2.3250,2.2610,2.3090,1475363
2022-12-02 11:00:00,2.3090,2.3230,2.2840,2.3210,620117
2022-12-02 15:00:00,2.3210,2.3440,2.3130,2.3420,582520
2022-12-02 19:00:00,2.3410,2.3420,2.2920,2.3100,996901
2022-12-02 23:00:00,2.3090,2.3150,2.2800,2.2920,675266
2022-12-03 03:00:00,2.2920,2.3020,2.2820,2.2960,440859
2022-12-03 07:00:00,2.2970,2.3000,2.2660,2.2890,570527
2022-12-03 11:00:00,2.2880,2.3050,2.2400,2.2610,1051032
2022-12-03 15:00:00,2.2620,2.2620,2.2090,2.2240,963049
2022-12-03 19:00:00,2.2250,2.2590,2.2220,2.2460,534224
2022-12-03 23:00:00,2.2460,2.2830,2.2430,2.2820,503395
2022-12-04 03:00:00,2.2810,2.2820,2.2360,2.2470,658467
2022-12-04 07:00:00,2.2460,2.2550,2.2400,2.2470,315565
2022-12-04 11:00:00,2.2470,2.2670,2.2470,2.2620,332033
2022-12-04 15:00:00,2.2630,2.2830,2.2610,2.2660,382448
2022-12-04 19:00:00,2.2660,2.3070,2.2620,2.2920,604493
2022-12-04 23:00:00,2.2920,2.3020,2.2700,2.2850,653454
2022-12-05 03:00:00,2.2860,2.2980,2.2630,2.2770,621240
2022-12-05 07:00:00,2.2760,2.2770,2.2070,2.2180,1078129
2022-12-05 11:00:00,2.2190,2.2580,2.1750,2.2010,1532278
2022-12-05 15:00:00,2.2020,2.2130,2.1910,2.2090,507379
2022-12-05 19:00:00,2.2100,2.2170,2.1940,2.2000,491662
2022-12-05 23:00:00,2.1990,2.2010,2.1700,2.1850,898696
2022-12-06 03:00:00,2.1860,2.2020,2.1740,2.1900,831705
2022-12-06 07:00:00,2.1910,2.2260,2.1900,2.2020,917360
2022-12-06 11:00:00,2.2020,2.2090,2.1450,2.1680,1257597
2022-12-06 15:00:00,2.1680,2.1840,2.1570,2.1820,731444
2022-12-06 19:00:00,2.1820,2.1840,2.1670,2.1680,471014
2022-12-06 23:00:00,2.1690,2.1870,2.0410,2.0980,1658374
2022-12-07 03:00:00,2.0970,2.1260,2.0800,2.1050,946719
2022-12-07 07:00:00,2.1060,2.1170,2.0830,2.1050,993071
2022-12-07 11:00:00,2.1050,2.1080,2.0680,2.0720,881943
2022-12-07 15:00:00,2.0710,2.0810,2.0520,2.0720,760688
2022-12-07 19:00:00,2.0720,2.0870,2.0560,2.0820,797611
2022-12-07 23:00:00,2.0820,2.1160,2.0750,2.1040,648435
2022-12-08 03:00:00,2.1040,2.1110,2.0420,2.0640,1159934
2022-12-08 07:00:00,2.0640,2.0680,2.0240,2.0530,1314934
2022-12-08 11:00:00,2.0520,2.1180,2.0520,2.1130,1263432
2022-12-08 15:00:00,2.1130,2.1390,2.1060,2.1230,680082
2022-12-08 19:00:00,2.1230,2.1490,2.1190,2.1230,655275
2022-12-08 23:00:00,2.1230,2.1560,2.1230,2.1470,695334
2022-12-09 03:00:00,2.1480,2.1520,2.1340,2.1410,598337
2022-12-09 07:00:00,2.1420,2.1530,2.0740,2.0970,1145620
2022-12-09 11:00:00,2.0970,2.1060,2.0850,2.0870,513737
2022-12-09 15:00:00,2.0870,2.1010,2.0730,2.0940,490901
2022-12-09 19:00:00,2.0940,2.1300,2.0870,2.1180,587098
2022-12-09 23:00:00,2.1190,2.1420,2.1090,2.1280,628424
2022-12-10 03:00:00,2.1280,2.1290,2.0980,2.1170,360531
2022-12-10 07:00:00,2.1170,2.1450,2.1160,2.1330,512709
2022-12-10 11:00:00,2.1320,2.1330,2.1170,2.1240,288067
2022-12-10 15:00:00,2.1230,2.1360,2.1100,2.1340,352907
2022-12-10 19:00:00,2.1340,2.1510,2.1240,2.1480,369651
2022-12-10 23:00:00,2.1480,2.1890,2.1480,2.1710,858995
2022-12-11 03:00:00,2.1700,2.1880,2.1490,2.1500,1061261
2022-12-11 07:00:00,2.1500,2.1640,2.1440,2.1570,512275
2022-12-11 11:00:00,2.1570,2.1780,2.1520,2.1640,496796
2022-12-11 15:00:00,2.1630,2.1750,2.0940,2.1060,1102206
2022-12-11 19:00:00,2.1060,2.1190,2.0250,2.0470,1290492
2022-12-11 23:00:00,2.0470,2.0480,2.0290,2.0310,780152
2022-12-12 03:00:00,2.0310,2.0570,1.9960,2.0480,1028252
2022-12-12 07:00:00,2.0480,2.0490,2.0170,2.0290,675919
2022-12-12 11:00:00,2.0300,2.0380,2.0200,2.0380,420312
2022-12-12 15:00:00,2.0390,2.0690,2.0330,2.0680,513843
2022-12-12 19:00:00,2.0670,2.0760,2.0080,2.0100,778056
2022-12-12 23:00:00,2.0100,2.0100,1.8930,1.9460,2713849
2022-12-13 03:00:00,1.9460,1.9890,1.9400,1.9740,1121519
2022-12-13 07:00:00,1.9740,2.0310,1.9410,1.9550,3491373
2022-12-13 11:00:00,1.9540,1.9590,1.9180,1.9430,1908129
2022-12-13 15:00:00,1.9430,1.9770,1.9300,1.9750,1175803
2022-12-13 19:00:00,1.9750,1.9880,1.9380,1.9580,1167104
2022-12-13 23:00:00,1.9590,1.9720,1.9190,1.9340,1496636
2022-12-14 03:00:00,1.9330,1.9610,1.9240,1.9400,1809496
2022-12-14 07:00:00,1.9410,1.9810,1.9320,1.9740,1944542
2022-12-14 11:00:00,1.9750,1.9780,1.8390,1.9290,4148445
2022-12-14 15:00:00,1.9300,1.9590,1.9090,1.9510,1345362
2022-12-14 19:00:00,1.9500,1.9640,1.9090,1.9530,1629363
2022-12-14 23:00:00,1.9530,1.9690,1.9170,1.9250,1574460
2022-12-15 03:00:00,1.9230,1.9390,1.8790,1.9360,1599404
2022-12-15 07:00:00,1.9360,1.9800,1.9270,1.9360,2059294
2022-12-15 11:00:00,1.9360,1.9440,1.9140,1.9400,623097
2022-12-15 15:00:00,1.9400,1.9500,1.9220,1.9350,637236
2022-12-15 19:00:00,1.9350,1.9600,1.9240,1.9540,609647
2022-12-15 23:00:00,1.9540,1.9630,1.9410,1.9580,500416
2022-12-16 03:00:00,1.9570,1.9640,1.7900,1.9000,3227560
2022-12-16 07:00:00,1.8990,1.9060,1.8500,1.8610,1784554
2022-12-16 11:00:00,1.8610,1.8680,1.8330,1.8570,1098133
2022-12-16 15:00:00,1.8570,1.8730,1.6060,1.6600,3224141
2022-12-16 19:00:00,1.6610,1.6780,1.5880,1.6510,1861572
2022-12-16 23:00:00,1.6510,1.7460,1.6490,1.7330,1178476
2022-12-17 03:00:00,1.7340,1.7690,1.7320,1.7410,1116413
2022-12-17 07:00:00,1.7410,1.7630,1.7270,1.7320,1023348
2022-12-17 11:00:00,1.7310,1.7420,1.7090,1.7290,657812
2022-12-17 15:00:00,1.7280,1.7550,1.7070,1.7440,798047
2022-12-17 19:00:00,1.7440,1.7600,1.7110,1.7230,768087
2022-12-17 23:00:00,1.7240,1.7370,1.7070,1.7210,456614
2022-12-18 03:00:00,1.7210,1.7370,1.6980,1.7320,561028
2022-12-18 07:00:00,1.7320,1.7480,1.7280,1.7410,617818
2022-12-18 11:00:00,1.7410,1.7680,1.7310,1.7480,610766
2022-12-18 15:00:00,1.7490,1.7660,1.7340,1.7550,624533
2022-12-18 19:00:00,1.7540,1.7760,1.7220,1.7390,934169
2022-12-18 23:00:00,1.7390,1.7530,1.7320,1.7380,560530
2022-12-19 03:00:00,1.7390,1.7850,1.7370,1.7570,737074
2022-12-19 07:00:00,1.7570,1.7870,1.7400,1.7490,991140
2022-12-19 11:00:00,1.7500,1.7540,1.6390,1.6720,1862082
2022-12-19 15:00:00,1.6710,1.6800,1.5870,1.6300,1483470
2022-12-19 19:00:00,1.6290,1.6930,1.6270,1.6630,1108237
2022-12-19 23:00:00,1.6640,1.6980,1.6640,1.6750,627594
2022-12-20 03:00:00,1.6750,1.6830,1.6330,1.6440,916605
2022-12-20 07:00:00,1.6440,1.6440,1.5960,1.6230,2362509
2022-12-20 11:00:00,1.6220,1.6230,1.5640,1.5960,2845362
2022-12-20 15:00:00,1.5960,1.6010,1.5760,1.6000,2028979
2022-12-20 19:00:00,1.5990,1.6350,1.5820,1.6130,2415305
2022-12-20 23:00:00,1.6140,1.6770,1.6040,1.6560,2099570
2022-12-21 03:00:00,1.6570,1.6890,1.6510,1.6760,2243199
2022-12-21 07:00:00,1.6770,1.9560,1.6740,1.8580,61519455
2022-12-21 11:00:00,1.8590,2.0800,1.8280,2.0550,76863099
2022-12-21 15:00:00,2.0540,2.1370,2.0000,2.0890,62402990
2022-12-21 19:00:00,2.0890,2.4000,2.0250,2.1360,67824079
2022-12-21 23:00:00,2.1360,2.2200,2.0730,2.1470,37167869
2022-12-22 03:00:00,2.1470,2.1640,2.0810,2.0870,36125288
2022-12-22 07:00:00,2.0870,2.0870,1.9260,1.9400,35057799
2022-12-22 11:00:00,1.9400,1.9410,1.8540,1.8570,16312799
2022-12-22 15:00:00,1.8570,1.9570,1.8180,1.8350,13762904
2022-12-22 19:00:00,1.8350,1.8900,1.8260,1.8800,10460732
2022-12-22 23:00:00,1.8800,1.9150,1.8480,1.8900,7087248
2022-12-23 03:00:00,1.8900,1.9170,1.8730,1.8760,5565025
2022-12-23 07:00:00,1.8770,1.8950,1.8490,1.8650,5711926
2022-12-23 11:00:00,1.8660,1.9280,1.8510,1.8970,5835707
2022-12-23 15:00:00,1.8960,1.9260,1.8810,1.9130,3973608
2022-12-23 19:00:00,1.9130,1.9400,1.8720,1.9040,4250727
2022-12-23 23:00:00,1.9040,1.9350,1.8820,1.9040,3287247
2022-12-24 03:00:00,1.9040,1.9230,1.8950,1.9060,2437312
2022-12-24 07:00:00,1.9060,1.9290,1.9020,1.9090,2997447
2022-12-24 11:00:00,1.9090,1.9530,1.9000,1.9240,5898238
2022-12-24 15:00:00,1.9230,1.9390,1.9160,1.9190,1613718
2022-12-24 19:00:00,1.9200,1.9480,1.9190,1.9320,1643604
2022-12-24 23:00:00,1.9310,1.9360,1.8920,1.9130,2003939
2022-12-25 03:00:00,1.9130,1.9130,1.8930,1.9030,1432682
2022-12-25 07:00:00,1.9030,1.9120,1.8510,1.8800,3268206
2022-12-25 11:00:00,1.8810,1.8980,1.8610,1.8840,2003633
2022-12-25 15:00:00,1.8830,1.8850,1.8660,1.8840,1198085
2022-12-25 19:00:00,1.8840,1.9300,1.8800,1.9080,1454230
2022-12-25 23:00:00,1.9090,1.9140,1.8550,1.8580,1273871
2022-12-26 03:00:00,1.8580,1.8810,1.8290,1.8760,1577645
2022-12-26 07:00:00,1.8760,1.8780,1.8400,1.8570,1968976
