Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,2.4010,2.4080,2.3970,2.4040,30301
2022-12-01 00:05:00,2.4040,2.4130,2.4040,2.4100,7336
2022-12-01 00:10:00,2.4090,2.4110,2.4040,2.4110,8633
2022-12-01 00:15:00,2.4100,2.4120,2.4070,2.4070,5730
2022-12-01 00:20:00,2.4070,2.4120,2.4070,2.4100,11546
2022-12-01 00:25:00,2.4090,2.4100,2.4020,2.4040,9602
2022-12-01 00:30:00,2.4050,2.4110,2.3890,2.3910,43940
2022-12-01 00:35:00,2.3900,2.3960,2.3510,2.3660,181685
2022-12-01 00:40:00,2.3660,2.3700,2.3640,2.3660,109296
2022-12-01 00:45:00,2.3650,2.3740,2.3590,2.3700,48144
2022-12-01 00:50:00,2.3700,2.3730,2.3680,2.3720,15173
2022-12-01 00:55:00,2.3710,2.3770,2.3710,2.3750,13976
2022-12-01 01:00:00,2.3760,2.3860,2.3750,2.3820,50661
2022-12-01 01:05:00,2.3820,2.3860,2.3810,2.3820,13120
2022-12-01 01:10:00,2.3830,2.3860,2.3770,2.3820,18850
2022-12-01 01:15:00,2.3810,2.3850,2.3760,2.3820,18304
2022-12-01 01:20:00,2.3830,2.3860,2.3810,2.3850,7569
2022-12-01 01:25:00,2.3840,2.3870,2.3840,2.3850,7817
2022-12-01 01:30:00,2.3850,2.3860,2.3790,2.3800,18140
2022-12-01 01:35:00,2.3810,2.3820,2.3750,2.3790,16733
2022-12-01 01:40:00,2.3790,2.3850,2.3760,2.3830,19482
2022-12-01 01:45:00,2.3840,2.3850,2.3800,2.3810,10745
2022-12-01 01:50:00,2.3820,2.3870,2.3810,2.3850,12344
2022-12-01 01:55:00,2.3850,2.3870,2.3800,2.3820,7867
2022-12-01 02:00:00,2.3830,2.3900,2.3790,2.3790,36807
2022-12-01 02:05:00,2.3800,2.3800,2.3740,2.3780,18349
2022-12-01 02:10:00,2.3770,2.3780,2.3730,2.3760,10201
2022-12-01 02:15:00,2.3760,2.3820,2.3740,2.3800,18810
2022-12-01 02:20:00,2.3810,2.3840,2.3750,2.3790,19907
2022-12-01 02:25:00,2.3780,2.3830,2.3760,2.3830,13701
2022-12-01 02:30:00,2.3820,2.3820,2.3730,2.3740,15069
2022-12-01 02:35:00,2.3730,2.3760,2.3690,2.3740,12979
2022-12-01 02:40:00,2.3750,2.3760,2.3710,2.3750,8250
2022-12-01 02:45:00,2.3740,2.3740,2.3700,2.3740,14198
2022-12-01 02:50:00,2.3740,2.3740,2.3630,2.3670,18763
2022-12-01 02:55:00,2.3660,2.3690,2.3650,2.3660,8743
2022-12-01 03:00:00,2.3660,2.3720,2.3630,2.3690,26408
2022-12-01 03:05:00,2.3700,2.3720,2.3640,2.3650,16099
2022-12-01 03:10:00,2.3650,2.3690,2.3620,2.3680,12212
2022-12-01 03:15:00,2.3670,2.3670,2.3650,2.3670,5072
2022-12-01 03:20:00,2.3670,2.3690,2.3630,2.3630,10602
2022-12-01 03:25:00,2.3640,2.3720,2.3630,2.3660,15771
2022-12-01 03:30:00,2.3650,2.3720,2.3650,2.3690,17587
2022-12-01 03:35:00,2.3690,2.3720,2.3640,2.3670,16611
2022-12-01 03:40:00,2.3680,2.3710,2.3660,2.3680,7720
2022-12-01 03:45:00,2.3690,2.3750,2.3630,2.3690,34734
2022-12-01 03:50:00,2.3700,2.3710,2.3650,2.3660,16334
2022-12-01 03:55:00,2.3670,2.3670,2.3620,2.3670,11864
2022-12-01 04:00:00,2.3660,2.3660,2.3550,2.3590,36666
2022-12-01 04:05:00,2.3590,2.3600,2.3540,2.3550,12860
2022-12-01 04:10:00,2.3560,2.3610,2.3550,2.3580,16128
2022-12-01 04:15:00,2.3570,2.3580,2.3520,2.3550,18025
2022-12-01 04:20:00,2.3540,2.3570,2.3540,2.3540,11593
2022-12-01 04:25:00,2.3550,2.3550,2.3480,2.3510,18311
2022-12-01 04:30:00,2.3510,2.3540,2.3460,2.3520,26052
2022-12-01 04:35:00,2.3510,2.3520,2.3480,2.3500,10661
2022-12-01 04:40:00,2.3490,2.3540,2.3470,2.3530,16842
2022-12-01 04:45:00,2.3530,2.3630,2.3480,2.3600,42495
2022-12-01 04:50:00,2.3600,2.3620,2.3560,2.3570,18204
2022-12-01 04:55:00,2.3570,2.3620,2.3550,2.3590,14662
2022-12-01 05:00:00,2.3580,2.3600,2.3450,2.3510,53711
2022-12-01 05:05:00,2.3510,2.3540,2.3490,2.3510,6883
2022-12-01 05:10:00,2.3520,2.3520,2.3410,2.3470,24621
2022-12-01 05:15:00,2.3470,2.3500,2.3440,2.3450,25021
2022-12-01 05:20:00,2.3450,2.3480,2.3410,2.3420,18396
2022-12-01 05:25:00,2.3420,2.3450,2.3400,2.3400,8620
2022-12-01 05:30:00,2.3400,2.3510,2.3400,2.3450,23800
2022-12-01 05:35:00,2.3450,2.3450,2.3380,2.3420,23613
2022-12-01 05:40:00,2.3410,2.3450,2.3370,2.3440,23506
2022-12-01 05:45:00,2.3450,2.3450,2.3400,2.3410,8357
2022-12-01 05:50:00,2.3420,2.3440,2.3380,2.3400,14936
2022-12-01 05:55:00,2.3390,2.3420,2.3390,2.3400,9812
2022-12-01 06:00:00,2.3400,2.3420,2.3300,2.3340,59186
2022-12-01 06:05:00,2.3340,2.3420,2.3320,2.3360,39987
2022-12-01 06:10:00,2.3350,2.3360,2.3310,2.3320,16403
2022-12-01 06:15:00,2.3340,2.3360,2.3330,2.3360,12548
2022-12-01 06:20:00,2.3350,2.3360,2.3300,2.3320,16500
2022-12-01 06:25:00,2.3310,2.3360,2.3290,2.3350,35321
2022-12-01 06:30:00,2.3340,2.3350,2.3280,2.3320,22225
2022-12-01 06:35:00,2.3320,2.3370,2.3310,2.3370,13739
2022-12-01 06:40:00,2.3370,2.3390,2.3350,2.3380,14185
2022-12-01 06:45:00,2.3390,2.3490,2.3350,2.3460,52053
2022-12-01 06:50:00,2.3450,2.3460,2.3420,2.3450,14931
2022-12-01 06:55:00,2.3440,2.3480,2.3430,2.3460,19816
2022-12-01 07:00:00,2.3450,2.3460,2.3310,2.3340,58719
2022-12-01 07:05:00,2.3340,2.3340,2.3290,2.3310,21017
2022-12-01 07:10:00,2.3320,2.3440,2.3310,2.3430,25667
2022-12-01 07:15:00,2.3440,2.3460,2.3370,2.3450,31779
2022-12-01 07:20:00,2.3440,2.3450,2.3390,2.3400,14211
2022-12-01 07:25:00,2.3410,2.3420,2.3350,2.3400,20788
2022-12-01 07:30:00,2.3410,2.3420,2.3340,2.3390,19177
2022-12-01 07:35:00,2.3390,2.3410,2.3380,2.3400,13461
2022-12-01 07:40:00,2.3390,2.3440,2.3350,2.3430,19205
2022-12-01 07:45:00,2.3420,2.3480,2.3400,2.3460,25034
2022-12-01 07:50:00,2.3470,2.3540,2.3460,2.3530,32013
2022-12-01 07:55:00,2.3530,2.3590,2.3500,2.3580,29958
2022-12-01 08:00:00,2.3570,2.3590,2.3480,2.3550,32297
2022-12-01 08:05:00,2.3550,2.3630,2.3520,2.3630,35449
2022-12-01 08:10:00,2.3630,2.3630,2.3520,2.3520,33207
2022-12-01 08:15:00,2.3530,2.3560,2.3470,2.3500,31066
2022-12-01 08:20:00,2.3500,2.3540,2.3490,2.3530,15581
2022-12-01 08:25:00,2.3520,2.3600,2.3520,2.3540,25354
2022-12-01 08:30:00,2.3550,2.3660,2.3450,2.3630,83355
2022-12-01 08:35:00,2.3620,2.3620,2.3450,2.3580,48492
2022-12-01 08:40:00,2.3580,2.3580,2.3410,2.3410,44017
2022-12-01 08:45:00,2.3410,2.3420,2.2910,2.3110,284536
2022-12-01 08:50:00,2.3110,2.3220,2.2850,2.3200,157684
2022-12-01 08:55:00,2.3200,2.3340,2.3180,2.3290,73914
2022-12-01 09:00:00,2.3290,2.3300,2.3100,2.3210,107919
2022-12-01 09:05:00,2.3210,2.3360,2.3180,2.3350,52191
2022-12-01 09:10:00,2.3350,2.3410,2.3280,2.3310,27850
2022-12-01 09:15:00,2.3290,2.3300,2.3190,2.3220,32514
2022-12-01 09:20:00,2.3220,2.3250,2.3150,2.3230,29549
2022-12-01 09:25:00,2.3220,2.3230,2.3090,2.3170,47033
2022-12-01 09:30:00,2.3170,2.3350,2.3170,2.3280,55669
2022-12-01 09:35:00,2.3290,2.3350,2.3240,2.3240,25744
2022-12-01 09:40:00,2.3240,2.3250,2.3190,2.3190,35936
2022-12-01 09:45:00,2.3200,2.3350,2.3180,2.3220,56739
2022-12-01 09:50:00,2.3230,2.3370,2.3220,2.3320,49481
2022-12-01 09:55:00,2.3330,2.3380,2.3260,2.3270,29205
2022-12-01 10:00:00,2.3280,2.3330,2.3150,2.3180,42803
2022-12-01 10:05:00,2.3190,2.3200,2.3030,2.3090,50857
2022-12-01 10:10:00,2.3090,2.3120,2.2800,2.2900,94542
2022-12-01 10:15:00,2.2900,2.3030,2.2800,2.2920,92505
2022-12-01 10:20:00,2.2920,2.2990,2.2850,2.2970,45217
2022-12-01 10:25:00,2.2970,2.3090,2.2960,2.3010,42846
2022-12-01 10:30:00,2.3010,2.3130,2.2960,2.3080,46189
2022-12-01 10:35:00,2.3090,2.3140,2.3070,2.3090,26686
2022-12-01 10:40:00,2.3110,2.3140,2.3060,2.3100,18363
2022-12-01 10:45:00,2.3100,2.3160,2.3090,2.3130,30435
2022-12-01 10:50:00,2.3130,2.3230,2.3120,2.3180,32100
2022-12-01 10:55:00,2.3180,2.3220,2.3130,2.3170,25979
2022-12-01 11:00:00,2.3180,2.3190,2.3060,2.3100,48761
2022-12-01 11:05:00,2.3100,2.3110,2.3030,2.3080,23831
2022-12-01 11:10:00,2.3080,2.3100,2.3020,2.3030,9631
2022-12-01 11:15:00,2.3040,2.3040,2.2940,2.3000,29010
2022-12-01 11:20:00,2.3010,2.3120,2.3010,2.3060,30607
2022-12-01 11:25:00,2.3060,2.3130,2.3060,2.3100,7411
2022-12-01 11:30:00,2.3110,2.3160,2.3070,2.3140,15532
2022-12-01 11:35:00,2.3140,2.3160,2.3070,2.3120,40835
2022-12-01 11:40:00,2.3120,2.3170,2.3080,2.3140,29020
