Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,0.1975,0.1981,0.1974,0.1974,1283822
2022-12-01 00:05:00,0.1974,0.1977,0.1971,0.1973,628642
2022-12-01 00:10:00,0.1973,0.1977,0.1967,0.1976,1372080
2022-12-01 00:15:00,0.1976,0.1982,0.1976,0.1977,917311
2022-12-01 00:20:00,0.1977,0.1982,0.1973,0.1981,733444
2022-12-01 00:25:00,0.1981,0.1983,0.1974,0.1977,544930
2022-12-01 00:30:00,0.1977,0.1981,0.1963,0.1968,1655238
2022-12-01 00:35:00,0.1968,0.1973,0.1959,0.1964,1947274
2022-12-01 00:40:00,0.1964,0.1966,0.1937,0.1945,6622542
2022-12-01 00:45:00,0.1946,0.1954,0.1946,0.1950,2256228
2022-12-01 00:50:00,0.1951,0.1960,0.1950,0.1958,1757938
2022-12-01 00:55:00,0.1957,0.1959,0.1954,0.1957,765858
2022-12-01 01:00:00,0.1956,0.1960,0.1953,0.1958,1486698
2022-12-01 01:05:00,0.1959,0.1965,0.1956,0.1957,1444623
2022-12-01 01:10:00,0.1957,0.1961,0.1951,0.1953,956342
2022-12-01 01:15:00,0.1954,0.1962,0.1949,0.1961,1143641
2022-12-01 01:20:00,0.1960,0.1963,0.1959,0.1962,612107
2022-12-01 01:25:00,0.1962,0.1965,0.1959,0.1963,550754
2022-12-01 01:30:00,0.1964,0.1964,0.1956,0.1960,669295
2022-12-01 01:35:00,0.1960,0.1962,0.1955,0.1960,646811
2022-12-01 01:40:00,0.1960,0.1966,0.1957,0.1965,725919
2022-12-01 01:45:00,0.1965,0.1965,0.1960,0.1963,767508
2022-12-01 01:50:00,0.1963,0.1964,0.1959,0.1960,482026
2022-12-01 01:55:00,0.1960,0.1964,0.1959,0.1962,484036
2022-12-01 02:00:00,0.1962,0.1963,0.1950,0.1951,1056296
2022-12-01 02:05:00,0.1952,0.1956,0.1950,0.1952,1104883
2022-12-01 02:10:00,0.1952,0.1960,0.1951,0.1960,755238
2022-12-01 02:15:00,0.1960,0.1970,0.1956,0.1968,1523596
2022-12-01 02:20:00,0.1968,0.1970,0.1961,0.1963,833667
2022-12-01 02:25:00,0.1962,0.1966,0.1959,0.1964,507951
2022-12-01 02:30:00,0.1964,0.1965,0.1957,0.1958,542746
2022-12-01 02:35:00,0.1958,0.1960,0.1954,0.1958,961334
2022-12-01 02:40:00,0.1959,0.1960,0.1957,0.1959,482678
2022-12-01 02:45:00,0.1958,0.1961,0.1956,0.1958,714003
2022-12-01 02:50:00,0.1958,0.1959,0.1948,0.1949,1270237
2022-12-01 02:55:00,0.1950,0.1954,0.1946,0.1948,1401476
2022-12-01 03:00:00,0.1948,0.1954,0.1947,0.1952,1331124
2022-12-01 03:05:00,0.1953,0.1953,0.1945,0.1947,770002
2022-12-01 03:10:00,0.1948,0.1948,0.1944,0.1946,610793
2022-12-01 03:15:00,0.1946,0.1952,0.1946,0.1952,739281
2022-12-01 03:20:00,0.1952,0.1956,0.1949,0.1953,807458
2022-12-01 03:25:00,0.1952,0.1954,0.1949,0.1953,416262
2022-12-01 03:30:00,0.1953,0.1958,0.1950,0.1955,963217
2022-12-01 03:35:00,0.1955,0.1956,0.1952,0.1955,430324
2022-12-01 03:40:00,0.1954,0.1955,0.1951,0.1952,344128
2022-12-01 03:45:00,0.1952,0.1957,0.1952,0.1956,564803
2022-12-01 03:50:00,0.1956,0.1957,0.1951,0.1956,524875
