Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,7.543,7.558,7.541,7.552,124217.92
2022-12-01 00:05:00,7.552,7.564,7.551,7.564,54031.07
2022-12-01 00:10:00,7.563,7.574,7.553,7.571,50707.14
2022-12-01 00:15:00,7.570,7.577,7.568,7.570,51079.93
2022-12-01 00:20:00,7.570,7.572,7.563,7.569,59212.15
2022-12-01 00:25:00,7.569,7.570,7.547,7.550,114871.02
2022-12-01 00:30:00,7.552,7.559,7.516,7.516,188845.35
2022-12-01 00:35:00,7.516,7.533,7.478,7.496,650183.35
2022-12-01 00:40:00,7.496,7.508,7.485,7.492,305268.92
2022-12-01 00:45:00,7.491,7.512,7.469,7.503,383448.63
2022-12-01 00:50:00,7.503,7.523,7.495,7.518,176747.36
2022-12-01 00:55:00,7.518,7.535,7.515,7.530,160792.53
2022-12-01 01:00:00,7.530,7.546,7.527,7.535,230558.43
2022-12-01 01:05:00,7.535,7.554,7.533,7.546,131511.92
2022-12-01 01:10:00,7.546,7.547,7.522,7.528,106291.87
2022-12-01 01:15:00,7.529,7.530,7.513,7.523,147420.40
2022-12-01 01:20:00,7.524,7.531,7.519,7.526,61324.61
2022-12-01 01:25:00,7.527,7.536,7.526,7.529,84658.99
2022-12-01 01:30:00,7.528,7.551,7.528,7.545,131181.59
2022-12-01 01:35:00,7.545,7.545,7.527,7.535,76848.00
2022-12-01 01:40:00,7.535,7.542,7.528,7.537,73885.73
2022-12-01 01:45:00,7.537,7.555,7.533,7.546,127276.03
2022-12-01 01:50:00,7.546,7.551,7.541,7.546,55290.78
2022-12-01 01:55:00,7.547,7.555,7.534,7.553,105506.41
2022-12-01 02:00:00,7.552,7.554,7.540,7.543,75670.92
2022-12-01 02:05:00,7.543,7.545,7.534,7.538,76266.91
2022-12-01 02:10:00,7.537,7.537,7.526,7.534,83051.39
2022-12-01 02:15:00,7.532,7.563,7.531,7.558,141338.62
2022-12-01 02:20:00,7.557,7.573,7.554,7.565,131062.16
2022-12-01 02:25:00,7.566,7.570,7.550,7.555,86034.06
2022-12-01 02:30:00,7.554,7.556,7.526,7.528,99332.83
2022-12-01 02:35:00,7.528,7.542,7.527,7.542,86005.43
2022-12-01 02:40:00,7.540,7.548,7.534,7.541,58309.34
2022-12-01 02:45:00,7.542,7.547,7.535,7.546,44864.50
