Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,0.771,0.778,0.771,0.777,544035.6
2022-12-01 00:15:00,0.777,0.777,0.773,0.774,256369.3
2022-12-01 00:30:00,0.775,0.775,0.766,0.768,712280.0
2022-12-01 00:45:00,0.768,0.772,0.766,0.772,395271.2
2022-12-01 01:00:00,0.771,0.776,0.770,0.774,429226.9
2022-12-01 01:15:00,0.775,0.776,0.772,0.775,183795.5
2022-12-01 01:30:00,0.775,0.777,0.773,0.777,257847.0
2022-12-01 01:45:00,0.777,0.779,0.775,0.778,259879.0
2022-12-01 02:00:00,0.778,0.778,0.775,0.777,272299.1
2022-12-01 02:15:00,0.778,0.782,0.776,0.778,516429.0
2022-12-01 02:30:00,0.779,0.780,0.777,0.779,229048.1
2022-12-01 02:45:00,0.779,0.779,0.774,0.776,240939.7
2022-12-01 03:00:00,0.775,0.782,0.775,0.781,411912.4
2022-12-01 03:15:00,0.782,0.786,0.779,0.785,741635.5
2022-12-01 03:30:00,0.784,0.787,0.782,0.782,465217.4
2022-12-01 03:45:00,0.782,0.786,0.780,0.781,433271.8
2022-12-01 04:00:00,0.780,0.787,0.780,0.782,616180.3
2022-12-01 04:15:00,0.782,0.786,0.782,0.783,269649.9
2022-12-01 04:30:00,0.783,0.788,0.782,0.788,435987.6
2022-12-01 04:45:00,0.787,0.788,0.783,0.784,428078.0
2022-12-01 05:00:00,0.783,0.786,0.782,0.783,395315.6
2022-12-01 05:15:00,0.782,0.786,0.782,0.785,437748.0
2022-12-01 05:30:00,0.785,0.788,0.783,0.783,395146.9
2022-12-01 05:45:00,0.783,0.785,0.780,0.782,389909.2
2022-12-01 06:00:00,0.781,0.785,0.780,0.784,387947.1
2022-12-01 06:15:00,0.784,0.789,0.783,0.785,379926.6
2022-12-01 06:30:00,0.784,0.786,0.784,0.785,160493.6
2022-12-01 06:45:00,0.785,0.790,0.785,0.789,428665.4
2022-12-01 07:00:00,0.790,0.801,0.788,0.795,1422237.7
2022-12-01 07:15:00,0.796,0.797,0.791,0.796,815361.4
2022-12-01 07:30:00,0.796,0.824,0.796,0.819,4499523.0
2022-12-01 07:45:00,0.818,0.853,0.815,0.850,6427969.2
2022-12-01 08:00:00,0.851,0.879,0.845,0.860,9103855.3
2022-12-01 08:15:00,0.860,0.860,0.836,0.840,6167752.2
2022-12-01 08:30:00,0.840,0.841,0.828,0.830,3593659.7
2022-12-01 08:45:00,0.830,0.834,0.820,0.831,3608128.7
2022-12-01 09:00:00,0.830,0.831,0.822,0.825,2187656.3
2022-12-01 09:15:00,0.826,0.828,0.814,0.816,2540105.9
2022-12-01 09:30:00,0.816,0.823,0.815,0.819,1249171.1
2022-12-01 09:45:00,0.819,0.833,0.819,0.825,1890134.2
2022-12-01 10:00:00,0.825,0.828,0.816,0.819,2119802.9
2022-12-01 10:15:00,0.819,0.824,0.811,0.822,1964352.2
2022-12-01 10:30:00,0.822,0.825,0.806,0.812,2901768.6
2022-12-01 10:45:00,0.812,0.817,0.808,0.817,1164816.5
2022-12-01 11:00:00,0.816,0.818,0.810,0.811,909452.6
2022-12-01 11:15:00,0.810,0.813,0.808,0.809,691449.9
