Date,Open,High,Low,Close,Volume
2022-12-01 03:00:00,0.775,0.790,0.775,0.789,6777085.3
2022-12-01 07:00:00,0.790,0.879,0.788,0.817,51656294.9
2022-12-01 11:00:00,0.816,0.818,0.790,0.801,11336966.6
2022-12-01 15:00:00,0.800,0.801,0.771,0.787,10046161.4
2022-12-01 19:00:00,0.787,0.818,0.784,0.811,17339602.8
2022-12-01 23:00:00,0.812,0.831,0.798,0.820,18937008.5
2022-12-02 03:00:00,0.820,0.840,0.810,0.832,17059861.4
2022-12-02 07:00:00,0.833,0.858,0.813,0.832,33501243.3
2022-12-02 11:00:00,0.832,0.848,0.824,0.842,10273530.3
2022-12-02 15:00:00,0.843,0.858,0.833,0.837,11289468.4
2022-12-02 19:00:00,0.837,0.842,0.813,0.824,9162304.9
2022-12-02 23:00:00,0.823,0.837,0.819,0.819,6551868.9
2022-12-03 03:00:00,0.819,0.825,0.809,0.813,8739759.2
2022-12-03 07:00:00,0.812,0.824,0.794,0.821,10836970.0
2022-12-03 11:00:00,0.820,0.847,0.809,0.836,11832668.5
2022-12-03 15:00:00,0.837,0.850,0.822,0.846,11622647.9
2022-12-03 19:00:00,0.846,0.857,0.830,0.847,15244409.5
2022-12-03 23:00:00,0.847,0.905,0.841,0.865,29185774.9
2022-12-04 03:00:00,0.864,0.875,0.849,0.855,21377519.1
2022-12-04 07:00:00,0.856,0.893,0.855,0.884,31692053.5
2022-12-04 11:00:00,0.884,0.896,0.861,0.864,20933141.6
2022-12-04 15:00:00,0.863,0.885,0.856,0.876,8640250.3
2022-12-04 19:00:00,0.876,0.890,0.869,0.880,9659136.7
2022-12-04 23:00:00,0.880,0.887,0.867,0.884,8289721.3
2022-12-05 03:00:00,0.884,0.902,0.876,0.878,13072377.6
2022-12-05 07:00:00,0.878,0.888,0.858,0.862,11604910.3
2022-12-05 11:00:00,0.862,0.892,0.824,0.834,28336656.8
2022-12-05 15:00:00,0.833,0.843,0.825,0.842,6279936.9
2022-12-05 19:00:00,0.841,0.913,0.841,0.885,29808554.7
2022-12-05 23:00:00,0.885,0.914,0.885,0.892,18810537.1
2022-12-06 03:00:00,0.891,0.905,0.882,0.898,17902450.8
2022-12-06 07:00:00,0.898,0.917,0.888,0.899,23618157.2
2022-12-06 11:00:00,0.900,0.907,0.871,0.875,23085761.9
2022-12-06 15:00:00,0.876,0.885,0.865,0.874,10340467.4
2022-12-06 19:00:00,0.875,0.897,0.866,0.883,9950534.4
2022-12-06 23:00:00,0.883,0.918,0.862,0.903,21603298.8
2022-12-07 03:00:00,0.902,1.123,0.893,0.978,220441822.7
2022-12-07 07:00:00,0.978,0.979,0.928,0.949,94879659.6
2022-12-07 11:00:00,0.949,0.953,0.914,0.938,30439565.4
2022-12-07 15:00:00,0.938,0.956,0.916,0.927,37101790.1
2022-12-07 19:00:00,0.928,0.928,0.866,0.867,38800625.5
2022-12-07 23:00:00,0.867,0.873,0.841,0.855,27961018.4
2022-12-08 03:00:00,0.856,0.856,0.815,0.827,28415753.8
2022-12-08 07:00:00,0.827,0.833,0.807,0.827,30175329.9
2022-12-08 11:00:00,0.826,0.843,0.814,0.836,27975602.6
2022-12-08 15:00:00,0.836,0.845,0.829,0.840,14985710.3
2022-12-08 19:00:00,0.841,0.845,0.821,0.824,15235404.6
