Date,Open,High,Low,Close,Volume
2022-12-01 03:00:00,7.535,7.562,7.507,7.555,85387.8
2022-12-01 07:00:00,7.555,7.817,7.398,7.549,361626.9
2022-12-01 11:00:00,7.549,7.576,7.481,7.492,116756.8
2022-12-01 15:00:00,7.488,7.532,7.432,7.509,91268.5
2022-12-01 19:00:00,7.509,7.607,7.422,7.503,141266.3
2022-12-01 23:00:00,7.505,7.597,7.438,7.586,93599.5
2022-12-02 03:00:00,7.585,7.662,7.550,7.632,87406.8
2022-12-02 07:00:00,7.634,7.681,7.466,7.614,175866.9
2022-12-02 11:00:00,7.614,7.651,7.552,7.643,98406.5
2022-12-02 15:00:00,7.644,7.682,7.582,7.620,221988.1
2022-12-02 19:00:00,7.622,7.660,7.569,7.589,129372.5
2022-12-02 23:00:00,7.590,7.607,7.495,7.509,277458.3
2022-12-03 03:00:00,7.505,7.517,7.455,7.501,113394.0
2022-12-03 07:00:00,7.497,7.551,7.490,7.510,74623.6
2022-12-03 11:00:00,7.513,7.524,7.432,7.452,96258.8
2022-12-03 15:00:00,7.452,7.471,7.299,7.329,135203.7
2022-12-03 19:00:00,7.328,7.430,7.325,7.394,78086.7
2022-12-03 23:00:00,7.394,7.487,7.394,7.456,96061.8
2022-12-04 03:00:00,7.457,7.489,7.387,7.418,93215.3
2022-12-04 07:00:00,7.416,7.434,7.336,7.379,122273.5
2022-12-04 11:00:00,7.379,7.427,7.352,7.422,90508.7
2022-12-04 15:00:00,7.419,7.539,7.412,7.473,118006.5
2022-12-04 19:00:00,7.472,7.610,7.422,7.543,129035.0
2022-12-04 23:00:00,7.543,7.653,7.535,7.594,147368.0
2022-12-05 03:00:00,7.594,7.638,7.588,7.606,95440.8
2022-12-05 07:00:00,7.608,7.616,7.474,7.549,117244.4
2022-12-05 11:00:00,7.549,7.677,7.400,7.482,305716.9
2022-12-05 15:00:00,7.483,7.583,7.454,7.565,152998.2
2022-12-05 19:00:00,7.568,7.662,7.545,7.563,216323.1
2022-12-05 23:00:00,7.565,7.677,7.526,7.552,164843.0
2022-12-06 03:00:00,7.552,7.596,7.479,7.588,147821.0
2022-12-06 07:00:00,7.589,7.840,7.561,7.611,429597.2
2022-12-06 11:00:00,7.613,7.658,7.514,7.529,120075.7
2022-12-06 15:00:00,7.529,7.567,7.500,7.559,93285.5
2022-12-06 19:00:00,7.558,7.678,7.489,7.497,177842.1
2022-12-06 23:00:00,7.497,7.531,7.118,7.185,223127.8
2022-12-07 03:00:00,7.187,7.292,7.139,7.253,135959.9
2022-12-07 07:00:00,7.254,7.366,7.251,7.289,132245.3
2022-12-07 11:00:00,7.292,7.346,7.190,7.224,149348.1
2022-12-07 15:00:00,7.223,7.223,7.115,7.162,127417.5
2022-12-07 19:00:00,7.163,7.207,7.123,7.193,93232.3
2022-12-07 23:00:00,7.193,7.256,7.173,7.246,78661.4
2022-12-08 03:00:00,7.243,7.372,6.978,7.072,541906.9
2022-12-08 07:00:00,7.078,7.142,7.033,7.142,215900.1
2022-12-08 11:00:00,7.141,7.321,7.097,7.315,267412.7
2022-12-08 15:00:00,7.318,7.354,7.242,7.265,228277.2
2022-12-08 19:00:00,7.265,7.319,7.237,7.276,122814.2
2022-12-08 23:00:00,7.280,7.307,7.260,7.294,91383.3
2022-12-09 03:00:00,7.295,7.322,7.262,7.292,112966.5
2022-12-09 07:00:00,7.292,7.310,7.159,7.222,175552.9
2022-12-09 11:00:00,7.223,7.243,7.194,7.238,114322.5
2022-12-09 15:00:00,7.239,7.292,7.169,7.235,155723.7
2022-12-09 19:00:00,7.234,7.323,7.203,7.289,166945.1
2022-12-09 23:00:00,7.290,7.301,7.249,7.285,89381.0
2022-12-10 03:00:00,7.282,7.350,7.250,7.312,165253.3
2022-12-10 07:00:00,7.313,7.342,7.290,7.335,103410.6
2022-12-10 11:00:00,7.334,7.397,7.315,7.320,306507.8
2022-12-10 15:00:00,7.323,7.338,7.288,7.306,131216.7
2022-12-10 19:00:00,7.303,7.325,7.278,7.304,117765.2
2022-12-10 23:00:00,7.305,7.328,7.298,7.309,76760.0
2022-12-11 03:00:00,7.305,7.306,7.250,7.285,83812.6
2022-12-11 07:00:00,7.284,7.286,7.246,7.266,56920.3
2022-12-11 11:00:00,7.265,7.294,7.224,7.261,65673.9
2022-12-11 15:00:00,7.262,7.263,7.006,7.030,183428.4
2022-12-11 19:00:00,7.027,7.050,6.738,6.824,217369.5
2022-12-11 23:00:00,6.830,6.843,6.776,6.787,126797.1
2022-12-12 03:00:00,6.786,6.851,6.757,6.820,87838.4
2022-12-12 07:00:00,6.822,6.826,6.727,6.786,135411.6
2022-12-12 11:00:00,6.785,6.804,6.726,6.803,92227.1
2022-12-12 15:00:00,6.805,6.849,6.769,6.814,96865.6
2022-12-12 19:00:00,6.814,6.839,6.715,6.721,101043.6
2022-12-12 23:00:00,6.720,6.720,6.552,6.596,230982.4
2022-12-13 03:00:00,6.595,6.675,6.544,6.646,219568.5
2022-12-13 07:00:00,6.647,6.833,6.554,6.716,376847.8
2022-12-13 11:00:00,6.717,6.741,6.552,6.636,167650.3
2022-12-13 15:00:00,6.634,6.717,6.619,6.696,143877.5
2022-12-13 19:00:00,6.697,6.751,6.684,6.735,107519.3
2022-12-13 23:00:00,6.738,6.833,6.717,6.825,148024.8
2022-12-14 03:00:00,6.824,6.916,6.792,6.860,256156.8
2022-12-14 07:00:00,6.862,6.958,6.850,6.933,217095.2
2022-12-14 11:00:00,6.933,6.947,6.651,6.729,355980.5
2022-12-14 15:00:00,6.730,6.788,6.693,6.729,149896.6
2022-12-14 19:00:00,6.732,6.761,6.585,6.712,170611.2
2022-12-14 23:00:00,6.714,6.731,6.671,6.687,110839.6
2022-12-15 03:00:00,6.685,6.719,6.662,6.692,98961.6
2022-12-15 07:00:00,6.691,6.703,6.623,6.647,133435.0
2022-12-15 11:00:00,6.649,6.652,6.486,6.559,154209.9
2022-12-15 15:00:00,6.556,6.574,6.448,6.476,106115.5
2022-12-15 19:00:00,6.480,6.542,6.455,6.540,76253.0
