Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,76.76,77.16,76.76,77.16,26739.589
2022-12-01 00:15:00,77.16,77.18,76.93,76.96,17675.594
2022-12-01 00:30:00,76.96,77.03,76.25,76.48,115498.958
2022-12-01 00:45:00,76.50,77.07,76.26,76.96,73478.930
2022-12-01 01:00:00,76.96,77.25,76.89,77.01,55800.271
2022-12-01 01:15:00,77.02,77.43,76.93,77.22,49697.952
2022-12-01 01:30:00,77.22,77.31,77.10,77.20,26696.496
2022-12-01 01:45:00,77.20,77.25,77.01,77.11,22361.074
2022-12-01 02:00:00,77.12,77.12,76.93,77.08,35300.103
2022-12-01 02:15:00,77.08,77.32,76.97,76.99,33577.512
2022-12-01 02:30:00,76.99,77.14,76.90,77.06,20135.867
2022-12-01 02:45:00,77.07,77.15,76.82,76.83,29014.364
2022-12-01 03:00:00,76.84,77.00,76.71,76.90,33412.049
2022-12-01 03:15:00,76.90,77.09,76.88,77.04,20050.954
2022-12-01 03:30:00,77.05,77.25,77.01,77.23,28619.250
2022-12-01 03:45:00,77.23,77.36,76.99,77.00,43926.473
2022-12-01 04:00:00,77.00,77.09,76.90,76.95,29754.402
2022-12-01 04:15:00,76.94,77.10,76.76,76.77,56914.225
2022-12-01 04:30:00,76.77,77.08,76.73,76.95,44855.093
2022-12-01 04:45:00,76.96,77.24,76.96,77.23,29874.688
2022-12-01 05:00:00,77.23,77.48,77.06,77.26,51342.144
2022-12-01 05:15:00,77.26,77.32,77.06,77.15,22157.344
2022-12-01 05:30:00,77.16,77.35,77.10,77.15,22368.431
2022-12-01 05:45:00,77.15,77.40,77.13,77.33,32889.423
2022-12-01 06:00:00,77.33,77.42,77.15,77.31,45834.365
2022-12-01 06:15:00,77.31,77.33,76.83,77.11,49121.256
2022-12-01 06:30:00,77.10,77.18,76.99,77.13,27289.260
2022-12-01 06:45:00,77.13,77.32,77.10,77.32,35971.261
2022-12-01 07:00:00,77.32,77.60,77.30,77.43,91326.999
2022-12-01 07:15:00,77.43,77.52,77.06,77.26,66145.959
2022-12-01 07:30:00,77.26,77.43,77.09,77.26,44604.980
2022-12-01 07:45:00,77.25,77.28,77.01,77.14,33391.316
2022-12-01 08:00:00,77.14,77.39,77.01,77.14,45701.106
2022-12-01 08:15:00,77.13,77.16,76.97,77.05,35115.237
2022-12-01 08:30:00,77.06,77.90,76.90,77.03,233589.259
2022-12-01 08:45:00,77.04,77.40,76.23,77.08,250044.868
2022-12-01 09:00:00,77.08,77.74,76.85,77.41,157218.708
2022-12-01 09:15:00,77.41,79.17,77.21,77.78,510556.306
2022-12-01 09:30:00,77.79,78.60,77.78,77.94,184399.190
2022-12-01 09:45:00,77.94,78.49,77.75,78.30,110697.850
2022-12-01 10:00:00,78.31,78.59,77.28,77.37,178543.697
2022-12-01 10:15:00,77.38,77.63,76.66,76.85,241509.990
2022-12-01 10:30:00,76.86,76.87,76.19,76.36,283727.376
2022-12-01 10:45:00,76.37,77.04,76.28,77.02,91351.380
2022-12-01 11:00:00,77.03,77.07,76.79,76.80,44000.198
2022-12-01 11:15:00,76.81,77.35,76.45,77.18,107624.251
2022-12-01 11:30:00,77.18,77.51,77.17,77.46,55924.897
2022-12-01 11:45:00,77.47,77.59,77.12,77.13,67515.120
2022-12-01 12:00:00,77.13,77.27,76.82,77.11,62507.825
2022-12-01 12:15:00,77.11,77.46,77.08,77.42,41283.462
2022-12-01 12:30:00,77.42,77.56,77.26,77.44,33310.647
2022-12-01 12:45:00,77.43,77.60,77.27,77.36,30768.699
2022-12-01 13:00:00,77.36,77.86,77.32,77.81,45003.314
2022-12-01 13:15:00,77.82,77.83,77.39,77.44,39199.581
2022-12-01 13:30:00,77.44,77.78,77.39,77.74,42886.258
2022-12-01 13:45:00,77.74,77.95,77.54,77.65,36466.978
2022-12-01 14:00:00,77.65,77.68,77.37,77.43,27538.384
2022-12-01 14:15:00,77.44,77.74,77.35,77.65,26697.474
2022-12-01 14:30:00,77.64,77.69,77.46,77.47,18809.300
2022-12-01 14:45:00,77.46,77.65,77.44,77.63,21040.817
2022-12-01 15:00:00,77.62,77.72,77.34,77.43,32840.225
2022-12-01 15:15:00,77.43,77.65,77.42,77.48,17978.387
2022-12-01 15:30:00,77.49,77.57,77.35,77.55,17264.250
2022-12-01 15:45:00,77.56,77.58,77.29,77.36,21903.844
2022-12-01 16:00:00,77.35,77.43,77.10,77.41,38539.127
2022-12-01 16:15:00,77.41,77.65,77.38,77.56,28620.882
2022-12-01 16:30:00,77.56,77.81,77.56,77.76,26565.346
2022-12-01 16:45:00,77.76,77.91,77.65,77.83,30193.302
2022-12-01 17:00:00,77.83,78.20,77.74,77.98,43074.430
2022-12-01 17:15:00,77.99,78.43,77.93,78.13,44907.858
2022-12-01 17:30:00,78.14,78.47,78.04,78.07,33696.820
2022-12-01 17:45:00,78.08,78.12,77.79,77.82,26220.420
2022-12-01 18:00:00,77.82,78.08,77.68,77.74,27593.934
2022-12-01 18:15:00,77.74,77.77,77.32,77.49,44798.493
2022-12-01 18:30:00,77.50,77.70,77.36,77.56,25285.956
2022-12-01 18:45:00,77.55,77.57,77.33,77.55,16928.930
2022-12-01 19:00:00,77.55,77.65,77.27,77.36,48763.653
2022-12-01 19:15:00,77.35,77.39,77.06,77.23,39784.647
2022-12-01 19:30:00,77.23,77.64,77.09,77.57,41382.548
2022-12-01 19:45:00,77.59,77.60,77.27,77.50,44194.086
2022-12-01 20:00:00,77.50,77.55,77.15,77.24,35868.845
2022-12-01 20:15:00,77.25,77.26,76.84,77.02,47856.361
2022-12-01 20:30:00,77.02,77.14,76.89,76.91,22525.730
2022-12-01 20:45:00,76.90,76.90,76.30,76.76,93133.547
2022-12-01 21:00:00,76.76,76.80,75.22,75.62,249703.294
2022-12-01 21:15:00,75.62,76.24,75.40,76.01,103552.608
2022-12-01 21:30:00,76.01,76.09,75.60,75.75,76850.463
2022-12-01 21:45:00,75.75,76.07,75.48,76.00,82708.312
2022-12-01 22:00:00,76.00,76.21,75.87,76.20,45238.469
2022-12-01 22:15:00,76.20,76.23,76.01,76.05,32970.758
2022-12-01 22:30:00,76.06,76.07,75.90,76.04,27259.168
2022-12-01 22:45:00,76.03,76.05,75.76,75.92,36722.118
2022-12-01 23:00:00,75.93,75.94,75.50,75.57,49996.933
2022-12-01 23:15:00,75.57,76.21,75.57,76.20,46866.985
2022-12-01 23:30:00,76.19,76.25,76.05,76.10,32534.583
2022-12-01 23:45:00,76.11,76.33,76.08,76.28,21183.318
2022-12-02 00:00:00,76.28,76.48,76.21,76.46,28749.091
2022-12-02 00:15:00,76.46,76.53,76.34,76.41,24405.480
2022-12-02 00:30:00,76.42,76.44,76.28,76.35,12541.263
2022-12-02 00:45:00,76.35,76.50,76.33,76.45,18135.952
2022-12-02 01:00:00,76.45,76.53,76.27,76.38,28327.832
2022-12-02 01:15:00,76.38,76.63,76.36,76.59,25692.667
2022-12-02 01:30:00,76.60,76.65,76.37,76.38,24193.345
2022-12-02 01:45:00,76.37,76.47,76.31,76.40,17535.745
2022-12-02 02:00:00,76.40,76.62,76.34,76.57,24044.134
2022-12-02 02:15:00,76.56,76.82,76.56,76.69,51467.578
2022-12-02 02:30:00,76.70,76.84,76.55,76.79,30225.537
2022-12-02 02:45:00,76.79,76.81,76.36,76.47,41613.975
2022-12-02 03:00:00,76.47,76.51,76.13,76.44,58804.816
2022-12-02 03:15:00,76.44,76.48,76.23,76.34,20939.945
2022-12-02 03:30:00,76.33,76.61,76.22,76.56,26590.079
2022-12-02 03:45:00,76.55,76.55,76.25,76.44,23526.782
2022-12-02 04:00:00,76.44,76.56,76.36,76.53,22168.618
2022-12-02 04:15:00,76.52,76.61,76.44,76.55,21171.088
2022-12-02 04:30:00,76.56,76.73,76.55,76.58,28517.667
2022-12-02 04:45:00,76.59,76.70,76.56,76.59,13529.791
2022-12-02 05:00:00,76.59,76.75,76.53,76.68,25796.788
2022-12-02 05:15:00,76.69,76.80,76.62,76.62,21591.303
2022-12-02 05:30:00,76.62,76.76,76.54,76.61,21584.362
2022-12-02 05:45:00,76.60,76.80,76.51,76.77,16621.384
2022-12-02 06:00:00,76.78,76.84,76.57,76.66,25182.612
2022-12-02 06:15:00,76.65,76.99,76.59,76.87,33096.321
2022-12-02 06:30:00,76.88,77.00,76.76,76.85,55718.611
2022-12-02 06:45:00,76.85,76.88,76.69,76.76,25818.742
2022-12-02 07:00:00,76.76,76.92,76.59,76.88,34898.320
2022-12-02 07:15:00,76.88,77.05,76.62,76.76,54420.457
2022-12-02 07:30:00,76.75,76.78,76.57,76.60,28623.729
2022-12-02 07:45:00,76.61,76.76,76.57,76.72,21571.782
2022-12-02 08:00:00,76.71,76.98,76.60,76.60,58542.823
2022-12-02 08:15:00,76.60,76.61,75.94,76.26,120554.504
2022-12-02 08:30:00,76.26,76.30,75.31,75.96,269146.410
2022-12-02 08:45:00,75.96,76.28,75.56,76.16,110253.090
2022-12-02 09:00:00,76.15,76.16,75.80,76.11,65117.876
2022-12-02 09:15:00,76.10,76.29,75.94,75.96,47053.649
2022-12-02 09:30:00,75.96,76.34,75.95,76.31,51454.132
2022-12-02 09:45:00,76.30,76.44,76.03,76.16,57032.498
2022-12-02 10:00:00,76.16,76.57,76.01,76.45,45189.522
2022-12-02 10:15:00,76.45,76.52,76.22,76.27,37194.182
2022-12-02 10:30:00,76.27,76.40,76.22,76.30,25046.389
2022-12-02 10:45:00,76.30,76.42,76.19,76.19,20659.010
2022-12-02 11:00:00,76.19,76.48,76.16,76.37,61568.748
2022-12-02 11:15:00,76.37,76.56,76.25,76.36,37900.357
2022-12-02 11:30:00,76.36,76.49,76.30,76.47,19602.453
2022-12-02 11:45:00,76.47,76.63,76.36,76.52,33320.522
2022-12-02 12:00:00,76.52,76.88,76.41,76.82,44833.666
2022-12-02 12:15:00,76.82,76.95,76.74,76.86,47435.295
2022-12-02 12:30:00,76.85,76.92,76.24,76.49,69625.888
2022-12-02 12:45:00,76.48,76.56,76.37,76.40,27409.353
2022-12-02 13:00:00,76.41,76.52,76.35,76.46,24866.047
2022-12-02 13:15:00,76.47,76.64,76.46,76.61,20690.651
2022-12-02 13:30:00,76.62,76.81,76.59,76.70,22657.858
2022-12-02 13:45:00,76.70,76.77,76.64,76.69,18269.648
2022-12-02 14:00:00,76.70,76.77,76.58,76.62,20177.903
2022-12-02 14:15:00,76.63,76.83,76.62,76.78,19565.419
2022-12-02 14:30:00,76.79,76.93,76.76,76.85,23314.907
2022-12-02 14:45:00,76.85,77.05,76.83,76.97,29421.183
2022-12-02 15:00:00,76.97,77.08,76.90,76.96,41625.837
2022-12-02 15:15:00,76.97,77.06,76.82,76.84,17219.281
2022-12-02 15:30:00,76.85,77.05,76.77,77.01,18089.123
2022-12-02 15:45:00,77.00,77.15,76.90,76.97,30822.372
2022-12-02 16:00:00,76.98,77.27,76.93,77.20,42966.527
2022-12-02 16:15:00,77.21,77.23,77.03,77.12,17091.893
2022-12-02 16:30:00,77.12,77.16,77.00,77.07,12914.592
2022-12-02 16:45:00,77.06,77.39,77.02,77.25,27281.940
2022-12-02 17:00:00,77.26,77.54,77.20,77.42,26377.109
2022-12-02 17:15:00,77.41,77.48,77.34,77.43,14544.493
2022-12-02 17:30:00,77.44,77.44,77.32,77.35,11497.149
2022-12-02 17:45:00,77.35,77.54,77.35,77.43,11919.974
2022-12-02 18:00:00,77.44,77.73,77.39,77.64,33792.975
2022-12-02 18:15:00,77.64,77.69,77.50,77.68,22785.463
2022-12-02 18:30:00,77.68,78.12,77.68,77.86,64850.727
2022-12-02 18:45:00,77.87,77.99,77.81,77.86,25429.172
2022-12-02 19:00:00,77.87,78.05,77.45,77.48,99474.302
2022-12-02 19:15:00,77.48,77.66,77.32,77.47,36774.661
2022-12-02 19:30:00,77.48,77.52,77.23,77.30,42229.894
2022-12-02 19:45:00,77.29,77.38,77.13,77.22,34857.975
2022-12-02 20:00:00,77.22,77.31,76.95,77.01,30583.980
2022-12-02 20:15:00,77.02,77.27,76.86,76.95,59454.089
2022-12-02 20:30:00,76.96,77.12,76.77,77.07,40735.064
2022-12-02 20:45:00,77.07,77.25,77.07,77.24,18328.409
2022-12-02 21:00:00,77.24,77.30,76.64,76.79,38750.214
2022-12-02 21:15:00,76.79,77.04,76.78,76.95,20079.185
2022-12-02 21:30:00,76.95,77.18,76.94,77.08,15230.775
2022-12-02 21:45:00,77.08,77.15,76.98,77.08,10139.032
2022-12-02 22:00:00,77.07,77.13,76.93,76.93,12522.866
2022-12-02 22:15:00,76.93,77.03,76.78,76.99,24133.860
2022-12-02 22:30:00,76.99,77.09,76.91,76.93,13160.540
2022-12-02 22:45:00,76.93,77.15,76.85,77.07,19165.469
2022-12-02 23:00:00,77.07,77.34,77.00,77.23,23749.029
2022-12-02 23:15:00,77.23,77.47,77.21,77.44,26267.512
2022-12-02 23:30:00,77.44,77.48,77.26,77.30,16491.743
2022-12-02 23:45:00,77.31,77.35,76.97,76.99,31411.388
2022-12-03 00:00:00,76.98,77.16,76.97,77.15,12265.154
2022-12-03 00:15:00,77.14,77.20,77.06,77.08,8885.889
2022-12-03 00:30:00,77.09,77.16,77.02,77.16,12630.852
2022-12-03 00:45:00,77.16,77.16,76.98,77.03,10342.975
2022-12-03 01:00:00,77.02,77.26,76.60,76.78,83931.930
2022-12-03 01:15:00,76.77,77.06,76.72,77.01,31305.846
2022-12-03 01:30:00,77.01,77.03,76.85,76.86,15103.205
2022-12-03 01:45:00,76.85,76.99,76.85,76.94,13118.729
2022-12-03 02:00:00,76.93,76.95,76.78,76.89,16857.965
2022-12-03 02:15:00,76.88,76.89,76.66,76.69,39761.566
2022-12-03 02:30:00,76.69,76.92,76.64,76.89,25211.921
2022-12-03 02:45:00,76.88,76.99,76.84,76.87,15659.575
2022-12-03 03:00:00,76.88,76.96,76.76,76.91,22139.364
2022-12-03 03:15:00,76.91,77.03,76.83,76.90,22407.646
2022-12-03 03:30:00,76.91,76.91,76.16,76.39,79680.322
2022-12-03 03:45:00,76.39,76.57,76.18,76.20,75663.047
2022-12-03 04:00:00,76.22,76.46,75.79,76.44,83715.442
2022-12-03 04:15:00,76.43,76.49,76.35,76.47,28906.449
2022-12-03 04:30:00,76.48,76.64,76.38,76.46,26711.770
2022-12-03 04:45:00,76.47,76.65,76.46,76.59,25646.571
2022-12-03 05:00:00,76.59,76.69,76.50,76.66,18417.347
2022-12-03 05:15:00,76.66,76.67,76.56,76.61,12167.563
2022-12-03 05:30:00,76.62,76.67,76.43,76.46,17930.384
2022-12-03 05:45:00,76.45,76.60,76.43,76.60,12230.284
2022-12-03 06:00:00,76.60,76.60,76.23,76.45,39870.952
2022-12-03 06:15:00,76.45,76.82,76.36,76.79,35242.714
2022-12-03 06:30:00,76.79,76.83,76.66,76.79,24684.090
2022-12-03 06:45:00,76.80,77.04,76.74,76.97,42348.459
2022-12-03 07:00:00,76.97,77.06,76.87,76.91,28716.607
2022-12-03 07:15:00,76.90,76.90,76.75,76.81,19136.950
2022-12-03 07:30:00,76.81,76.85,76.59,76.63,23750.920
2022-12-03 07:45:00,76.63,76.88,76.62,76.86,14948.256
2022-12-03 08:00:00,76.87,76.88,76.67,76.68,16060.884
2022-12-03 08:15:00,76.68,76.83,76.52,76.81,25335.428
2022-12-03 08:30:00,76.82,76.82,76.66,76.68,13846.894
2022-12-03 08:45:00,76.68,76.82,76.67,76.77,16162.414
2022-12-03 09:00:00,76.77,76.78,76.59,76.77,19859.953
2022-12-03 09:15:00,76.76,76.81,76.55,76.66,18207.433
2022-12-03 09:30:00,76.66,76.81,76.62,76.67,19676.276
2022-12-03 09:45:00,76.67,76.67,76.43,76.51,31028.611
2022-12-03 10:00:00,76.52,76.62,76.45,76.55,20946.566
