Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,76.76,77.18,76.25,76.96,233393.071
2022-12-01 01:00:00,76.96,77.43,76.89,77.11,154555.793
2022-12-01 02:00:00,77.12,77.32,76.82,76.83,118027.846
2022-12-01 03:00:00,76.84,77.36,76.71,77.00,126008.726
2022-12-01 04:00:00,77.00,77.24,76.73,77.23,161398.408
2022-12-01 05:00:00,77.23,77.48,77.06,77.33,128757.342
2022-12-01 06:00:00,77.33,77.42,76.83,77.32,158216.142
2022-12-01 07:00:00,77.32,77.60,77.01,77.14,235469.254
2022-12-01 08:00:00,77.14,77.90,76.23,77.08,564450.470
2022-12-01 09:00:00,77.08,79.17,76.85,78.30,962872.054
2022-12-01 10:00:00,78.31,78.59,76.19,77.02,795132.443
2022-12-01 11:00:00,77.03,77.59,76.45,77.13,275064.466
2022-12-01 12:00:00,77.13,77.60,76.82,77.36,167870.633
2022-12-01 13:00:00,77.36,77.95,77.32,77.65,163556.131
2022-12-01 14:00:00,77.65,77.74,77.35,77.63,94085.975
2022-12-01 15:00:00,77.62,77.72,77.29,77.36,89986.706
2022-12-01 16:00:00,77.35,77.91,77.10,77.83,123918.657
2022-12-01 17:00:00,77.83,78.47,77.74,77.82,147899.528
2022-12-01 18:00:00,77.82,78.08,77.32,77.55,114607.313
2022-12-01 19:00:00,77.55,77.65,77.06,77.50,174124.934
2022-12-01 20:00:00,77.50,77.55,76.30,76.76,199384.483
2022-12-01 21:00:00,76.76,76.80,75.22,76.00,512814.677
2022-12-01 22:00:00,76.00,76.23,75.76,75.92,142190.513
2022-12-01 23:00:00,75.93,76.33,75.50,76.28,150581.819
2022-12-02 00:00:00,76.28,76.53,76.21,76.45,83831.786
2022-12-02 01:00:00,76.45,76.65,76.27,76.40,95749.589
2022-12-02 02:00:00,76.40,76.84,76.34,76.47,147351.224
2022-12-02 03:00:00,76.47,76.61,76.13,76.44,129861.622
2022-12-02 04:00:00,76.44,76.73,76.36,76.59,85387.164
2022-12-02 05:00:00,76.59,76.80,76.51,76.77,85593.837
2022-12-02 06:00:00,76.78,77.00,76.57,76.76,139816.286
2022-12-02 07:00:00,76.76,77.05,76.57,76.72,139514.288
2022-12-02 08:00:00,76.71,76.98,75.31,76.16,558496.827
2022-12-02 09:00:00,76.15,76.44,75.80,76.16,220658.155
2022-12-02 10:00:00,76.16,76.57,76.01,76.19,128089.103
2022-12-02 11:00:00,76.19,76.63,76.16,76.52,152392.080
2022-12-02 12:00:00,76.52,76.95,76.24,76.40,189304.202
2022-12-02 13:00:00,76.41,76.81,76.35,76.69,86484.204
2022-12-02 14:00:00,76.70,77.05,76.58,76.97,92479.412
2022-12-02 15:00:00,76.97,77.15,76.77,76.97,107756.613
2022-12-02 16:00:00,76.98,77.39,76.93,77.25,100254.952
2022-12-02 17:00:00,77.26,77.54,77.20,77.43,64338.725
2022-12-02 18:00:00,77.44,78.12,77.39,77.86,146858.337
2022-12-02 19:00:00,77.87,78.05,77.13,77.22,213336.832
2022-12-02 20:00:00,77.22,77.31,76.77,77.24,149101.542
2022-12-02 21:00:00,77.24,77.30,76.64,77.08,84199.206
2022-12-02 22:00:00,77.07,77.15,76.78,77.07,68982.735
2022-12-02 23:00:00,77.07,77.48,76.97,76.99,97919.672
2022-12-03 00:00:00,76.98,77.20,76.97,77.03,44124.870
2022-12-03 01:00:00,77.02,77.26,76.60,76.94,143459.710
2022-12-03 02:00:00,76.93,76.99,76.64,76.87,97491.027
2022-12-03 03:00:00,76.88,77.03,76.16,76.20,199890.379
2022-12-03 04:00:00,76.22,76.65,75.79,76.59,164980.232
2022-12-03 05:00:00,76.59,76.69,76.43,76.60,60745.578
2022-12-03 06:00:00,76.60,77.04,76.23,76.97,142146.215
2022-12-03 07:00:00,76.97,77.06,76.59,76.86,86552.733
2022-12-03 08:00:00,76.87,76.88,76.52,76.77,71405.620
2022-12-03 09:00:00,76.77,76.81,76.43,76.51,88772.273
2022-12-03 10:00:00,76.52,76.75,76.34,76.41,91520.533
2022-12-03 11:00:00,76.40,76.49,75.89,76.15,137284.251
2022-12-03 12:00:00,76.14,76.49,75.97,76.33,99576.828
2022-12-03 13:00:00,76.33,76.41,76.10,76.13,47010.959
2022-12-03 14:00:00,76.13,76.17,75.53,75.96,118788.859
2022-12-03 15:00:00,75.95,76.06,75.77,75.88,54852.032
2022-12-03 16:00:00,75.87,76.13,75.50,76.08,108127.384
2022-12-03 17:00:00,76.08,76.40,75.40,76.25,159887.268
2022-12-03 18:00:00,76.24,76.97,76.15,76.42,232790.139
2022-12-03 19:00:00,76.42,77.18,76.35,76.91,181816.607
2022-12-03 20:00:00,76.90,77.19,76.59,76.88,126971.021
2022-12-03 21:00:00,76.89,77.30,76.76,77.01,110911.260
2022-12-03 22:00:00,77.01,77.10,76.50,76.55,79394.443
2022-12-03 23:00:00,76.55,76.92,76.31,76.92,97633.075
2022-12-04 00:00:00,76.91,77.05,76.64,76.81,81164.320
2022-12-04 01:00:00,76.80,76.86,76.42,76.55,67007.751
2022-12-04 02:00:00,76.55,76.65,76.34,76.39,66468.805
2022-12-04 03:00:00,76.39,76.56,76.12,76.42,107247.672
2022-12-04 04:00:00,76.41,76.69,75.92,76.08,180627.705
2022-12-04 05:00:00,76.07,76.28,75.81,76.16,172228.154
2022-12-04 06:00:00,76.17,76.36,75.85,76.09,141877.520
2022-12-04 07:00:00,76.08,76.30,75.81,76.11,114917.966
2022-12-04 08:00:00,76.12,76.23,75.82,76.03,100186.883
2022-12-04 09:00:00,76.04,76.33,75.73,76.29,128965.919
2022-12-04 10:00:00,76.29,76.55,76.15,76.34,291596.182
2022-12-04 11:00:00,76.34,76.57,76.07,76.15,171970.419
2022-12-04 12:00:00,76.15,76.34,75.87,76.28,100209.162
2022-12-04 13:00:00,76.28,76.82,76.24,76.76,238283.312
2022-12-04 14:00:00,76.77,76.96,76.62,76.88,141383.456
2022-12-04 15:00:00,76.89,77.13,76.80,76.93,92601.621
2022-12-04 16:00:00,76.93,76.98,76.67,76.68,64881.130
2022-12-04 17:00:00,76.68,76.76,76.55,76.67,69797.477
2022-12-04 18:00:00,76.67,77.60,76.64,77.04,179976.752
2022-12-04 19:00:00,77.03,78.61,76.77,77.99,410456.375
2022-12-04 20:00:00,77.99,78.22,77.64,77.92,148896.134
2022-12-04 21:00:00,77.93,78.12,77.44,77.65,194814.085
2022-12-04 22:00:00,77.66,78.06,77.54,77.81,137855.791
2022-12-04 23:00:00,77.81,84.40,77.80,82.99,1927464.729
2022-12-05 00:00:00,82.98,83.93,82.65,83.34,921648.816
2022-12-05 01:00:00,83.33,85.00,82.52,83.12,956686.792
2022-12-05 02:00:00,83.12,83.84,82.63,83.27,397995.273
2022-12-05 03:00:00,83.29,83.98,82.89,83.04,515254.445
2022-12-05 04:00:00,83.04,83.27,82.69,82.72,280984.516
2022-12-05 05:00:00,82.71,83.20,82.55,83.04,211012.165
2022-12-05 06:00:00,83.05,83.70,82.96,83.24,309862.052
2022-12-05 07:00:00,83.23,83.90,82.76,83.18,432861.585
2022-12-05 08:00:00,83.18,84.80,82.95,83.32,722165.062
2022-12-05 09:00:00,83.31,83.88,82.63,82.84,477971.949
2022-12-05 10:00:00,82.83,82.83,81.00,81.72,1110621.016
2022-12-05 11:00:00,81.72,81.96,80.60,80.80,643284.613
2022-12-05 12:00:00,80.80,81.70,80.55,81.15,411501.964
2022-12-05 13:00:00,81.16,81.86,81.06,81.18,285838.073
2022-12-05 14:00:00,81.17,81.19,79.67,80.15,509919.992
2022-12-05 15:00:00,80.15,80.22,79.34,79.87,236377.124
2022-12-05 16:00:00,79.87,80.06,79.71,80.02,145269.632
2022-12-05 17:00:00,80.02,80.48,79.81,80.38,145408.003
2022-12-05 18:00:00,80.38,80.59,79.75,80.15,184917.714
2022-12-05 19:00:00,80.16,81.45,80.02,81.25,388262.380
2022-12-05 20:00:00,81.25,81.42,80.59,80.63,190855.427
2022-12-05 21:00:00,80.64,81.54,80.58,81.09,202715.982
2022-12-05 22:00:00,81.09,81.75,80.99,81.19,210806.084
2022-12-05 23:00:00,81.20,81.31,80.08,80.70,287858.465
2022-12-06 00:00:00,80.69,80.73,80.11,80.22,171892.880
2022-12-06 01:00:00,80.23,80.69,79.91,80.38,180938.526
2022-12-06 02:00:00,80.38,80.70,80.19,80.32,118056.520
2022-12-06 03:00:00,80.33,80.63,79.81,80.28,210456.901
2022-12-06 04:00:00,80.29,80.29,78.50,79.12,405273.779
2022-12-06 05:00:00,79.12,79.30,78.85,79.13,276149.793
2022-12-06 06:00:00,79.13,79.64,78.72,79.56,290477.788
2022-12-06 07:00:00,79.56,79.72,79.30,79.38,170623.375
2022-12-06 08:00:00,79.39,79.59,79.02,79.14,138469.479
2022-12-06 09:00:00,79.13,79.66,78.96,79.23,226706.345
2022-12-06 10:00:00,79.23,79.87,78.22,79.42,506271.603
2022-12-06 11:00:00,79.43,79.76,79.17,79.22,159276.249
2022-12-06 12:00:00,79.23,79.38,78.32,78.92,210997.160
2022-12-06 13:00:00,78.92,79.02,78.46,78.46,164422.690
2022-12-06 14:00:00,78.46,78.53,77.62,77.86,317230.516
2022-12-06 15:00:00,77.85,78.46,77.80,78.22,155926.869
2022-12-06 16:00:00,78.22,78.79,78.18,78.69,127137.915
2022-12-06 17:00:00,78.70,78.80,78.45,78.51,74814.703
2022-12-06 18:00:00,78.51,80.11,78.48,79.84,326227.779
2022-12-06 19:00:00,79.84,80.21,79.41,79.56,238759.109
2022-12-06 20:00:00,79.56,80.03,79.12,79.60,175628.042
2022-12-06 21:00:00,79.61,79.93,79.41,79.67,101489.977
2022-12-06 22:00:00,79.68,79.68,79.01,79.17,128750.057
2022-12-06 23:00:00,79.18,79.84,78.61,79.71,273819.433
2022-12-07 00:00:00,79.71,80.36,79.60,79.98,316219.659
2022-12-07 01:00:00,79.98,80.22,78.64,78.86,331589.511
2022-12-07 02:00:00,78.86,79.14,75.60,76.61,999899.807
2022-12-07 03:00:00,76.60,77.07,76.25,76.83,392176.994
2022-12-07 04:00:00,76.83,77.26,76.35,76.90,304753.303
2022-12-07 05:00:00,76.90,76.90,76.36,76.83,161269.800
2022-12-07 06:00:00,76.84,76.85,75.41,76.06,275760.272
2022-12-07 07:00:00,76.06,76.45,75.82,76.36,250215.047
2022-12-07 08:00:00,76.36,76.94,76.15,76.76,286857.582
2022-12-07 09:00:00,76.75,77.18,76.42,76.77,245821.377
2022-12-07 10:00:00,76.76,77.08,76.56,76.69,193918.239
2022-12-07 11:00:00,76.69,76.76,76.15,76.55,186155.559
2022-12-07 12:00:00,76.55,76.85,76.35,76.64,96447.915
2022-12-07 13:00:00,76.64,76.98,76.49,76.49,97135.622
2022-12-07 14:00:00,76.50,77.34,76.50,76.93,184435.142
2022-12-07 15:00:00,76.94,77.18,76.68,76.82,123444.103
2022-12-07 16:00:00,76.83,76.98,76.58,76.85,78065.012
2022-12-07 17:00:00,76.84,77.14,76.52,77.02,82232.567
2022-12-07 18:00:00,77.02,77.28,76.75,76.85,129329.346
2022-12-07 19:00:00,76.86,77.24,76.02,76.04,237583.314
2022-12-07 20:00:00,76.03,76.56,76.02,76.29,181953.808
2022-12-07 21:00:00,76.29,76.89,75.66,76.55,259880.310
2022-12-07 22:00:00,76.56,76.89,76.41,76.46,115860.390
2022-12-07 23:00:00,76.47,76.69,74.10,75.08,446354.365
2022-12-08 00:00:00,75.08,75.34,74.45,75.00,454202.566
2022-12-08 01:00:00,75.00,75.04,74.30,74.74,216424.938
2022-12-08 02:00:00,74.74,75.83,74.73,75.62,342802.067
2022-12-08 03:00:00,75.63,75.84,75.28,75.54,158579.313
2022-12-08 04:00:00,75.53,75.73,74.62,74.76,237909.987
2022-12-08 05:00:00,74.76,75.42,74.67,75.26,163085.255
2022-12-08 06:00:00,75.26,75.80,74.51,75.77,360636.614
2022-12-08 07:00:00,75.77,76.09,75.36,75.66,282630.981
2022-12-08 08:00:00,75.65,75.96,75.27,75.89,199238.616
2022-12-08 09:00:00,75.89,76.37,75.55,76.17,255328.940
2022-12-08 10:00:00,76.16,76.50,75.90,76.01,340985.704
2022-12-08 11:00:00,76.00,76.13,75.80,75.83,150873.547
2022-12-08 12:00:00,75.84,75.88,75.14,75.35,254162.325
2022-12-08 13:00:00,75.35,77.83,75.27,77.06,715981.870
2022-12-08 14:00:00,77.06,77.58,76.67,77.41,306790.353
2022-12-08 15:00:00,77.40,77.54,77.00,77.22,152847.204
2022-12-08 16:00:00,77.21,77.74,77.15,77.55,136386.249
2022-12-08 17:00:00,77.55,78.44,77.50,77.94,230540.534
2022-12-08 18:00:00,77.94,78.69,77.94,78.22,186783.511
2022-12-08 19:00:00,78.23,78.40,77.55,77.88,254184.768
2022-12-08 20:00:00,77.88,78.83,77.86,78.06,238934.862
2022-12-08 21:00:00,78.06,78.16,77.80,77.98,118149.461
2022-12-08 22:00:00,77.98,78.34,77.74,78.00,127923.110
2022-12-08 23:00:00,78.00,78.21,77.75,77.97,117682.476
2022-12-09 00:00:00,77.97,78.12,77.63,77.89,99170.604
2022-12-09 01:00:00,77.88,78.12,77.68,78.08,111983.320
2022-12-09 02:00:00,78.08,78.27,77.88,77.88,111475.277
2022-12-09 03:00:00,77.87,77.96,77.51,77.79,168104.522
2022-12-09 04:00:00,77.80,78.64,77.71,78.40,205199.908
2022-12-09 05:00:00,78.39,78.68,77.95,78.09,206266.355
2022-12-09 06:00:00,78.10,78.30,77.88,78.05,144138.262
2022-12-09 07:00:00,78.05,78.41,76.40,77.68,394885.058
2022-12-09 08:00:00,77.67,77.82,76.26,76.84,498763.332
2022-12-09 09:00:00,76.83,76.98,76.27,76.78,260177.046
2022-12-09 10:00:00,76.79,76.99,76.48,76.80,172548.873
2022-12-09 11:00:00,76.79,76.87,76.26,76.53,190837.068
2022-12-09 12:00:00,76.52,76.69,76.39,76.60,79353.543
2022-12-09 13:00:00,76.60,76.80,76.18,76.37,150284.403
2022-12-09 14:00:00,76.38,76.46,76.03,76.22,120475.148
2022-12-09 15:00:00,76.22,76.33,75.79,76.13,137926.524
2022-12-09 16:00:00,76.13,76.41,75.91,76.17,140407.202
2022-12-09 17:00:00,76.16,76.46,76.15,76.44,68048.588
2022-12-09 18:00:00,76.43,76.48,76.19,76.29,75405.864
2022-12-09 19:00:00,76.29,76.60,75.86,76.53,115276.708
2022-12-09 20:00:00,76.54,76.78,76.46,76.50,92097.020
2022-12-09 21:00:00,76.49,76.62,76.17,76.25,62681.516
2022-12-09 22:00:00,76.25,76.58,76.12,76.49,58343.558
2022-12-09 23:00:00,76.49,76.53,76.28,76.36,37079.692
