Date,Open,High,Low,Close,Volume
2022-12-01 03:00:00,3.8410,4.4440,3.7910,4.1310,41453534
2022-12-01 07:00:00,4.1310,4.3550,3.8500,3.9080,83628096
2022-12-01 11:00:00,3.9080,4.0840,3.8950,3.9960,29399395
2022-12-01 15:00:00,3.9950,4.1690,3.9130,3.9360,25657267
2022-12-01 19:00:00,3.9360,4.0930,3.8170,3.8980,27357717
2022-12-01 23:00:00,3.8990,3.9400,3.8260,3.8660,15466974
2022-12-02 03:00:00,3.8660,4.0070,3.8250,3.9710,21656768
2022-12-02 07:00:00,3.9720,4.0240,3.7770,3.8200,33469171
2022-12-02 11:00:00,3.8210,3.8220,3.6570,3.7460,21165814
2022-12-02 15:00:00,3.7450,3.9300,3.7010,3.8690,15792546
2022-12-02 19:00:00,3.8680,3.8760,3.6100,3.7030,18002462
2022-12-02 23:00:00,3.7020,3.7490,3.6540,3.7030,11237205
2022-12-03 03:00:00,3.7020,3.8040,3.6700,3.7420,14674385
2022-12-03 07:00:00,3.7420,3.9840,3.7220,3.8830,32820836
2022-12-03 11:00:00,3.8830,3.9910,3.8200,3.8420,20770639
2022-12-03 15:00:00,3.8410,3.8540,3.6900,3.7760,15762895
2022-12-03 19:00:00,3.7770,3.9100,3.7370,3.8500,15371172
2022-12-03 23:00:00,3.8500,3.9530,3.8060,3.8560,18874074
2022-12-04 03:00:00,3.8560,3.9110,3.7170,3.7470,18021143
2022-12-04 07:00:00,3.7470,3.8100,3.7300,3.7740,10698494
2022-12-04 11:00:00,3.7740,3.8070,3.7210,3.7870,8657366
2022-12-04 15:00:00,3.7880,3.8920,3.7590,3.8240,9450553
2022-12-04 19:00:00,3.8230,3.8880,3.7330,3.8710,12762093
2022-12-04 23:00:00,3.8710,3.9830,3.8380,3.8650,14183493
2022-12-05 03:00:00,3.8650,4.1130,3.8400,3.9810,27426289
2022-12-05 07:00:00,3.9810,3.9840,3.8580,3.8750,13859943
2022-12-05 11:00:00,3.8750,3.8760,3.5020,3.5360,23464789
2022-12-05 15:00:00,3.5350,3.6730,3.5250,3.6630,11246731
2022-12-05 19:00:00,3.6630,3.7140,3.6380,3.6520,8186773
2022-12-05 23:00:00,3.6510,3.7280,3.6010,3.6870,9353559
2022-12-06 03:00:00,3.6860,3.7160,3.6280,3.6790,11735211
2022-12-06 07:00:00,3.6780,3.6950,3.5620,3.6170,13108494
2022-12-06 11:00:00,3.6180,3.6240,3.5060,3.5670,11800978
2022-12-06 15:00:00,3.5670,3.6780,3.5660,3.6340,10969757
2022-12-06 19:00:00,3.6340,3.7170,3.6330,3.6500,7898905
2022-12-06 23:00:00,3.6510,3.7260,3.2660,3.3710,23217654
2022-12-07 03:00:00,3.3700,3.4980,3.3620,3.4570,15659425
2022-12-07 07:00:00,3.4570,3.4950,3.4400,3.4740,11988319
2022-12-07 11:00:00,3.4740,3.4780,3.4030,3.4100,7618678
2022-12-07 15:00:00,3.4100,3.4550,3.3600,3.4380,7061410
2022-12-07 19:00:00,3.4370,3.5120,3.3910,3.4530,10487430
2022-12-07 23:00:00,3.4520,3.6300,3.4120,3.5810,17698648
2022-12-08 03:00:00,3.5810,3.6030,3.4090,3.4830,16771331
2022-12-08 07:00:00,3.4820,3.5480,3.4450,3.5170,12968557
2022-12-08 11:00:00,3.5180,3.5980,3.4920,3.5860,10205416
2022-12-08 15:00:00,3.5870,3.6060,3.5320,3.5400,6741659
2022-12-08 19:00:00,3.5400,3.5480,3.4560,3.4820,8823160
2022-12-08 23:00:00,3.4810,3.5170,3.4360,3.4810,7984569
2022-12-09 03:00:00,3.4820,3.5020,3.4500,3.4770,6791262
2022-12-09 07:00:00,3.4770,3.4850,3.2610,3.3510,20355167
2022-12-09 11:00:00,3.3510,3.3780,3.3270,3.3760,7302665
2022-12-09 15:00:00,3.3760,3.4180,3.3500,3.3750,7316140
2022-12-09 19:00:00,3.3760,3.4240,3.3530,3.4090,5598808
2022-12-09 23:00:00,3.4100,3.4280,3.3870,3.4080,4991113
2022-12-10 03:00:00,3.4080,3.4230,3.3550,3.4040,5695598
2022-12-10 07:00:00,3.4030,3.4280,3.3620,3.4130,7606302
2022-12-10 11:00:00,3.4140,3.4170,3.3340,3.3530,6036958
2022-12-10 15:00:00,3.3540,3.3860,3.2140,3.3080,10134171
2022-12-10 19:00:00,3.3080,3.3390,3.2930,3.3330,3711572
2022-12-10 23:00:00,3.3330,3.3450,3.3130,3.3330,3350502
2022-12-11 03:00:00,3.3330,3.3380,3.2680,3.2960,5540439
2022-12-11 07:00:00,3.2960,3.2980,3.2280,3.2500,8187928
2022-12-11 11:00:00,3.2500,3.2580,3.1360,3.1800,12904861
2022-12-11 15:00:00,3.1800,3.1810,3.0300,3.0800,15341694
2022-12-11 19:00:00,3.0800,3.1370,2.9100,2.9970,20687861
2022-12-11 23:00:00,2.9970,3.0170,2.9310,2.9810,11203889
2022-12-12 03:00:00,2.9810,3.0550,2.9610,2.9980,12512508
2022-12-12 07:00:00,2.9990,3.0200,2.9660,2.9830,10863050
2022-12-12 11:00:00,2.9830,3.0220,2.9440,2.9930,9532480
2022-12-12 15:00:00,2.9930,3.0800,2.9790,3.0680,8403420
2022-12-12 19:00:00,3.0670,3.2110,3.0550,3.0700,15721469
2022-12-12 23:00:00,3.0700,3.1080,2.8800,2.9450,18652170
2022-12-13 03:00:00,2.9440,3.0420,2.9300,3.0140,14460535
2022-12-13 07:00:00,3.0140,3.2000,3.0030,3.1110,25044696
2022-12-13 11:00:00,3.1110,3.1340,3.0080,3.0640,11349231
2022-12-13 15:00:00,3.0630,3.1480,3.0500,3.1410,6158316
2022-12-13 19:00:00,3.1410,3.2540,3.1050,3.2350,11712129
2022-12-13 23:00:00,3.2350,3.2550,3.1630,3.1820,8215855
2022-12-14 03:00:00,3.1820,3.2380,3.1700,3.1840,9552362
2022-12-14 07:00:00,3.1830,3.2130,3.1310,3.1880,9501398
2022-12-14 11:00:00,3.1880,3.1990,3.0050,3.0670,14088445
2022-12-14 15:00:00,3.0670,3.0960,3.0420,3.0490,4746326
2022-12-14 19:00:00,3.0490,3.0680,2.9600,3.0030,8158830
2022-12-14 23:00:00,3.0030,3.0180,2.9680,2.9950,5487014
2022-12-15 03:00:00,2.9950,3.0350,2.9760,3.0260,5673379
2022-12-15 07:00:00,3.0270,3.0270,2.9660,2.9920,9729014
2022-12-15 11:00:00,2.9930,2.9990,2.9040,2.9350,10871102
2022-12-15 15:00:00,2.9360,2.9390,2.8320,2.8670,9959500
2022-12-15 19:00:00,2.8670,2.9790,2.8630,2.9660,9193910
2022-12-15 23:00:00,2.9650,3.0680,2.9310,3.0370,12992717
2022-12-16 03:00:00,3.0370,3.0470,2.8250,2.9250,28912729
2022-12-16 07:00:00,2.9260,2.9590,2.8690,2.8870,16135359
2022-12-16 11:00:00,2.8870,2.8970,2.7640,2.7970,17362387
2022-12-16 15:00:00,2.7980,2.8080,2.3910,2.4780,25576246
2022-12-16 19:00:00,2.4780,2.5330,2.4320,2.4890,17223974
2022-12-16 23:00:00,2.4890,2.5350,2.4700,2.5330,10043461
2022-12-17 03:00:00,2.5320,2.5530,2.4760,2.4880,10437626
2022-12-17 07:00:00,2.4870,2.5210,2.4530,2.5020,10627729
2022-12-17 11:00:00,2.5020,2.5660,2.4750,2.5090,10591500
2022-12-17 15:00:00,2.5080,2.6190,2.4990,2.5940,8634724
2022-12-17 19:00:00,2.5940,2.6030,2.5260,2.5580,7576132
2022-12-17 23:00:00,2.5590,2.6130,2.4500,2.4740,11217640
2022-12-18 03:00:00,2.4740,2.4950,2.4120,2.4450,13228672
2022-12-18 07:00:00,2.4460,2.4620,2.3800,2.4130,9295766
2022-12-18 11:00:00,2.4120,2.4720,2.4020,2.4410,7904432
2022-12-18 15:00:00,2.4420,2.5270,2.4380,2.4650,11376783
2022-12-18 19:00:00,2.4640,2.5290,2.4300,2.4580,14448567
2022-12-18 23:00:00,2.4590,2.5220,2.4560,2.4960,8978384
2022-12-19 03:00:00,2.4970,2.5390,2.4420,2.4580,13087110
2022-12-19 07:00:00,2.4570,2.4760,2.3890,2.3990,14863631
2022-12-19 11:00:00,2.3990,2.4080,2.2110,2.2350,32122210
2022-12-19 15:00:00,2.2350,2.2620,2.1220,2.1870,18749228
2022-12-19 19:00:00,2.1860,2.3070,2.1850,2.2870,18429825
2022-12-19 23:00:00,2.2870,2.3420,2.2770,2.3210,13316058
2022-12-20 03:00:00,2.3220,2.3340,2.2870,2.3200,11639600
2022-12-20 07:00:00,2.3200,2.3700,2.2600,2.3360,19733202
2022-12-20 11:00:00,2.3360,2.3570,2.2950,2.3000,12197374
2022-12-20 15:00:00,2.3000,2.3550,2.2760,2.3450,9011611
2022-12-20 19:00:00,2.3450,2.3560,2.2590,2.2620,14494807
2022-12-20 23:00:00,2.2620,2.3100,2.2230,2.2670,19206924
2022-12-21 03:00:00,2.2670,2.3070,2.2460,2.2760,13276601
2022-12-21 07:00:00,2.2770,2.2800,2.2390,2.2740,12736655
2022-12-21 11:00:00,2.2750,2.2770,2.1630,2.1770,12838659
2022-12-21 15:00:00,2.1770,2.2100,2.1330,2.2050,11128456
2022-12-21 19:00:00,2.2060,2.2720,2.1840,2.2640,11065521
2022-12-21 23:00:00,2.2640,2.2750,2.2190,2.2470,8828601
2022-12-22 03:00:00,2.2470,2.3110,2.1900,2.2680,20459796
2022-12-22 07:00:00,2.2690,2.3440,2.2550,2.2800,39335488
2022-12-22 11:00:00,2.2810,2.3640,2.2320,2.3070,30324554
2022-12-22 15:00:00,2.3060,2.5090,2.2850,2.4730,50137565
2022-12-22 19:00:00,2.4720,2.4730,2.4070,2.4490,26662091
2022-12-22 23:00:00,2.4480,2.4550,2.3910,2.4120,17085190
2022-12-23 03:00:00,2.4120,2.4400,2.3920,2.4180,15372930
2022-12-23 07:00:00,2.4190,2.4350,2.3560,2.3970,27911154
2022-12-23 11:00:00,2.3970,2.4180,2.3700,2.4030,10322072
2022-12-23 15:00:00,2.4020,2.4070,2.3680,2.3870,6500659
2022-12-23 19:00:00,2.3870,2.4450,2.3860,2.4130,10754907
2022-12-23 23:00:00,2.4140,2.4280,2.3720,2.3880,9122893
2022-12-24 03:00:00,2.3880,2.3890,2.3040,2.3410,12863234
2022-12-24 07:00:00,2.3410,2.3530,2.3210,2.3370,6934065
2022-12-24 11:00:00,2.3370,2.3460,2.3250,2.3340,5874792
