Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,3.8350,3.8460,3.8200,3.8250,479624
2022-12-01 00:05:00,3.8240,3.8400,3.8240,3.8280,413770
2022-12-01 00:10:00,3.8280,3.8530,3.8240,3.8490,781450
2022-12-01 00:15:00,3.8500,3.8510,3.8370,3.8430,303691
2022-12-01 00:20:00,3.8430,3.8530,3.8320,3.8520,360751
2022-12-01 00:25:00,3.8520,3.8540,3.8310,3.8380,318916
2022-12-01 00:30:00,3.8400,3.8460,3.7780,3.7860,1544254
2022-12-01 00:35:00,3.7850,3.8070,3.7710,3.7770,919018
2022-12-01 00:40:00,3.7770,3.8070,3.7770,3.7810,880577
2022-12-01 00:45:00,3.7810,3.8000,3.7670,3.7990,791488
2022-12-01 00:50:00,3.7980,3.8130,3.7950,3.7970,541000
2022-12-01 00:55:00,3.7970,3.8050,3.7930,3.8050,322524
2022-12-01 01:00:00,3.8040,3.8180,3.8000,3.8110,644706
2022-12-01 01:05:00,3.8110,3.8140,3.7980,3.8040,345123
2022-12-01 01:10:00,3.8030,3.8070,3.7880,3.7920,464795
2022-12-01 01:15:00,3.7910,3.8090,3.7880,3.8060,364647
2022-12-01 01:20:00,3.8060,3.8140,3.7940,3.7990,315896
2022-12-01 01:25:00,3.7990,3.8300,3.7980,3.8200,547091
2022-12-01 01:30:00,3.8210,3.8250,3.8090,3.8160,372336
2022-12-01 01:35:00,3.8150,3.8200,3.8070,3.8160,291766
2022-12-01 01:40:00,3.8160,3.8250,3.8050,3.8240,340208
2022-12-01 01:45:00,3.8240,3.8390,3.8110,3.8320,553914
2022-12-01 01:50:00,3.8310,3.8370,3.8270,3.8320,408440
2022-12-01 01:55:00,3.8320,3.8360,3.8200,3.8330,318785
2022-12-01 02:00:00,3.8320,3.8350,3.8110,3.8130,380507
2022-12-01 02:05:00,3.8130,3.8150,3.8000,3.8050,472854
2022-12-01 02:10:00,3.8060,3.8510,3.8010,3.8480,770964
2022-12-01 02:15:00,3.8480,3.8750,3.8310,3.8650,1283640
2022-12-01 02:20:00,3.8660,3.8680,3.8350,3.8370,675328
2022-12-01 02:25:00,3.8380,3.8940,3.8350,3.8590,1127666
2022-12-01 02:30:00,3.8580,3.8590,3.8400,3.8530,736092
2022-12-01 02:35:00,3.8520,3.8570,3.8270,3.8280,1066640
2022-12-01 02:40:00,3.8270,3.8350,3.8230,3.8240,407934
2022-12-01 02:45:00,3.8240,3.8380,3.8130,3.8370,460297
2022-12-01 02:50:00,3.8360,3.8450,3.8300,3.8300,359160
2022-12-01 02:55:00,3.8300,3.8550,3.8260,3.8400,456860
2022-12-01 03:00:00,3.8410,3.8480,3.8230,3.8420,541693
2022-12-01 03:05:00,3.8420,3.8490,3.8060,3.8090,692253
2022-12-01 03:10:00,3.8080,3.8240,3.7910,3.8130,1113165
2022-12-01 03:15:00,3.8130,3.8260,3.8130,3.8180,357355
2022-12-01 03:20:00,3.8180,3.8280,3.8110,3.8180,327239
2022-12-01 03:25:00,3.8180,3.8250,3.8120,3.8140,224309
2022-12-01 03:30:00,3.8150,3.8590,3.8150,3.8540,947861
2022-12-01 03:35:00,3.8550,3.8650,3.8450,3.8500,771059
2022-12-01 03:40:00,3.8500,3.8640,3.8470,3.8570,529849
2022-12-01 03:45:00,3.8570,3.8750,3.8490,3.8750,875727
2022-12-01 03:50:00,3.8740,3.8740,3.8510,3.8540,545848
2022-12-01 03:55:00,3.8540,3.8640,3.8470,3.8520,401998
2022-12-01 04:00:00,3.8510,3.8630,3.8390,3.8390,636176
2022-12-01 04:05:00,3.8410,3.8470,3.8330,3.8390,330692
2022-12-01 04:10:00,3.8390,3.8580,3.8380,3.8440,482730
2022-12-01 04:15:00,3.8430,3.8480,3.8400,3.8470,199574
2022-12-01 04:20:00,3.8460,3.8630,3.8370,3.8480,511636
2022-12-01 04:25:00,3.8470,3.8470,3.8360,3.8400,315033
2022-12-01 04:30:00,3.8400,3.8550,3.8360,3.8380,325568
2022-12-01 04:35:00,3.8380,3.8470,3.8350,3.8420,227355
2022-12-01 04:40:00,3.8400,3.8640,3.8400,3.8530,443315
2022-12-01 04:45:00,3.8540,3.8630,3.8510,3.8530,274711
2022-12-01 04:50:00,3.8530,3.8650,3.8500,3.8550,318649
2022-12-01 04:55:00,3.8550,3.8670,3.8530,3.8600,404744
2022-12-01 05:00:00,3.8610,3.8720,3.8530,3.8570,490412
2022-12-01 05:05:00,3.8570,3.8580,3.8450,3.8500,320711
2022-12-01 05:10:00,3.8500,3.8680,3.8460,3.8660,297100
2022-12-01 05:15:00,3.8650,3.8850,3.8590,3.8620,816079
2022-12-01 05:20:00,3.8610,3.8650,3.8470,3.8490,415024
2022-12-01 05:25:00,3.8480,3.8590,3.8460,3.8470,282526
2022-12-01 05:30:00,3.8470,3.8610,3.8470,3.8520,312611
2022-12-01 05:35:00,3.8520,3.8530,3.8380,3.8390,548595
2022-12-01 05:40:00,3.8390,3.8480,3.8340,3.8430,504316
2022-12-01 05:45:00,3.8420,3.8490,3.8370,3.8480,250228
2022-12-01 05:50:00,3.8480,3.8540,3.8450,3.8530,291981
2022-12-01 05:55:00,3.8530,3.8530,3.8400,3.8500,199643
2022-12-01 06:00:00,3.8490,3.9000,3.8490,3.8620,1716506
2022-12-01 06:05:00,3.8630,3.8770,3.8560,3.8700,466954
2022-12-01 06:10:00,3.8700,3.8800,3.8690,3.8770,425384
2022-12-01 06:15:00,3.8760,3.8870,3.8640,3.8730,742918
2022-12-01 06:20:00,3.8720,3.8850,3.8640,3.8790,414538
2022-12-01 06:25:00,3.8790,3.8800,3.8640,3.8680,381985
2022-12-01 06:30:00,3.8680,3.8740,3.8620,3.8620,350556
2022-12-01 06:35:00,3.8630,3.8750,3.8610,3.8740,225061
2022-12-01 06:40:00,3.8740,3.8860,3.8740,3.8780,467973
2022-12-01 06:45:00,3.8790,4.4440,3.8750,4.1470,11963612
2022-12-01 06:50:00,4.1460,4.1610,4.0670,4.1120,5102466
2022-12-01 06:55:00,4.1120,4.1460,4.0900,4.1310,2667816
2022-12-01 07:00:00,4.1310,4.1590,4.1180,4.1410,2647749
2022-12-01 07:05:00,4.1410,4.2200,4.1410,4.1460,4715040
2022-12-01 07:10:00,4.1460,4.2220,4.1450,4.2010,2843516
2022-12-01 07:15:00,4.2020,4.2260,4.1750,4.1930,2578393
2022-12-01 07:20:00,4.1940,4.2090,4.1640,4.1700,1669079
2022-12-01 07:25:00,4.1690,4.1800,4.1330,4.1380,2307628
2022-12-01 07:30:00,4.1380,4.1570,4.1030,4.1550,1910964
2022-12-01 07:35:00,4.1540,4.1550,4.1290,4.1420,761937
