Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,1.7410,1.7440,1.7350,1.7370,395361
2022-12-01 00:15:00,1.7370,1.7390,1.7320,1.7340,304067
2022-12-01 00:30:00,1.7330,1.7340,1.7220,1.7240,982950
2022-12-01 00:45:00,1.7240,1.7370,1.7170,1.7350,1157051
2022-12-01 01:00:00,1.7350,1.7360,1.7260,1.7320,1099982
2022-12-01 01:15:00,1.7310,1.7340,1.7270,1.7310,428993
2022-12-01 01:30:00,1.7310,1.7400,1.7310,1.7380,434772
2022-12-01 01:45:00,1.7380,1.7440,1.7370,1.7380,646363
2022-12-01 02:00:00,1.7380,1.7420,1.7280,1.7300,724145
2022-12-01 02:15:00,1.7300,1.7330,1.7210,1.7240,691415
2022-12-01 02:30:00,1.7240,1.7280,1.7210,1.7220,568959
2022-12-01 02:45:00,1.7220,1.7230,1.7070,1.7160,1751857
2022-12-01 03:00:00,1.7150,1.7200,1.7060,1.7130,1245640
2022-12-01 03:15:00,1.7130,1.7160,1.7110,1.7120,568844
2022-12-01 03:30:00,1.7110,1.7180,1.7080,1.7150,986936
2022-12-01 03:45:00,1.7150,1.7200,1.7140,1.7160,620652
2022-12-01 04:00:00,1.7150,1.7160,1.6960,1.7050,1376928
2022-12-01 04:15:00,1.7050,1.7080,1.7010,1.7030,732931
2022-12-01 04:30:00,1.7030,1.7050,1.6990,1.7030,653310
2022-12-01 04:45:00,1.7020,1.7090,1.7020,1.7070,615248
2022-12-01 05:00:00,1.7060,1.7110,1.7040,1.7080,473619
2022-12-01 05:15:00,1.7090,1.7090,1.6980,1.7010,603839
2022-12-01 05:30:00,1.7010,1.7060,1.6930,1.6970,927910
2022-12-01 05:45:00,1.6980,1.6990,1.6870,1.6920,925178
2022-12-01 06:00:00,1.6930,1.6990,1.6890,1.6980,956208
2022-12-01 06:15:00,1.6990,1.7020,1.6930,1.6960,636324
2022-12-01 06:30:00,1.6960,1.7000,1.6950,1.7000,315360
2022-12-01 06:45:00,1.7000,1.7030,1.6980,1.7030,552842
2022-12-01 07:00:00,1.7020,1.7060,1.6980,1.7040,789560
2022-12-01 07:15:00,1.7040,1.7060,1.6990,1.7000,814172
2022-12-01 07:30:00,1.6990,1.7090,1.6990,1.7080,676751
2022-12-01 07:45:00,1.7090,1.7140,1.7060,1.7130,1136861
2022-12-01 08:00:00,1.7130,1.7180,1.7110,1.7140,823999
2022-12-01 08:15:00,1.7130,1.7190,1.7100,1.7160,708244
2022-12-01 08:30:00,1.7160,1.7280,1.7080,1.7140,3567633
2022-12-01 08:45:00,1.7150,1.7200,1.6860,1.7170,4292859
2022-12-01 09:00:00,1.7170,1.7190,1.7000,1.7100,1839626
2022-12-01 09:15:00,1.7100,1.7100,1.6980,1.6990,1350790
