Date,Open,High,Low,Close,Volume
2022-12-01 03:00:00,1.7150,1.7200,1.6870,1.7030,12191769
2022-12-01 07:00:00,1.7020,1.7400,1.6860,1.7160,31567944
2022-12-01 11:00:00,1.7160,1.7490,1.6980,1.7120,13591262
2022-12-01 15:00:00,1.7120,1.7430,1.6880,1.7420,9646921
2022-12-01 19:00:00,1.7410,1.7830,1.7240,1.7510,23392500
2022-12-01 23:00:00,1.7520,1.7990,1.7080,1.7480,23808966
2022-12-02 03:00:00,1.7490,1.7640,1.7350,1.7630,9575314
2022-12-02 07:00:00,1.7620,1.7670,1.7160,1.7460,17473255
2022-12-02 11:00:00,1.7460,1.7470,1.7120,1.7310,10611520
2022-12-02 15:00:00,1.7310,1.7560,1.7280,1.7540,6175786
2022-12-02 19:00:00,1.7530,1.7540,1.7170,1.7240,11262312
2022-12-02 23:00:00,1.7230,1.7320,1.6930,1.7040,9206326
2022-12-03 03:00:00,1.7030,1.7160,1.6860,1.7100,7395332
2022-12-03 07:00:00,1.7110,1.7270,1.7040,1.7170,6176511
2022-12-03 11:00:00,1.7170,1.7190,1.6930,1.7010,4555336
2022-12-03 15:00:00,1.7000,1.7010,1.6580,1.6670,9944289
2022-12-03 19:00:00,1.6670,1.6970,1.6660,1.6870,6338066
2022-12-03 23:00:00,1.6880,1.7050,1.6870,1.6990,4403355
2022-12-04 03:00:00,1.6990,1.7080,1.6750,1.6800,12239938
2022-12-04 07:00:00,1.6800,1.6970,1.6720,1.6910,7229106
2022-12-04 11:00:00,1.6920,1.7150,1.6760,1.7120,6545479
2022-12-04 15:00:00,1.7120,1.7400,1.7040,1.7220,6419367
2022-12-04 19:00:00,1.7220,1.7590,1.7170,1.7460,9475071
2022-12-04 23:00:00,1.7460,1.7780,1.7370,1.7650,11463477
2022-12-05 03:00:00,1.7660,1.7790,1.7520,1.7730,9451174
2022-12-05 07:00:00,1.7720,1.7730,1.7230,1.7380,12581408
2022-12-05 11:00:00,1.7370,1.7490,1.6800,1.6910,13503501
2022-12-05 15:00:00,1.6910,1.7180,1.6880,1.7160,4601441
2022-12-05 19:00:00,1.7160,1.7560,1.7160,1.7390,7232696
2022-12-05 23:00:00,1.7390,1.7530,1.7260,1.7320,7756548
2022-12-06 03:00:00,1.7320,1.7440,1.7140,1.7400,10241264
2022-12-06 07:00:00,1.7390,1.7660,1.7320,1.7590,13624245
2022-12-06 11:00:00,1.7590,1.7750,1.7450,1.7640,13755848
2022-12-06 15:00:00,1.7640,1.7900,1.7530,1.7870,9130407
2022-12-06 19:00:00,1.7880,1.8280,1.7770,1.7910,19624585
2022-12-06 23:00:00,1.7920,1.7970,1.7010,1.7300,20826896
2022-12-07 03:00:00,1.7290,1.7390,1.7100,1.7220,16935066
2022-12-07 07:00:00,1.7220,1.7330,1.6930,1.7000,14517651
2022-12-07 11:00:00,1.7000,1.7070,1.6820,1.6870,10156774
2022-12-07 15:00:00,1.6870,1.6960,1.6630,1.6910,10918545
2022-12-07 19:00:00,1.6900,1.7110,1.6550,1.6750,13336424
2022-12-07 23:00:00,1.6760,1.6930,1.6660,1.6860,7802255
2022-12-08 03:00:00,1.6860,1.6930,1.6350,1.6630,15354751
2022-12-08 07:00:00,1.6620,1.6760,1.6400,1.6690,16868313
2022-12-08 11:00:00,1.6700,1.7070,1.6630,1.7030,11895080
2022-12-08 15:00:00,1.7030,1.7140,1.6850,1.7050,8531801
2022-12-08 19:00:00,1.7040,1.7210,1.6930,1.7090,7679141
2022-12-08 23:00:00,1.7090,1.7190,1.7000,1.7130,3853968
2022-12-09 03:00:00,1.7130,1.7370,1.7030,1.7290,8903471
2022-12-09 07:00:00,1.7290,1.7340,1.6890,1.7070,16788543
2022-12-09 11:00:00,1.7070,1.7080,1.6800,1.6910,7455555
2022-12-09 15:00:00,1.6920,1.6980,1.6800,1.6960,4616222
2022-12-09 19:00:00,1.6960,1.7110,1.6870,1.7000,4622131
2022-12-09 23:00:00,1.7000,1.7030,1.6910,1.7010,3316336
2022-12-10 03:00:00,1.7020,1.7090,1.6840,1.7080,4313804
2022-12-10 07:00:00,1.7080,1.7260,1.7000,1.7250,6472892
2022-12-10 11:00:00,1.7250,1.7290,1.7090,1.7150,4609876
2022-12-10 15:00:00,1.7150,1.7190,1.6970,1.7040,4430510
2022-12-10 19:00:00,1.7040,1.7040,1.6910,1.7030,4707190
2022-12-10 23:00:00,1.7020,1.7120,1.6980,1.7100,2985321
