Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,6.930,6.930,6.910,6.915,8642.56
2022-12-01 00:05:00,6.918,6.931,6.917,6.928,2740.81
2022-12-01 00:10:00,6.929,6.935,6.927,6.933,2794.04
2022-12-01 00:15:00,6.933,6.937,6.932,6.936,2466.46
2022-12-01 00:20:00,6.935,6.938,6.932,6.937,2420.46
2022-12-01 00:25:00,6.936,6.937,6.928,6.931,3037.87
2022-12-01 00:30:00,6.930,6.937,6.903,6.903,10166.00
2022-12-01 00:35:00,6.904,6.910,6.887,6.892,6344.83
2022-12-01 00:40:00,6.892,6.905,6.891,6.893,3707.76
2022-12-01 00:45:00,6.894,6.899,6.873,6.894,13441.54
2022-12-01 00:50:00,6.893,6.897,6.882,6.892,9849.63
2022-12-01 00:55:00,6.890,6.900,6.890,6.898,6384.94
2022-12-01 01:00:00,6.897,6.908,6.894,6.899,18219.21
2022-12-01 01:05:00,6.898,6.919,6.895,6.903,11290.93
2022-12-01 01:10:00,6.905,6.920,6.904,6.906,10519.59
2022-12-01 01:15:00,6.906,6.918,6.904,6.910,6731.12
2022-12-01 01:20:00,6.911,6.920,6.890,6.898,26001.57
2022-12-01 01:25:00,6.898,6.900,6.892,6.893,6861.39
2022-12-01 01:30:00,6.894,6.898,6.883,6.889,10706.87
2022-12-01 01:35:00,6.890,6.893,6.882,6.887,5715.60
2022-12-01 01:40:00,6.889,6.900,6.884,6.898,5403.48
2022-12-01 01:45:00,6.899,6.906,6.895,6.898,5756.42
2022-12-01 01:50:00,6.899,6.910,6.899,6.904,7035.94
2022-12-01 01:55:00,6.904,6.907,6.897,6.900,2810.46
2022-12-01 02:00:00,6.903,6.909,6.897,6.897,8448.03
2022-12-01 02:05:00,6.897,6.898,6.890,6.893,4587.97
2022-12-01 02:10:00,6.893,6.896,6.891,6.893,2865.70
2022-12-01 02:15:00,6.893,6.897,6.885,6.897,3016.68
2022-12-01 02:20:00,6.896,6.900,6.881,6.884,4075.95
2022-12-01 02:25:00,6.885,6.893,6.883,6.885,4231.03
2022-12-01 02:30:00,6.888,6.896,6.881,6.882,7416.00
2022-12-01 02:35:00,6.883,6.890,6.881,6.887,4963.26
2022-12-01 02:40:00,6.887,6.888,6.880,6.883,3598.24
2022-12-01 02:45:00,6.884,6.885,6.880,6.883,2805.88
2022-12-01 02:50:00,6.882,6.884,6.867,6.875,11168.15
2022-12-01 02:55:00,6.875,6.875,6.861,6.872,15579.96
2022-12-01 03:00:00,6.872,6.874,6.860,6.868,15719.07
2022-12-01 03:05:00,6.869,6.881,6.861,6.861,9522.49
2022-12-01 03:10:00,6.861,6.876,6.857,6.872,5644.83
2022-12-01 03:15:00,6.872,6.874,6.863,6.870,6526.98
2022-12-01 03:20:00,6.870,6.879,6.870,6.872,2251.48
2022-12-01 03:25:00,6.873,6.876,6.871,6.871,2100.58
2022-12-01 03:30:00,6.872,6.880,6.871,6.878,6307.55
2022-12-01 03:35:00,6.877,6.879,6.870,6.875,4960.41
2022-12-01 03:40:00,6.876,6.883,6.873,6.877,3569.18
2022-12-01 03:45:00,6.879,6.897,6.878,6.895,5313.23
2022-12-01 03:50:00,6.895,6.896,6.881,6.887,3099.80
2022-12-01 03:55:00,6.887,6.890,6.880,6.880,2110.15
2022-12-01 04:00:00,6.880,6.886,6.876,6.884,4328.24
2022-12-01 04:05:00,6.884,6.884,6.868,6.871,4323.59
2022-12-01 04:10:00,6.872,6.882,6.871,6.874,3757.34
