Date,Open,High,Low,Close,Volume
2022-12-01 03:00:00,1.2290,1.2340,1.2180,1.2240,1632016.9
2022-12-01 07:00:00,1.2240,1.2370,1.2060,1.2240,3652355.8
2022-12-01 11:00:00,1.2230,1.2240,1.2080,1.2080,1318712.4
2022-12-01 15:00:00,1.2080,1.2140,1.1940,1.2060,1382969.2
2022-12-01 19:00:00,1.2050,1.2230,1.1820,1.2030,2885640.2
2022-12-01 23:00:00,1.2030,1.2200,1.1920,1.2150,1619091.6
2022-12-02 03:00:00,1.2150,1.2290,1.2150,1.2230,1106009.5
2022-12-02 07:00:00,1.2230,1.2240,1.1810,1.2080,2948230.9
2022-12-02 11:00:00,1.2080,1.2150,1.2010,1.2110,1031806.0
2022-12-02 15:00:00,1.2110,1.2190,1.2090,1.2190,976732.3
2022-12-02 19:00:00,1.2180,1.2240,1.2070,1.2110,1186521.1
2022-12-02 23:00:00,1.2100,1.2140,1.1920,1.1960,1281471.1
2022-12-03 03:00:00,1.1960,1.2080,1.1920,1.2070,873616.6
2022-12-03 07:00:00,1.2070,1.2140,1.2060,1.2130,830004.2
2022-12-03 11:00:00,1.2130,1.2160,1.1990,1.1990,771369.3
2022-12-03 15:00:00,1.1990,1.2010,1.1760,1.1790,1337877.6
2022-12-03 19:00:00,1.1790,1.1950,1.1770,1.1920,834107.2
2022-12-03 23:00:00,1.1910,1.2020,1.1880,1.1900,832884.2
2022-12-04 03:00:00,1.1910,1.1980,1.1790,1.1810,977658.7
2022-12-04 07:00:00,1.1820,1.1910,1.1790,1.1910,763381.5
2022-12-04 11:00:00,1.1910,1.1980,1.1850,1.1960,1068045.8
2022-12-04 15:00:00,1.1970,1.2120,1.1960,1.2030,1007666.5
2022-12-04 19:00:00,1.2040,1.2240,1.2010,1.2220,1606688.9
2022-12-04 23:00:00,1.2210,1.2320,1.2180,1.2260,1727234.3
2022-12-05 03:00:00,1.2260,1.2370,1.2140,1.2210,1409193.3
2022-12-05 07:00:00,1.2210,1.2220,1.1940,1.2040,1464466.3
2022-12-05 11:00:00,1.2040,1.2210,1.1890,1.2000,1921467.8
2022-12-05 15:00:00,1.2010,1.2140,1.1960,1.2110,819459.2
2022-12-05 19:00:00,1.2110,1.2190,1.2100,1.2110,905575.7
2022-12-05 23:00:00,1.2120,1.2160,1.2030,1.2140,1211556.4
2022-12-06 03:00:00,1.2150,1.2160,1.1940,1.2000,1816391.6
2022-12-06 07:00:00,1.2010,1.2140,1.2000,1.2120,1558128.4
2022-12-06 11:00:00,1.2130,1.2180,1.2060,1.2110,1033859.6
2022-12-06 15:00:00,1.2110,1.2140,1.2050,1.2100,691405.8
2022-12-06 19:00:00,1.2090,1.2190,1.2010,1.2030,942059.3
2022-12-06 23:00:00,1.2020,1.2070,1.1400,1.1520,2335139.0
2022-12-07 03:00:00,1.1520,1.1590,1.1470,1.1540,1478357.5
2022-12-07 07:00:00,1.1530,1.1660,1.1520,1.1560,1276997.2
2022-12-07 11:00:00,1.1570,1.1570,1.1440,1.1460,968131.0
2022-12-07 15:00:00,1.1460,1.1500,1.1360,1.1480,995379.7
2022-12-07 19:00:00,1.1490,1.1620,1.1410,1.1580,1011191.3
2022-12-07 23:00:00,1.1580,1.1650,1.1490,1.1590,960586.2
2022-12-08 03:00:00,1.1590,1.1630,1.1290,1.1460,1433029.2
2022-12-08 07:00:00,1.1470,1.1560,1.1390,1.1500,1451226.3
2022-12-08 11:00:00,1.1510,1.1760,1.1480,1.1750,1153928.5
2022-12-08 15:00:00,1.1750,1.1820,1.1710,1.1800,853087.6
2022-12-08 19:00:00,1.1810,1.1850,1.1670,1.1760,1108844.0
2022-12-08 23:00:00,1.1770,1.1790,1.1740,1.1770,609056.3
2022-12-09 03:00:00,1.1780,1.1820,1.1730,1.1780,681661.8
2022-12-09 07:00:00,1.1780,1.1830,1.1590,1.1680,1788409.0
2022-12-09 11:00:00,1.1670,1.1690,1.1600,1.1670,779737.3
2022-12-09 15:00:00,1.1680,1.1730,1.1620,1.1730,518431.7
2022-12-09 19:00:00,1.1730,1.1790,1.1720,1.1780,516043.3
2022-12-09 23:00:00,1.1790,1.1850,1.1770,1.1820,687005.6
2022-12-10 03:00:00,1.1820,1.2010,1.1740,1.2010,2063249.3
2022-12-10 07:00:00,1.2000,1.2010,1.1890,1.1950,1178964.7
2022-12-10 11:00:00,1.1960,1.1970,1.1840,1.1890,685740.7
2022-12-10 15:00:00,1.1900,1.1910,1.1790,1.1810,710861.3
2022-12-10 19:00:00,1.1810,1.2180,1.1800,1.1940,2835807.6
2022-12-10 23:00:00,1.1950,1.2000,1.1890,1.1960,1171924.4
2022-12-11 03:00:00,1.1960,1.2010,1.1850,1.1990,809124.9
2022-12-11 07:00:00,1.2000,1.2070,1.1980,1.2050,1115370.3
2022-12-11 11:00:00,1.2060,1.2220,1.2020,1.2110,1552656.2
2022-12-11 15:00:00,1.2110,1.2110,1.1720,1.1850,2163294.3
2022-12-11 19:00:00,1.1840,1.1850,1.1140,1.1320,2643767.4
2022-12-11 23:00:00,1.1320,1.1370,1.1280,1.1290,970571.9
2022-12-12 03:00:00,1.1290,1.1390,1.1200,1.1350,925946.6
2022-12-12 07:00:00,1.1350,1.1370,1.1260,1.1300,1126502.6
2022-12-12 11:00:00,1.1310,1.1460,1.1300,1.1450,591113.0
2022-12-12 15:00:00,1.1450,1.1620,1.1440,1.1570,825753.7
2022-12-12 19:00:00,1.1580,1.1650,1.1380,1.1410,1711632.3
2022-12-12 23:00:00,1.1400,1.1400,1.1000,1.1130,1918797.0
2022-12-13 03:00:00,1.1130,1.1350,1.1080,1.1350,1483463.3
2022-12-13 07:00:00,1.1360,1.1720,1.1280,1.1560,2527797.4
2022-12-13 11:00:00,1.1570,1.1680,1.1510,1.1650,958347.6
2022-12-13 15:00:00,1.1650,1.1780,1.1620,1.1770,916444.7
2022-12-13 19:00:00,1.1770,1.1880,1.1740,1.1850,918826.4
2022-12-13 23:00:00,1.1860,1.1900,1.1790,1.1830,1002617.4
2022-12-14 03:00:00,1.1830,1.1840,1.1740,1.1790,656002.1
2022-12-14 07:00:00,1.1800,1.1920,1.1730,1.1890,852134.5
2022-12-14 11:00:00,1.1900,1.1980,1.1560,1.1750,1926263.7
2022-12-14 15:00:00,1.1740,1.1820,1.1640,1.1750,799645.8
2022-12-14 19:00:00,1.1760,1.1830,1.1470,1.1720,1187113.7
