Date,Open,High,Low,Close,Volume
2022-12-01 03:00:00,2.209,2.224,2.205,2.224,349406.0
2022-12-01 07:00:00,2.224,2.235,2.186,2.209,801584.8
2022-12-01 11:00:00,2.209,2.216,2.194,2.207,409939.0
2022-12-01 15:00:00,2.207,2.223,2.191,2.212,652931.0
2022-12-01 19:00:00,2.212,2.230,2.175,2.196,747362.1
2022-12-01 23:00:00,2.197,2.216,2.181,2.211,325805.7
2022-12-02 03:00:00,2.211,2.248,2.209,2.237,567875.4
2022-12-02 07:00:00,2.236,2.244,2.167,2.222,1038269.0
2022-12-02 11:00:00,2.221,2.243,2.216,2.238,735400.1
2022-12-02 15:00:00,2.237,2.244,2.226,2.240,449124.9
2022-12-02 19:00:00,2.242,2.255,2.234,2.243,537483.5
2022-12-02 23:00:00,2.243,2.243,2.214,2.216,467361.7
2022-12-03 03:00:00,2.216,2.236,2.211,2.234,359166.5
2022-12-03 07:00:00,2.234,2.242,2.228,2.234,307856.7
2022-12-03 11:00:00,2.235,2.236,2.218,2.222,231564.6
2022-12-03 15:00:00,2.223,2.223,2.179,2.187,456806.4
2022-12-03 19:00:00,2.189,2.210,2.186,2.207,347015.8
2022-12-03 23:00:00,2.208,2.223,2.203,2.204,227690.8
2022-12-04 03:00:00,2.204,2.211,2.175,2.181,710151.8
2022-12-04 07:00:00,2.181,2.206,2.172,2.183,1349151.5
2022-12-04 11:00:00,2.182,2.200,2.175,2.186,906867.4
2022-12-04 15:00:00,2.185,2.210,2.182,2.194,726992.4
2022-12-04 19:00:00,2.194,2.222,2.189,2.213,650257.7
2022-12-04 23:00:00,2.212,2.238,2.210,2.225,834145.2
2022-12-05 03:00:00,2.225,2.239,2.220,2.228,571718.2
2022-12-05 07:00:00,2.229,2.235,2.188,2.203,1120059.7
2022-12-05 11:00:00,2.204,2.210,2.151,2.167,1457792.1
2022-12-05 15:00:00,2.168,2.184,2.162,2.179,579185.9
2022-12-05 19:00:00,2.180,2.201,2.179,2.185,466497.2
2022-12-05 23:00:00,2.185,2.188,2.171,2.186,406287.0
2022-12-06 03:00:00,2.185,2.193,2.174,2.187,562475.2
2022-12-06 07:00:00,2.187,2.207,2.176,2.202,567247.5
2022-12-06 11:00:00,2.203,2.207,2.184,2.198,472346.5
2022-12-06 15:00:00,2.197,2.222,2.195,2.217,575021.7
2022-12-06 19:00:00,2.216,2.230,2.205,2.210,504794.5
2022-12-06 23:00:00,2.210,2.214,2.115,2.119,1103397.9
2022-12-07 03:00:00,2.120,2.146,2.109,2.118,1288706.1
2022-12-07 07:00:00,2.119,2.149,2.117,2.137,1088425.4
2022-12-07 11:00:00,2.138,2.142,2.115,2.121,428034.2
2022-12-07 15:00:00,2.122,2.127,2.104,2.122,423996.9
2022-12-07 19:00:00,2.124,2.135,2.111,2.130,441287.2
2022-12-07 23:00:00,2.130,2.134,2.113,2.127,339493.2
2022-12-08 03:00:00,2.128,2.174,2.096,2.122,2244551.4
2022-12-08 07:00:00,2.123,2.137,2.109,2.130,871374.4
2022-12-08 11:00:00,2.130,2.167,2.124,2.162,738539.3
2022-12-08 15:00:00,2.161,2.170,2.151,2.164,618792.6
2022-12-08 19:00:00,2.163,2.177,2.149,2.171,607374.0
2022-12-08 23:00:00,2.171,2.188,2.165,2.177,398108.7
2022-12-09 03:00:00,2.177,2.207,2.160,2.189,1238663.1
2022-12-09 07:00:00,2.188,2.190,2.147,2.164,1024730.4
2022-12-09 11:00:00,2.164,2.175,2.158,2.171,596747.7
2022-12-09 15:00:00,2.171,2.195,2.156,2.175,1596833.0
2022-12-09 19:00:00,2.176,2.202,2.174,2.193,529240.1
2022-12-09 23:00:00,2.195,2.203,2.186,2.197,536846.0
2022-12-10 03:00:00,2.198,2.320,2.188,2.286,11041424.2
2022-12-10 07:00:00,2.286,2.290,2.238,2.271,5432067.5
2022-12-10 11:00:00,2.271,2.273,2.230,2.235,2340352.1
2022-12-10 15:00:00,2.235,2.236,2.203,2.212,1686220.0
2022-12-10 19:00:00,2.212,2.309,2.211,2.269,7319628.5
2022-12-10 23:00:00,2.269,2.300,2.262,2.285,2697809.0
2022-12-11 03:00:00,2.285,2.307,2.269,2.300,2426287.6
2022-12-11 07:00:00,2.300,2.318,2.272,2.282,4228678.5
2022-12-11 11:00:00,2.283,2.304,2.275,2.281,1700082.8
2022-12-11 15:00:00,2.282,2.284,2.233,2.247,2319969.2
2022-12-11 19:00:00,2.247,2.283,2.136,2.173,3691727.2
2022-12-11 23:00:00,2.174,2.180,2.142,2.147,1091301.4
2022-12-12 03:00:00,2.147,2.175,2.128,2.166,1078051.5
2022-12-12 07:00:00,2.165,2.197,2.158,2.188,1273938.1
2022-12-12 11:00:00,2.188,2.213,2.180,2.202,1239224.1
2022-12-12 15:00:00,2.202,2.227,2.196,2.226,801906.3
2022-12-12 19:00:00,2.226,2.246,2.197,2.229,1162116.5
2022-12-12 23:00:00,2.228,2.246,2.163,2.193,1775236.1
2022-12-13 03:00:00,2.193,2.233,2.182,2.230,1111665.3
2022-12-13 07:00:00,2.230,2.303,2.224,2.271,1956950.3
2022-12-13 11:00:00,2.272,2.290,2.255,2.276,1069751.9
2022-12-13 15:00:00,2.276,2.314,2.268,2.314,576570.0
2022-12-13 19:00:00,2.313,2.390,2.310,2.364,3340787.8
2022-12-13 23:00:00,2.364,2.387,2.354,2.356,1490928.5
2022-12-14 03:00:00,2.356,2.369,2.337,2.337,1070485.4
2022-12-14 07:00:00,2.338,2.378,2.337,2.366,1171967.7
2022-12-14 11:00:00,2.367,2.381,2.305,2.349,1632961.8
2022-12-14 15:00:00,2.348,2.369,2.329,2.356,775031.6
2022-12-14 19:00:00,2.356,2.379,2.312,2.360,1649052.1
2022-12-14 23:00:00,2.360,2.423,2.348,2.380,2239015.9
2022-12-15 03:00:00,2.379,2.410,2.370,2.389,2010669.2
2022-12-15 07:00:00,2.389,2.402,2.359,2.398,1624005.0
2022-12-15 11:00:00,2.398,2.406,2.354,2.375,1338905.7
2022-12-15 15:00:00,2.375,2.383,2.339,2.364,1116355.9
2022-12-15 19:00:00,2.364,2.366,2.321,2.325,945226.4
2022-12-15 23:00:00,2.325,2.383,2.318,2.364,1082970.1
2022-12-16 03:00:00,2.365,2.368,2.263,2.284,2648795.1
2022-12-16 07:00:00,2.285,2.340,2.280,2.316,1914681.6
2022-12-16 11:00:00,2.316,2.339,2.303,2.333,1667069.5
2022-12-16 15:00:00,2.332,2.350,2.104,2.115,2952886.6
2022-12-16 19:00:00,2.114,2.147,2.033,2.064,2210956.9
2022-12-16 23:00:00,2.065,2.100,2.054,2.088,935921.7
2022-12-17 03:00:00,2.089,2.119,2.081,2.092,2041835.4
2022-12-17 07:00:00,2.091,2.099,2.002,2.031,3615804.1
2022-12-17 11:00:00,2.032,2.032,2.005,2.021,1200322.8
2022-12-17 15:00:00,2.020,2.064,2.019,2.059,1108842.4
2022-12-17 19:00:00,2.059,2.069,2.026,2.040,726404.3
2022-12-17 23:00:00,2.040,2.053,2.021,2.030,794156.0
2022-12-18 03:00:00,2.030,2.040,2.005,2.025,619432.4
2022-12-18 07:00:00,2.026,2.044,2.014,2.017,485159.7
2022-12-18 11:00:00,2.016,2.050,2.016,2.045,746233.9
2022-12-18 15:00:00,2.044,2.060,2.021,2.025,865096.0
2022-12-18 19:00:00,2.025,2.057,1.984,1.997,1142815.3
2022-12-18 23:00:00,1.997,2.015,1.991,2.004,670876.0
2022-12-19 03:00:00,2.004,2.041,2.003,2.036,652032.6
2022-12-19 07:00:00,2.034,2.045,2.013,2.015,849570.9
2022-12-19 11:00:00,2.015,2.020,1.930,1.959,1656937.3
2022-12-19 15:00:00,1.959,1.967,1.870,1.907,1290714.0
2022-12-19 19:00:00,1.908,1.962,1.898,1.945,839175.5
2022-12-19 23:00:00,1.946,1.979,1.942,1.977,714371.0
2022-12-20 03:00:00,1.977,1.997,1.970,1.987,692410.7
2022-12-20 07:00:00,1.987,2.012,1.965,1.992,911678.9
2022-12-20 11:00:00,1.993,2.016,1.979,2.010,612714.0
2022-12-20 15:00:00,2.010,2.026,2.002,2.014,568503.7
2022-12-20 19:00:00,2.014,2.020,1.981,1.986,637451.6
2022-12-20 23:00:00,1.985,1.989,1.960,1.983,532929.3
2022-12-21 03:00:00,1.984,2.005,1.971,1.996,742145.4
2022-12-21 07:00:00,1.997,2.002,1.976,1.996,603719.6
2022-12-21 11:00:00,1.996,1.998,1.960,1.968,541037.3
2022-12-21 15:00:00,1.967,1.982,1.955,1.981,611841.9
2022-12-21 19:00:00,1.980,1.992,1.971,1.988,423716.9
2022-12-21 23:00:00,1.989,1.993,1.970,1.978,304753.3
2022-12-22 03:00:00,1.978,2.003,1.977,1.992,533335.7
2022-12-22 07:00:00,1.993,1.999,1.937,1.949,898847.5
2022-12-22 11:00:00,1.949,1.964,1.933,1.952,736036.2
2022-12-22 15:00:00,1.953,1.994,1.949,1.993,723018.6
2022-12-22 19:00:00,1.993,2.007,1.980,2.002,474886.1
2022-12-22 23:00:00,2.002,2.004,1.991,1.994,382697.4
2022-12-23 03:00:00,1.993,2.012,1.988,2.009,408442.4
2022-12-23 07:00:00,2.009,2.017,1.990,2.006,696495.8
2022-12-23 11:00:00,2.006,2.010,1.999,2.006,232852.3
2022-12-23 15:00:00,2.006,2.007,1.987,1.999,282704.6
2022-12-23 19:00:00,1.999,2.011,1.995,2.009,243745.0
2022-12-23 23:00:00,2.010,2.014,1.989,1.993,265378.9
2022-12-24 03:00:00,1.993,1.993,1.980,1.991,248653.4
2022-12-24 07:00:00,1.991,1.999,1.989,1.997,206556.3
2022-12-24 11:00:00,1.997,2.003,1.993,2.001,167917.9
