Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,1.2820,1.2840,1.2810,1.2840,67948
2022-12-01 00:15:00,1.2840,1.2840,1.2800,1.2820,92602
2022-12-01 00:30:00,1.2820,1.2820,1.2720,1.2750,257524
2022-12-01 00:45:00,1.2740,1.2790,1.2710,1.2780,119068
2022-12-01 01:00:00,1.2790,1.2800,1.2770,1.2780,106559
2022-12-01 01:15:00,1.2790,1.2800,1.2770,1.2780,73095
2022-12-01 01:30:00,1.2780,1.2800,1.2750,1.2800,78476
2022-12-01 01:45:00,1.2790,1.2810,1.2790,1.2810,106313
2022-12-01 02:00:00,1.2800,1.2820,1.2790,1.2800,138998
2022-12-01 02:15:00,1.2800,1.2830,1.2790,1.2810,102846
2022-12-01 02:30:00,1.2800,1.2820,1.2790,1.2820,161601
2022-12-01 02:45:00,1.2810,1.2820,1.2740,1.2750,118738
2022-12-01 03:00:00,1.2750,1.2790,1.2720,1.2750,183955
2022-12-01 03:15:00,1.2740,1.2760,1.2740,1.2740,114501
2022-12-01 03:30:00,1.2740,1.2760,1.2740,1.2750,51663
2022-12-01 03:45:00,1.2760,1.2790,1.2750,1.2760,104981
2022-12-01 04:00:00,1.2770,1.2770,1.2740,1.2740,117379
2022-12-01 04:15:00,1.2750,1.2760,1.2730,1.2740,118556
2022-12-01 04:30:00,1.2750,1.2760,1.2720,1.2740,182691
2022-12-01 04:45:00,1.2740,1.2790,1.2740,1.2780,148376
2022-12-01 05:00:00,1.2770,1.2780,1.2740,1.2750,189444
2022-12-01 05:15:00,1.2760,1.2770,1.2740,1.2750,79642
2022-12-01 05:30:00,1.2750,1.2800,1.2750,1.2780,132699
2022-12-01 05:45:00,1.2780,1.2800,1.2760,1.2780,76491
2022-12-01 06:00:00,1.2770,1.2790,1.2740,1.2770,128590
2022-12-01 06:15:00,1.2760,1.2780,1.2740,1.2760,53355
2022-12-01 06:30:00,1.2770,1.2780,1.2750,1.2780,78383
2022-12-01 06:45:00,1.2770,1.2810,1.2770,1.2810,88003
2022-12-01 07:00:00,1.2810,1.2860,1.2800,1.2850,167293
2022-12-01 07:15:00,1.2840,1.2870,1.2800,1.2820,156905
2022-12-01 07:30:00,1.2810,1.2860,1.2810,1.2860,94741
2022-12-01 07:45:00,1.2860,1.2880,1.2830,1.2870,187262
2022-12-01 08:00:00,1.2880,1.2910,1.2870,1.2880,331366
2022-12-01 08:15:00,1.2880,1.2890,1.2860,1.2860,120379
2022-12-01 08:30:00,1.2870,1.2950,1.2820,1.2850,807652
2022-12-01 08:45:00,1.2850,1.2850,1.2680,1.2780,977939
2022-12-01 09:00:00,1.2780,1.2820,1.2720,1.2790,308436
2022-12-01 09:15:00,1.2780,1.2780,1.2690,1.2710,339028
2022-12-01 09:30:00,1.2720,1.2770,1.2690,1.2730,344846
2022-12-01 09:45:00,1.2720,1.2810,1.2720,1.2770,277682
2022-12-01 10:00:00,1.2780,1.2810,1.2590,1.2600,628683
2022-12-01 10:15:00,1.2600,1.2790,1.2560,1.2760,1396760
2022-12-01 10:30:00,1.2760,1.2790,1.2710,1.2740,385553
2022-12-01 10:45:00,1.2750,1.2880,1.2730,1.2870,393520
