Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,1.3870,1.3990,1.3870,1.3910,418867
2022-12-01 00:05:00,1.3910,1.3920,1.3900,1.3900,99968
2022-12-01 00:10:00,1.3910,1.3950,1.3880,1.3930,143878
2022-12-01 00:15:00,1.3920,1.3980,1.3920,1.3940,132833
2022-12-01 00:20:00,1.3940,1.3980,1.3920,1.3960,146121
2022-12-01 00:25:00,1.3950,1.3960,1.3910,1.3930,155487
2022-12-01 00:30:00,1.3920,1.3930,1.3850,1.3860,321139
2022-12-01 00:35:00,1.3870,1.3870,1.3780,1.3800,303490
2022-12-01 00:40:00,1.3790,1.3840,1.3760,1.3820,470153
2022-12-01 00:45:00,1.3830,1.3850,1.3770,1.3850,209711
2022-12-01 00:50:00,1.3850,1.3880,1.3810,1.3870,188995
2022-12-01 00:55:00,1.3870,1.3900,1.3850,1.3900,159369
2022-12-01 01:00:00,1.3900,1.3900,1.3860,1.3860,143488
2022-12-01 01:05:00,1.3860,1.3900,1.3850,1.3860,156632
2022-12-01 01:10:00,1.3870,1.3870,1.3850,1.3850,58307
2022-12-01 01:15:00,1.3850,1.3870,1.3830,1.3860,115659
2022-12-01 01:20:00,1.3860,1.3880,1.3850,1.3880,75613
2022-12-01 01:25:00,1.3880,1.3890,1.3860,1.3870,73951
2022-12-01 01:30:00,1.3870,1.3890,1.3870,1.3880,94486
2022-12-01 01:35:00,1.3870,1.3890,1.3860,1.3870,102819
2022-12-01 01:40:00,1.3870,1.3890,1.3860,1.3890,51923
2022-12-01 01:45:00,1.3890,1.3940,1.3870,1.3940,204930
2022-12-01 01:50:00,1.3940,1.3960,1.3910,1.3950,146709
2022-12-01 01:55:00,1.3950,1.3950,1.3890,1.3890,88876
2022-12-01 02:00:00,1.3900,1.3910,1.3840,1.3860,162957
2022-12-01 02:05:00,1.3870,1.3890,1.3840,1.3870,140121
2022-12-01 02:10:00,1.3860,1.3880,1.3860,1.3880,68970
2022-12-01 02:15:00,1.3890,1.3940,1.3880,1.3920,157216
2022-12-01 02:20:00,1.3910,1.3920,1.3890,1.3900,75458
2022-12-01 02:25:00,1.3890,1.3940,1.3890,1.3930,91863
2022-12-01 02:30:00,1.3920,1.3930,1.3850,1.3860,156017
2022-12-01 02:35:00,1.3860,1.3900,1.3850,1.3890,119958
2022-12-01 02:40:00,1.3880,1.3900,1.3870,1.3900,89084
2022-12-01 02:45:00,1.3890,1.3920,1.3870,1.3890,181457
2022-12-01 02:50:00,1.3880,1.3900,1.3850,1.3870,76801
2022-12-01 02:55:00,1.3870,1.3890,1.3860,1.3870,141481
2022-12-01 03:00:00,1.3880,1.3890,1.3840,1.3840,187670
2022-12-01 03:05:00,1.3850,1.3860,1.3630,1.3740,2352729
2022-12-01 03:10:00,1.3730,1.3780,1.3730,1.3750,248285
2022-12-01 03:15:00,1.3750,1.3820,1.3740,1.3820,188484
2022-12-01 03:20:00,1.3820,1.3830,1.3810,1.3820,99266
2022-12-01 03:25:00,1.3810,1.3830,1.3800,1.3820,106543
2022-12-01 03:30:00,1.3820,1.3820,1.3770,1.3780,189855
2022-12-01 03:35:00,1.3780,1.3820,1.3770,1.3810,144746
2022-12-01 03:40:00,1.3810,1.3830,1.3800,1.3830,87972
2022-12-01 03:45:00,1.3830,1.3860,1.3810,1.3860,148231
2022-12-01 03:50:00,1.3850,1.3860,1.3830,1.3850,129050
2022-12-01 03:55:00,1.3850,1.3850,1.3830,1.3830,93177
2022-12-01 04:00:00,1.3840,1.3840,1.3780,1.3810,203292
2022-12-01 04:05:00,1.3800,1.3820,1.3780,1.3780,84338
2022-12-01 04:10:00,1.3790,1.3800,1.3730,1.3760,246956
2022-12-01 04:15:00,1.3760,1.3780,1.3750,1.3780,42565
2022-12-01 04:20:00,1.3770,1.3780,1.3750,1.3750,99974
2022-12-01 04:25:00,1.3750,1.3760,1.3730,1.3750,102099
2022-12-01 04:30:00,1.3750,1.3760,1.3700,1.3750,226437
2022-12-01 04:35:00,1.3740,1.3760,1.3720,1.3730,86082
2022-12-01 04:40:00,1.3730,1.3790,1.3720,1.3770,135956
2022-12-01 04:45:00,1.3760,1.3810,1.3760,1.3790,214610
2022-12-01 04:50:00,1.3800,1.3820,1.3770,1.3780,97309
2022-12-01 04:55:00,1.3780,1.3830,1.3770,1.3780,156693
2022-12-01 05:00:00,1.3780,1.3800,1.3750,1.3760,211530
2022-12-01 05:05:00,1.3750,1.3770,1.3750,1.3760,47995
2022-12-01 05:10:00,1.3760,1.3770,1.3740,1.3770,93773
2022-12-01 05:15:00,1.3770,1.3770,1.3720,1.3760,253632
2022-12-01 05:20:00,1.3760,1.3800,1.3740,1.3770,220413
2022-12-01 05:25:00,1.3770,1.3770,1.3750,1.3760,57693
2022-12-01 05:30:00,1.3760,1.3810,1.3760,1.3780,146618
2022-12-01 05:35:00,1.3780,1.3790,1.3750,1.3780,104131
2022-12-01 05:40:00,1.3770,1.3800,1.3760,1.3800,69161
2022-12-01 05:45:00,1.3800,1.3810,1.3790,1.3800,63539
2022-12-01 05:50:00,1.3790,1.3800,1.3770,1.3780,111558
2022-12-01 05:55:00,1.3780,1.3800,1.3760,1.3780,92600
2022-12-01 06:00:00,1.3770,1.3780,1.3720,1.3730,199500
2022-12-01 06:05:00,1.3730,1.3770,1.3720,1.3740,78163
2022-12-01 06:10:00,1.3740,1.3750,1.3720,1.3750,112173
2022-12-01 06:15:00,1.3750,1.3750,1.3720,1.3740,78516
2022-12-01 06:20:00,1.3740,1.3750,1.3720,1.3730,58752
2022-12-01 06:25:00,1.3740,1.3820,1.3720,1.3810,300694
2022-12-01 06:30:00,1.3810,1.3840,1.3780,1.3830,227583
2022-12-01 06:35:00,1.3830,1.3830,1.3810,1.3820,35052
2022-12-01 06:40:00,1.3820,1.3840,1.3820,1.3840,97419
2022-12-01 06:45:00,1.3840,1.3900,1.3810,1.3900,317491
2022-12-01 06:50:00,1.3900,1.3900,1.3790,1.3810,391535
2022-12-01 06:55:00,1.3820,1.3930,1.3810,1.3920,536622
2022-12-01 07:00:00,1.3910,1.3960,1.3900,1.3930,331940
2022-12-01 07:05:00,1.3930,1.3990,1.3930,1.3950,271575
2022-12-01 07:10:00,1.3950,1.4040,1.3950,1.4020,362591
2022-12-01 07:15:00,1.4020,1.4040,1.3980,1.4000,371616
2022-12-01 07:20:00,1.3990,1.3990,1.3930,1.3940,163332
2022-12-01 07:25:00,1.3940,1.3950,1.3900,1.3950,182603
2022-12-01 07:30:00,1.3950,1.3960,1.3900,1.3910,230858
2022-12-01 07:35:00,1.3910,1.3920,1.3900,1.3900,100932
2022-12-01 07:40:00,1.3910,1.3940,1.3900,1.3940,133197
2022-12-01 07:45:00,1.3940,1.3950,1.3910,1.3950,192380
2022-12-01 07:50:00,1.3940,1.3960,1.3930,1.3930,96032
2022-12-01 07:55:00,1.3930,1.4000,1.3930,1.4000,160838
2022-12-01 08:00:00,1.3990,1.4020,1.3960,1.3980,357687
2022-12-01 08:05:00,1.3970,1.4030,1.3960,1.4010,159839
2022-12-01 08:10:00,1.4010,1.4020,1.3980,1.4010,113117
2022-12-01 08:15:00,1.4000,1.4010,1.3930,1.3930,177637
