Date,Open,High,Low,Close,Volume
2022-12-01 03:00:00,4.652,4.661,4.602,4.639,567658.1
2022-12-01 07:00:00,4.639,4.744,4.541,4.629,1850332.6
2022-12-01 11:00:00,4.631,4.677,4.600,4.654,640972.1
2022-12-01 15:00:00,4.654,4.681,4.582,4.647,543563.3
2022-12-01 19:00:00,4.646,4.712,4.529,4.563,857111.6
2022-12-01 23:00:00,4.562,4.608,4.500,4.590,519390.3
2022-12-02 03:00:00,4.588,4.675,4.579,4.651,508338.5
2022-12-02 07:00:00,4.652,4.677,4.501,4.620,962404.9
2022-12-02 11:00:00,4.621,4.639,4.575,4.631,499221.1
2022-12-02 15:00:00,4.632,4.673,4.625,4.653,437976.6
2022-12-02 19:00:00,4.654,4.688,4.603,4.663,602753.9
2022-12-02 23:00:00,4.662,4.675,4.559,4.585,554047.3
2022-12-03 03:00:00,4.586,4.599,4.542,4.586,504585.2
2022-12-03 07:00:00,4.586,4.607,4.560,4.605,407439.4
2022-12-03 11:00:00,4.605,4.622,4.547,4.609,585478.5
2022-12-03 15:00:00,4.610,4.624,4.448,4.518,802423.5
2022-12-03 19:00:00,4.518,4.578,4.497,4.557,509152.4
2022-12-03 23:00:00,4.558,4.628,4.556,4.601,460896.1
2022-12-04 03:00:00,4.602,4.656,4.535,4.550,710013.5
2022-12-04 07:00:00,4.552,4.650,4.551,4.589,731200.4
2022-12-04 11:00:00,4.590,4.624,4.570,4.599,676148.0
2022-12-04 15:00:00,4.597,4.660,4.580,4.605,521823.4
2022-12-04 19:00:00,4.606,4.685,4.590,4.650,676749.9
2022-12-04 23:00:00,4.651,4.680,4.601,4.642,573728.6
2022-12-05 03:00:00,4.641,4.679,4.620,4.660,647287.3
2022-12-05 07:00:00,4.659,4.661,4.541,4.633,758437.9
2022-12-05 11:00:00,4.634,4.772,4.606,4.734,2128679.0
2022-12-05 15:00:00,4.732,4.908,4.681,4.790,3181703.3
2022-12-05 19:00:00,4.790,4.915,4.747,4.754,1658798.9
2022-12-05 23:00:00,4.753,4.866,4.717,4.852,1612019.0
2022-12-06 03:00:00,4.852,4.898,4.754,4.887,2237100.9
2022-12-06 07:00:00,4.887,5.070,4.723,4.769,4786299.3
2022-12-06 11:00:00,4.769,4.868,4.699,4.762,1492910.8
2022-12-06 15:00:00,4.762,4.829,4.741,4.815,720697.8
2022-12-06 19:00:00,4.814,4.820,4.730,4.782,710756.8
2022-12-06 23:00:00,4.782,4.821,4.419,4.521,1699799.6
2022-12-07 03:00:00,4.519,5.026,4.490,4.837,3411035.7
2022-12-07 07:00:00,4.837,5.098,4.825,4.956,8480118.7
2022-12-07 11:00:00,4.955,4.968,4.822,4.885,3046970.9
2022-12-07 15:00:00,4.885,4.975,4.856,4.903,1848147.0
2022-12-07 19:00:00,4.902,5.042,4.801,5.019,5279646.9
2022-12-07 23:00:00,5.018,5.018,4.845,4.920,4381220.2
2022-12-08 03:00:00,4.920,4.928,4.701,4.782,3609817.8
2022-12-08 07:00:00,4.782,4.825,4.725,4.755,1656466.7
2022-12-08 11:00:00,4.754,4.884,4.745,4.875,1710647.7
2022-12-08 15:00:00,4.876,4.923,4.856,4.907,1053795.5
2022-12-08 19:00:00,4.907,5.039,4.832,5.003,1830495.5
2022-12-08 23:00:00,5.003,5.048,4.908,4.990,1580956.5
2022-12-09 03:00:00,4.988,5.000,4.900,4.920,1006767.4
2022-12-09 07:00:00,4.921,4.968,4.699,4.834,1901213.2
2022-12-09 11:00:00,4.835,4.913,4.825,4.860,839761.0
2022-12-09 15:00:00,4.860,4.897,4.795,4.809,806631.7
2022-12-09 19:00:00,4.810,4.943,4.809,4.933,815907.5
2022-12-09 23:00:00,4.934,4.960,4.866,4.874,1020933.1
2022-12-10 03:00:00,4.874,4.929,4.846,4.878,735590.9
2022-12-10 07:00:00,4.877,4.945,4.850,4.899,925851.8
2022-12-10 11:00:00,4.900,4.925,4.862,4.880,792284.0
2022-12-10 15:00:00,4.880,4.909,4.849,4.895,524736.7
2022-12-10 19:00:00,4.895,4.948,4.893,4.918,679018.8
2022-12-10 23:00:00,4.916,4.957,4.885,4.933,785884.1
2022-12-11 03:00:00,4.931,4.945,4.882,4.915,685089.0
2022-12-11 07:00:00,4.915,4.960,4.890,4.923,851196.9
2022-12-11 11:00:00,4.924,4.959,4.900,4.926,711342.6
2022-12-11 15:00:00,4.926,4.928,4.766,4.803,1257827.2
2022-12-11 19:00:00,4.803,5.000,4.610,4.658,3465726.3
2022-12-11 23:00:00,4.659,4.721,4.569,4.610,1262805.5
2022-12-12 03:00:00,4.611,4.639,4.558,4.629,1028174.8
2022-12-12 07:00:00,4.630,4.731,4.543,4.635,1914472.8
2022-12-12 11:00:00,4.636,4.685,4.630,4.667,518559.2
2022-12-12 15:00:00,4.667,4.715,4.641,4.695,511302.4
