Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,5.7710,5.8000,5.7320,5.7690,236325
2022-12-01 01:00:00,5.7700,5.8000,5.7690,5.7860,167467
2022-12-01 02:00:00,5.7860,5.7890,5.7270,5.7310,276467
2022-12-01 03:00:00,5.7310,5.7660,5.7270,5.7520,198785
2022-12-01 04:00:00,5.7530,5.7690,5.7270,5.7610,178092
2022-12-01 05:00:00,5.7610,5.8120,5.7520,5.7890,345217
2022-12-01 06:00:00,5.7900,5.8030,5.7650,5.7970,199382
2022-12-01 07:00:00,5.7970,5.8220,5.7820,5.8050,277723
2022-12-01 08:00:00,5.8060,5.8490,5.7310,5.7770,661094
2022-12-01 09:00:00,5.7760,5.8450,5.7520,5.8280,531391
2022-12-01 10:00:00,5.8280,5.8440,5.7030,5.8140,743284
2022-12-01 11:00:00,5.8150,5.9610,5.7810,5.8930,857855
2022-12-01 12:00:00,5.8910,5.9300,5.7980,5.8990,1145381
2022-12-01 13:00:00,5.8980,5.8990,5.8310,5.8670,528805
2022-12-01 14:00:00,5.8680,5.9880,5.8420,5.8990,845173
2022-12-01 15:00:00,5.8990,5.9060,5.8780,5.8960,248076
2022-12-01 16:00:00,5.8970,5.8980,5.8510,5.8670,284120
2022-12-01 17:00:00,5.8660,5.9140,5.8650,5.8980,181363
2022-12-01 18:00:00,5.8990,5.9190,5.8590,5.9150,211050
2022-12-01 19:00:00,5.9160,6.0330,5.8890,6.0300,1016837
2022-12-01 20:00:00,6.0300,6.0450,5.8990,5.9320,534225
2022-12-01 21:00:00,5.9320,5.9900,5.8510,5.9720,532896
2022-12-01 22:00:00,5.9700,5.9900,5.9420,5.9500,236365
2022-12-01 23:00:00,5.9500,6.0070,5.9140,5.9930,507561
2022-12-02 00:00:00,5.9930,6.0150,5.9640,5.9830,254051
2022-12-02 01:00:00,5.9830,5.9980,5.9440,5.9540,294653
2022-12-02 02:00:00,5.9540,5.9680,5.9290,5.9300,270726
2022-12-02 03:00:00,5.9300,5.9520,5.9180,5.9260,287558
2022-12-02 04:00:00,5.9260,5.9540,5.9160,5.9370,242246
2022-12-02 05:00:00,5.9380,5.9780,5.9250,5.9770,203073
2022-12-02 06:00:00,5.9770,6.0190,5.9550,5.9910,328922
2022-12-02 07:00:00,5.9920,6.0030,5.9700,6.0010,319161
2022-12-02 08:00:00,6.0010,6.0210,5.9120,5.9610,695811
2022-12-02 09:00:00,5.9600,5.9950,5.9170,5.9920,774332
2022-12-02 10:00:00,5.9920,6.0800,5.9620,6.0210,973284
2022-12-02 11:00:00,6.0210,6.0620,6.0160,6.0380,454961
2022-12-02 12:00:00,6.0370,6.0960,6.0230,6.0830,311114
2022-12-02 13:00:00,6.0830,6.1180,6.0700,6.1130,500880
2022-12-02 14:00:00,6.1130,6.3380,6.0980,6.2550,1690822
2022-12-02 15:00:00,6.2550,6.5260,6.2410,6.4870,4802990
2022-12-02 16:00:00,6.4880,6.5480,6.3800,6.4030,1990324
2022-12-02 17:00:00,6.4040,6.4940,6.3390,6.3670,1381585
2022-12-02 18:00:00,6.3660,6.3870,6.3060,6.3410,1115443
2022-12-02 19:00:00,6.3400,6.4360,6.3150,6.3470,1145899
2022-12-02 20:00:00,6.3460,6.3560,6.2750,6.3430,706144
2022-12-02 21:00:00,6.3430,6.3660,6.3250,6.3350,298700
2022-12-02 22:00:00,6.3350,6.3850,6.3180,6.3420,508944
2022-12-02 23:00:00,6.3420,6.4400,6.3400,6.3840,1074473
2022-12-03 00:00:00,6.3830,6.3990,6.3480,6.3660,254232
2022-12-03 01:00:00,6.3660,6.3680,6.2490,6.2730,641799
2022-12-03 02:00:00,6.2720,6.3500,6.2550,6.3100,598570
