Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,144.11,144.74,144.04,144.56,4403.518
2022-12-01 00:15:00,144.56,144.75,144.42,144.47,1975.087
2022-12-01 00:30:00,144.46,144.62,143.80,143.91,4654.798
2022-12-01 00:45:00,143.91,144.37,143.61,144.00,3378.794
2022-12-01 01:00:00,143.99,144.15,143.78,143.95,2891.504
2022-12-01 01:15:00,143.95,144.13,143.65,143.69,1806.679
2022-12-01 01:30:00,143.69,143.92,143.43,143.66,2671.915
2022-12-01 01:45:00,143.67,144.13,143.61,143.65,2092.666
2022-12-01 02:00:00,143.66,144.01,143.56,143.66,2033.457
2022-12-01 02:15:00,143.63,143.89,143.61,143.69,1788.566
2022-12-01 02:30:00,143.72,144.08,143.60,144.06,1080.682
2022-12-01 02:45:00,144.06,144.25,143.59,143.64,2129.326
2022-12-01 03:00:00,143.65,144.28,143.39,143.43,3698.364
2022-12-01 03:15:00,143.43,143.91,143.36,143.89,1826.952
2022-12-01 03:30:00,143.88,144.10,143.08,143.51,4564.736
2022-12-01 03:45:00,143.50,143.69,142.94,143.10,3244.205
2022-12-01 04:00:00,143.10,143.33,142.19,142.23,5784.536
2022-12-01 04:15:00,142.22,142.50,141.80,142.11,3957.168
2022-12-01 04:30:00,142.11,142.29,141.78,142.14,2194.751
2022-12-01 04:45:00,142.14,142.33,141.79,142.10,4320.316
2022-12-01 05:00:00,142.11,142.30,141.86,142.00,3089.733
2022-12-01 05:15:00,142.03,142.17,141.87,142.03,2092.749
2022-12-01 05:30:00,142.02,142.33,142.02,142.27,1553.667
2022-12-01 05:45:00,142.28,142.44,142.13,142.40,1401.566
2022-12-01 06:00:00,142.38,142.40,141.65,142.27,2253.729
2022-12-01 06:15:00,142.28,142.30,141.92,142.15,1988.360
2022-12-01 06:30:00,142.15,142.60,142.11,142.57,978.615
2022-12-01 06:45:00,142.58,142.70,142.37,142.66,2278.976
2022-12-01 07:00:00,142.64,142.80,142.20,142.26,3213.948
2022-12-01 07:15:00,142.26,142.46,142.13,142.43,1920.657
2022-12-01 07:30:00,142.46,142.57,142.11,142.33,2449.860
2022-12-01 07:45:00,142.30,142.37,141.83,142.12,3151.371
2022-12-01 08:00:00,142.12,142.41,141.82,142.28,2401.876
2022-12-01 08:15:00,142.31,142.34,141.88,141.93,1639.929
2022-12-01 08:30:00,141.96,142.56,141.53,142.29,5315.789
2022-12-01 08:45:00,142.31,142.31,141.11,141.94,6925.467
2022-12-01 09:00:00,141.95,142.37,141.45,142.32,2999.398
2022-12-01 09:15:00,142.31,142.33,141.84,141.95,2104.085
2022-12-01 09:30:00,141.92,142.46,141.86,142.37,1642.585
2022-12-01 09:45:00,142.38,142.57,142.12,142.46,2450.288
2022-12-01 10:00:00,142.46,142.57,141.38,141.51,4265.124
2022-12-01 10:15:00,141.52,141.81,141.32,141.63,2973.209
2022-12-01 10:30:00,141.65,142.03,141.50,142.01,1918.993
2022-12-01 10:45:00,142.01,142.49,141.89,142.44,2434.096
2022-12-01 11:00:00,142.45,142.48,142.06,142.28,1504.524
2022-12-01 11:15:00,142.28,142.63,142.10,142.31,2538.503
2022-12-01 11:30:00,142.32,142.63,142.20,142.45,2024.951
2022-12-01 11:45:00,142.45,142.76,142.41,142.65,1335.750
2022-12-01 12:00:00,142.66,142.71,142.27,142.31,2777.171
2022-12-01 12:15:00,142.32,142.74,142.25,142.62,937.232
2022-12-01 12:30:00,142.63,142.76,142.28,142.66,2085.830
2022-12-01 12:45:00,142.66,142.80,142.46,142.48,1571.853
2022-12-01 13:00:00,142.47,142.69,142.13,142.27,1994.040
2022-12-01 13:15:00,142.26,142.37,142.08,142.11,1119.797
2022-12-01 13:30:00,142.11,142.46,141.94,142.23,1702.982
2022-12-01 13:45:00,142.23,142.47,142.06,142.40,1063.162
2022-12-01 14:00:00,142.42,142.78,142.16,142.62,1880.945
2022-12-01 14:15:00,142.62,142.96,142.57,142.90,1312.607
2022-12-01 14:30:00,142.88,142.96,142.61,142.64,1111.420
2022-12-01 14:45:00,142.64,143.25,142.47,142.97,3431.384
2022-12-01 15:00:00,142.98,143.72,142.91,143.64,4973.491
2022-12-01 15:15:00,143.63,143.92,143.55,143.75,2664.999
2022-12-01 15:30:00,143.76,144.04,143.31,143.37,4115.200
2022-12-01 15:45:00,143.36,143.51,143.12,143.25,2570.096
2022-12-01 16:00:00,143.25,143.34,142.47,142.57,3893.888
2022-12-01 16:15:00,142.57,142.71,142.15,142.62,4323.229
2022-12-01 16:30:00,142.62,143.04,142.44,142.54,1504.095
2022-12-01 16:45:00,142.54,143.42,142.25,143.16,3779.999
2022-12-01 17:00:00,143.16,143.50,142.98,143.14,2294.095
2022-12-01 17:15:00,143.17,143.57,142.99,143.32,1426.604
2022-12-01 17:30:00,143.31,143.36,143.14,143.25,1506.162
2022-12-01 17:45:00,143.24,143.33,143.07,143.29,704.601
2022-12-01 18:00:00,143.28,143.66,143.03,143.52,2928.122
2022-12-01 18:15:00,143.55,143.69,143.06,143.62,2731.230
2022-12-01 18:30:00,143.62,144.35,143.42,144.15,5812.024
2022-12-01 18:45:00,144.14,144.38,143.64,144.34,4879.517
2022-12-01 19:00:00,144.34,144.40,143.85,144.29,3157.309
2022-12-01 19:15:00,144.29,144.30,143.82,143.89,1581.943
2022-12-01 19:30:00,143.90,144.60,143.85,144.22,1446.675
2022-12-01 19:45:00,144.23,144.49,144.00,144.44,3613.046
2022-12-01 20:00:00,144.42,144.59,144.25,144.51,846.492
2022-12-01 20:15:00,144.52,144.53,144.07,144.10,927.333
2022-12-01 20:30:00,144.11,144.14,143.82,143.99,1442.533
2022-12-01 20:45:00,143.99,144.01,142.93,143.58,2890.464
2022-12-01 21:00:00,143.58,143.67,142.73,143.03,2397.844
2022-12-01 21:15:00,142.99,144.07,142.95,143.94,1745.994
2022-12-01 21:30:00,143.95,144.10,143.61,143.98,2183.437
2022-12-01 21:45:00,143.97,143.99,143.62,143.82,1267.621
2022-12-01 22:00:00,143.83,144.11,143.70,144.09,1309.228
2022-12-01 22:15:00,144.10,144.12,143.82,143.97,775.936
2022-12-01 22:30:00,143.99,144.01,143.68,143.88,898.166
2022-12-01 22:45:00,143.88,144.00,143.53,143.76,1487.280
2022-12-01 23:00:00,143.75,143.83,143.11,143.65,2644.445
2022-12-01 23:15:00,143.65,144.28,143.65,144.14,2131.017
2022-12-01 23:30:00,144.14,144.21,144.07,144.17,617.730
2022-12-01 23:45:00,144.18,144.20,144.07,144.14,467.354
2022-12-02 00:00:00,144.14,144.20,143.84,144.20,1308.891
2022-12-02 00:15:00,144.18,144.22,144.10,144.17,454.456
2022-12-02 00:30:00,144.17,144.18,143.96,144.07,613.569
2022-12-02 00:45:00,144.06,144.08,143.97,144.02,529.303
2022-12-02 01:00:00,144.01,144.22,143.79,143.79,1268.407
2022-12-02 01:15:00,143.80,143.94,143.74,143.81,1077.537
2022-12-02 01:30:00,143.81,143.89,143.68,143.72,683.900
2022-12-02 01:45:00,143.72,143.81,143.69,143.75,466.240
2022-12-02 02:00:00,143.76,143.99,143.65,143.96,948.875
2022-12-02 02:15:00,143.96,144.06,143.75,143.88,1244.453
2022-12-02 02:30:00,143.88,144.22,143.79,144.15,1329.348
2022-12-02 02:45:00,144.15,144.30,144.12,144.21,1497.815
2022-12-02 03:00:00,144.21,144.60,144.20,144.53,2565.680
2022-12-02 03:15:00,144.51,144.61,144.24,144.40,1462.704
2022-12-02 03:30:00,144.39,144.48,144.06,144.42,1856.371
2022-12-02 03:45:00,144.41,144.47,144.14,144.36,1247.386
2022-12-02 04:00:00,144.35,144.38,144.13,144.36,3078.475
2022-12-02 04:15:00,144.35,144.40,144.25,144.27,697.307
2022-12-02 04:30:00,144.27,144.39,144.22,144.22,577.657
2022-12-02 04:45:00,144.21,144.38,144.21,144.33,439.270
2022-12-02 05:00:00,144.33,144.38,144.25,144.37,929.212
2022-12-02 05:15:00,144.37,144.39,144.00,144.22,1831.766
2022-12-02 05:30:00,144.22,144.30,143.94,144.06,1207.214
2022-12-02 05:45:00,144.08,144.14,143.88,144.07,1495.591
2022-12-02 06:00:00,144.07,144.10,143.76,143.82,1696.263
2022-12-02 06:15:00,143.81,144.23,143.78,144.10,1611.736
2022-12-02 06:30:00,144.09,144.20,143.80,144.01,2129.229
2022-12-02 06:45:00,144.01,144.08,143.87,143.93,1338.080
2022-12-02 07:00:00,143.94,144.08,143.40,143.80,3235.337
2022-12-02 07:15:00,143.79,144.07,143.75,143.86,1212.908
2022-12-02 07:30:00,143.84,143.97,143.63,143.69,1760.212
2022-12-02 07:45:00,143.70,144.04,143.69,143.96,1608.174
2022-12-02 08:00:00,143.95,144.41,143.89,144.35,3033.199
2022-12-02 08:15:00,144.33,144.45,143.98,144.17,3558.984
2022-12-02 08:30:00,144.15,144.24,142.72,143.37,10246.301
2022-12-02 08:45:00,143.39,143.98,143.14,143.81,2639.435
2022-12-02 09:00:00,143.82,143.88,143.43,143.87,3258.231
2022-12-02 09:15:00,143.87,144.29,143.84,144.14,2104.104
2022-12-02 09:30:00,144.13,144.60,144.13,144.46,3391.498
2022-12-02 09:45:00,144.47,144.57,143.85,143.94,2735.637
2022-12-02 10:00:00,143.93,144.12,143.49,143.97,4279.591
2022-12-02 10:15:00,143.98,144.03,143.77,143.90,912.677
2022-12-02 10:30:00,143.90,144.25,143.76,144.09,2248.999
2022-12-02 10:45:00,144.10,144.50,143.98,144.31,3003.101
2022-12-02 11:00:00,144.30,144.41,144.08,144.10,1742.789
2022-12-02 11:15:00,144.09,144.50,143.97,144.48,2800.388
2022-12-02 11:30:00,144.48,144.66,143.99,144.28,4788.346
2022-12-02 11:45:00,144.30,144.40,143.98,144.01,1581.157
2022-12-02 12:00:00,144.01,144.98,143.94,144.73,4322.685
2022-12-02 12:15:00,144.76,144.81,144.50,144.57,1777.385
2022-12-02 12:30:00,144.56,144.57,143.99,144.31,2549.241
2022-12-02 12:45:00,144.32,144.63,144.22,144.53,1252.774
2022-12-02 13:00:00,144.53,144.82,144.33,144.74,1869.976
2022-12-02 13:15:00,144.75,145.46,144.60,145.42,7224.979
2022-12-02 13:30:00,145.43,145.75,145.16,145.50,5209.626
2022-12-02 13:45:00,145.50,145.72,145.25,145.53,1751.085
2022-12-02 14:00:00,145.53,145.73,145.39,145.61,1865.798
2022-12-02 14:15:00,145.60,145.98,145.57,145.76,1916.057
2022-12-02 14:30:00,145.77,146.65,145.69,145.90,7032.935
2022-12-02 14:45:00,145.91,146.07,145.39,145.58,4394.403
2022-12-02 15:00:00,145.58,145.85,145.53,145.56,2259.461
2022-12-02 15:15:00,145.56,145.64,145.37,145.63,1221.757
2022-12-02 15:30:00,145.62,145.78,145.16,145.31,2302.311
2022-12-02 15:45:00,145.31,145.49,145.22,145.34,1451.888
2022-12-02 16:00:00,145.34,145.62,145.13,145.33,1722.150
2022-12-02 16:15:00,145.31,145.32,144.60,144.61,3265.457
2022-12-02 16:30:00,144.62,144.77,144.10,144.20,2831.218
2022-12-02 16:45:00,144.19,144.35,144.06,144.34,1436.798
2022-12-02 17:00:00,144.35,144.55,144.17,144.36,2103.384
2022-12-02 17:15:00,144.36,144.50,144.25,144.25,616.868
2022-12-02 17:30:00,144.26,144.34,144.14,144.28,860.241
2022-12-02 17:45:00,144.27,144.41,144.24,144.35,522.719
2022-12-02 18:00:00,144.36,144.67,144.32,144.59,2226.689
2022-12-02 18:15:00,144.59,145.36,144.59,145.31,3495.579
2022-12-02 18:30:00,145.31,145.32,145.08,145.30,1030.560
2022-12-02 18:45:00,145.32,145.49,145.28,145.47,515.169
2022-12-02 19:00:00,145.47,146.93,145.33,146.90,11470.457
2022-12-02 19:15:00,146.90,147.94,146.82,147.82,7242.220
2022-12-02 19:30:00,147.84,148.08,147.18,148.06,7904.808
2022-12-02 19:45:00,148.04,148.08,146.92,147.90,11606.038
2022-12-02 20:00:00,147.91,147.94,147.26,147.37,3721.371
2022-12-02 20:15:00,147.40,147.90,147.26,147.84,2266.879
2022-12-02 20:30:00,147.83,148.08,147.63,147.94,3014.095
2022-12-02 20:45:00,147.98,148.08,147.84,148.06,1744.155
2022-12-02 21:00:00,148.04,148.06,146.75,146.98,8036.843
2022-12-02 21:15:00,146.98,147.41,146.92,147.41,1497.535
2022-12-02 21:30:00,147.41,147.66,147.18,147.47,1886.213
2022-12-02 21:45:00,147.49,147.55,147.37,147.39,466.434
