Date,Open,High,Low,Close,Volume
2022-12-01 03:00:00,143.65,144.28,141.65,142.66,45228.423
2022-12-01 07:00:00,142.64,142.80,141.11,142.44,47806.675
2022-12-01 11:00:00,142.45,143.25,141.94,142.97,28392.151
2022-12-01 15:00:00,142.98,144.38,142.15,144.34,50107.352
2022-12-01 19:00:00,144.34,144.60,142.73,143.76,27971.301
2022-12-01 23:00:00,143.75,144.30,143.11,144.21,17283.340
2022-12-02 03:00:00,144.21,144.61,143.76,143.93,24163.941
2022-12-02 07:00:00,143.94,144.60,142.72,144.31,49228.388
2022-12-02 11:00:00,144.30,146.65,143.94,145.58,52079.624
2022-12-02 15:00:00,145.58,145.85,144.06,145.47,27862.249
2022-12-02 19:00:00,145.47,148.08,145.33,147.06,65254.371
2022-12-02 23:00:00,147.08,147.70,146.65,147.14,27961.988
2022-12-03 03:00:00,147.13,147.56,144.92,145.53,39453.147
2022-12-03 07:00:00,145.52,146.12,144.30,145.47,37688.777
2022-12-03 11:00:00,145.48,147.87,145.41,146.88,42914.601
2022-12-03 15:00:00,146.87,147.22,143.53,145.21,44528.405
2022-12-03 19:00:00,145.21,147.33,145.13,145.54,35540.660
2022-12-03 23:00:00,145.54,147.14,143.75,144.03,34093.660
2022-12-04 03:00:00,144.02,144.21,142.14,142.74,45046.916
2022-12-04 07:00:00,142.73,145.10,142.60,144.19,36365.187
2022-12-04 11:00:00,144.19,144.39,142.15,144.09,51432.895
2022-12-04 15:00:00,144.12,144.93,142.13,142.19,33600.189
2022-12-04 19:00:00,142.19,144.26,141.35,143.75,39437.597
2022-12-04 23:00:00,143.77,145.14,143.72,144.89,30888.362
2022-12-05 03:00:00,144.90,145.80,142.90,144.29,42604.297
2022-12-05 07:00:00,144.29,145.30,142.71,144.91,62121.086
2022-12-05 11:00:00,144.90,145.90,143.60,144.12,52137.904
2022-12-05 15:00:00,144.12,145.50,143.60,144.99,24532.129
2022-12-05 19:00:00,144.97,146.00,144.64,145.24,27300.254
2022-12-05 23:00:00,145.23,145.90,144.60,144.70,30750.938
2022-12-06 03:00:00,144.70,144.95,143.22,144.74,44593.657
2022-12-06 07:00:00,144.75,144.89,141.87,142.71,67670.851
2022-12-06 11:00:00,142.70,143.29,142.02,142.95,26612.394
2022-12-06 15:00:00,142.95,143.80,142.56,143.34,28709.811
2022-12-06 19:00:00,143.35,144.13,143.13,143.47,20587.750
2022-12-06 23:00:00,143.46,144.20,141.11,141.66,41010.364
2022-12-07 03:00:00,141.63,143.47,140.95,143.47,40533.871
2022-12-07 07:00:00,143.47,144.03,142.45,142.65,39300.682
2022-12-07 11:00:00,142.64,142.65,141.36,141.87,31280.236
2022-12-07 15:00:00,141.88,144.45,141.25,143.77,49733.534
2022-12-07 19:00:00,143.77,144.77,142.81,144.37,50361.784
2022-12-07 23:00:00,144.37,144.99,143.69,144.17,44813.313
2022-12-08 03:00:00,144.17,146.05,143.93,145.96,71363.268
2022-12-08 07:00:00,145.98,146.57,145.37,146.49,67693.228
2022-12-08 11:00:00,146.48,148.50,145.17,147.72,96890.603
2022-12-08 15:00:00,147.73,148.89,147.16,147.48,45915.366
2022-12-08 19:00:00,147.48,147.94,146.15,146.85,28885.553
2022-12-08 23:00:00,146.86,148.04,146.64,147.89,24910.689
2022-12-09 03:00:00,147.89,148.27,146.58,146.76,45365.992
2022-12-09 07:00:00,146.75,147.70,146.29,147.55,45326.107
2022-12-09 11:00:00,147.56,148.10,146.95,147.98,34428.762
2022-12-09 15:00:00,147.98,149.28,147.56,148.98,37359.267
2022-12-09 19:00:00,148.99,149.87,148.68,148.77,33870.305
2022-12-09 23:00:00,148.77,149.16,148.20,148.53,20439.683
2022-12-10 03:00:00,148.53,150.59,148.28,149.83,44815.379
2022-12-10 07:00:00,149.84,151.29,149.21,150.15,44463.453
2022-12-10 11:00:00,150.15,150.35,149.52,149.87,22305.732
2022-12-10 15:00:00,149.89,150.45,149.32,149.48,18169.352
2022-12-10 19:00:00,149.47,150.50,149.07,149.38,23223.291
2022-12-10 23:00:00,149.38,150.00,149.13,149.61,19798.166
2022-12-11 03:00:00,149.62,151.05,149.39,150.32,39117.198
2022-12-11 07:00:00,150.31,150.70,149.55,150.14,32819.769
2022-12-11 11:00:00,150.14,151.90,149.98,150.65,53010.571
2022-12-11 15:00:00,150.64,151.90,149.48,150.51,63184.330
2022-12-11 19:00:00,150.51,150.92,148.41,149.40,77117.679
2022-12-11 23:00:00,149.43,149.95,147.97,148.03,49313.334
2022-12-12 03:00:00,148.04,151.40,147.88,150.83,99790.104
2022-12-12 07:00:00,150.83,151.90,149.63,150.89,95113.574
2022-12-12 11:00:00,150.89,150.97,149.33,150.34,50174.878
2022-12-12 15:00:00,150.33,151.80,149.50,150.44,49066.048
2022-12-12 19:00:00,150.45,151.06,149.53,149.71,33895.238
2022-12-12 23:00:00,149.71,150.36,148.30,149.03,53108.479
2022-12-13 03:00:00,149.03,151.45,148.18,150.82,70817.298
2022-12-13 07:00:00,150.82,153.42,150.22,151.11,103957.220
2022-12-13 11:00:00,151.10,151.76,149.66,150.67,44539.347
2022-12-13 15:00:00,150.67,151.96,150.57,151.43,29929.553
2022-12-13 19:00:00,151.43,152.30,150.83,151.42,24833.465
2022-12-13 23:00:00,151.43,151.63,150.44,150.50,26752.744
2022-12-14 03:00:00,150.51,150.96,148.28,148.59,94371.642
2022-12-14 07:00:00,148.59,148.81,146.50,147.02,108184.411
2022-12-14 11:00:00,147.01,149.52,146.40,148.49,94791.496
2022-12-14 15:00:00,148.49,150.03,147.89,148.66,46946.598
2022-12-14 19:00:00,148.67,148.79,146.15,147.85,40194.770
2022-12-14 23:00:00,147.85,147.90,147.09,147.62,18245.581
2022-12-15 03:00:00,147.63,149.00,147.48,148.89,37930.312
2022-12-15 07:00:00,148.89,149.80,146.70,147.21,74870.236
2022-12-15 11:00:00,147.20,148.29,146.51,147.94,39637.029
2022-12-15 15:00:00,147.94,149.21,147.75,149.05,39778.154
2022-12-15 19:00:00,149.03,149.30,148.48,148.87,22112.910
2022-12-15 23:00:00,148.88,149.33,147.76,149.27,21617.612
2022-12-16 03:00:00,149.27,149.49,144.70,145.67,94045.046
2022-12-16 07:00:00,145.68,146.74,145.03,145.65,50555.949
2022-12-16 11:00:00,145.64,146.14,143.67,145.27,54742.846
2022-12-16 15:00:00,145.27,145.79,140.30,141.98,88627.998
2022-12-16 19:00:00,141.97,141.98,138.38,140.08,61278.592
2022-12-16 23:00:00,140.09,143.35,139.74,143.19,69349.864
2022-12-17 03:00:00,143.19,143.58,141.80,143.27,49365.857
2022-12-17 07:00:00,143.28,143.68,141.28,141.78,55588.275
2022-12-17 11:00:00,141.78,142.15,140.80,141.77,35914.600
2022-12-17 15:00:00,141.77,144.28,141.76,143.32,41104.514
2022-12-17 19:00:00,143.31,144.20,142.73,143.79,24091.770
2022-12-17 23:00:00,143.80,144.47,143.20,143.80,26094.907
2022-12-18 03:00:00,143.80,144.19,143.20,143.69,25367.639
2022-12-18 07:00:00,143.69,143.88,142.63,143.20,30672.415
2022-12-18 11:00:00,143.21,145.49,143.20,144.82,46571.852
2022-12-18 15:00:00,144.82,146.00,143.87,143.97,38251.977
2022-12-18 19:00:00,143.97,144.97,143.04,144.26,39791.600
2022-12-18 23:00:00,144.26,144.98,144.15,144.73,27267.559
2022-12-19 03:00:00,144.74,145.45,144.39,145.22,27648.536
2022-12-19 07:00:00,145.22,145.58,144.32,145.15,35906.548
2022-12-19 11:00:00,145.14,145.45,143.68,144.64,59284.192
2022-12-19 15:00:00,144.64,145.59,142.75,143.87,54373.610
2022-12-19 19:00:00,143.86,147.57,143.68,145.40,67131.357
2022-12-19 23:00:00,145.40,147.00,145.04,146.20,27935.930
2022-12-20 03:00:00,146.23,146.66,144.08,145.05,41689.117
2022-12-20 07:00:00,145.05,147.70,143.84,147.19,80173.579
2022-12-20 11:00:00,147.21,147.50,146.08,146.46,51071.149
2022-12-20 15:00:00,146.45,147.28,146.15,146.80,27037.888
2022-12-20 19:00:00,146.79,147.76,146.37,147.41,35770.671
2022-12-20 23:00:00,147.43,147.93,146.74,147.63,38261.922
2022-12-21 03:00:00,147.63,148.30,146.22,147.12,50370.619
2022-12-21 07:00:00,147.11,148.26,147.00,147.83,66685.142
2022-12-21 11:00:00,147.79,148.80,147.31,148.02,61316.565
2022-12-21 15:00:00,148.03,148.03,146.85,147.14,43705.957
2022-12-21 19:00:00,147.14,147.71,146.56,147.03,26195.233
2022-12-21 23:00:00,147.02,147.60,146.23,147.51,36370.293
2022-12-22 03:00:00,147.50,147.76,146.72,147.16,35539.521
2022-12-22 07:00:00,147.15,147.27,144.81,145.43,69591.489
2022-12-22 11:00:00,145.43,146.00,143.41,145.23,72245.007
2022-12-22 15:00:00,145.23,148.28,145.07,145.36,62091.030
2022-12-22 19:00:00,145.37,146.78,144.61,145.86,46427.562
2022-12-22 23:00:00,145.87,145.91,142.37,142.87,55801.862
2022-12-23 03:00:00,142.87,143.75,139.76,140.38,142984.660
2022-12-23 07:00:00,140.38,142.28,139.89,141.86,94269.228
2022-12-23 11:00:00,141.85,143.00,141.66,142.38,46012.597
2022-12-23 15:00:00,142.39,143.50,141.94,142.84,40612.157
2022-12-23 19:00:00,142.84,143.00,141.73,142.31,26688.245
2022-12-23 23:00:00,142.32,142.87,141.52,142.84,22353.929
2022-12-24 03:00:00,142.85,143.10,141.73,141.85,28184.720
2022-12-24 07:00:00,141.85,142.85,141.79,142.71,22864.629
2022-12-24 11:00:00,142.71,142.99,142.42,142.96,20437.566
2022-12-24 15:00:00,142.96,144.15,142.73,143.20,33569.803
2022-12-24 19:00:00,143.20,143.87,143.04,143.15,12062.642
2022-12-24 23:00:00,143.15,143.80,143.13,143.46,18371.213
2022-12-25 03:00:00,143.46,144.50,143.43,144.04,41774.514
2022-12-25 07:00:00,144.04,144.63,143.15,144.44,40621.625
2022-12-25 11:00:00,144.45,144.70,143.44,144.22,35423.777
2022-12-25 15:00:00,144.22,145.49,143.84,144.99,40373.739
2022-12-25 19:00:00,145.00,145.60,144.52,144.90,20983.356
2022-12-25 23:00:00,144.90,145.80,144.57,144.62,24268.160
2022-12-26 03:00:00,144.63,146.88,144.15,146.58,46524.292
2022-12-26 07:00:00,146.60,147.19,145.56,146.37,52721.345
