Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,1.007,1.011,1.007,1.010,85733.7
2022-12-01 00:15:00,1.010,1.011,1.009,1.010,74421.0
2022-12-01 00:30:00,1.009,1.010,1.003,1.004,157456.9
2022-12-01 00:45:00,1.004,1.008,1.002,1.008,153072.1
2022-12-01 01:00:00,1.008,1.009,1.006,1.008,134629.8
2022-12-01 01:15:00,1.008,1.009,1.007,1.008,121241.3
2022-12-01 01:30:00,1.008,1.009,1.006,1.009,76747.5
2022-12-01 01:45:00,1.009,1.011,1.009,1.010,51297.2
2022-12-01 02:00:00,1.011,1.012,1.009,1.010,104721.8
2022-12-01 02:15:00,1.009,1.012,1.008,1.010,133257.5
2022-12-01 02:30:00,1.011,1.011,1.008,1.009,110516.4
2022-12-01 02:45:00,1.009,1.010,1.006,1.006,136593.2
2022-12-01 03:00:00,1.006,1.010,1.006,1.007,167957.3
2022-12-01 03:15:00,1.008,1.009,1.007,1.008,38752.5
2022-12-01 03:30:00,1.008,1.009,1.008,1.008,47364.6
2022-12-01 03:45:00,1.009,1.012,1.008,1.012,162031.8
2022-12-01 04:00:00,1.011,1.012,1.009,1.009,120907.3
2022-12-01 04:15:00,1.010,1.010,1.008,1.008,85112.0
2022-12-01 04:30:00,1.008,1.012,1.008,1.010,166183.2
2022-12-01 04:45:00,1.010,1.016,1.010,1.015,328407.2
2022-12-01 05:00:00,1.014,1.015,1.013,1.013,132812.2
2022-12-01 05:15:00,1.013,1.015,1.010,1.010,143905.2
2022-12-01 05:30:00,1.010,1.013,1.010,1.012,163817.9
2022-12-01 05:45:00,1.011,1.012,1.007,1.008,160761.2
2022-12-01 06:00:00,1.008,1.009,1.007,1.008,177512.6
2022-12-01 06:15:00,1.008,1.009,1.006,1.006,75792.1
2022-12-01 06:30:00,1.007,1.008,1.006,1.007,68698.4
2022-12-01 06:45:00,1.007,1.011,1.007,1.011,148678.7
2022-12-01 07:00:00,1.010,1.013,1.010,1.011,200477.2
2022-12-01 07:15:00,1.011,1.013,1.008,1.009,202363.5
2022-12-01 07:30:00,1.009,1.013,1.009,1.011,79947.3
2022-12-01 07:45:00,1.012,1.014,1.009,1.013,102222.2
2022-12-01 08:00:00,1.012,1.013,1.011,1.011,94586.4
2022-12-01 08:15:00,1.011,1.012,1.010,1.011,85656.3
2022-12-01 08:30:00,1.010,1.015,1.006,1.008,696559.0
2022-12-01 08:45:00,1.008,1.008,0.996,1.004,788982.9
2022-12-01 09:00:00,1.005,1.006,1.001,1.005,231608.6
2022-12-01 09:15:00,1.004,1.005,0.999,1.000,249997.1
2022-12-01 09:30:00,1.000,1.005,0.999,1.005,231920.2
2022-12-01 09:45:00,1.004,1.014,1.004,1.010,313200.3
2022-12-01 10:00:00,1.011,1.014,0.996,0.997,618465.5
2022-12-01 10:15:00,0.997,1.002,0.993,1.000,519495.7
2022-12-01 10:30:00,1.001,1.004,0.997,1.003,322819.4
2022-12-01 10:45:00,1.003,1.007,1.002,1.007,260496.8
2022-12-01 11:00:00,1.007,1.007,1.001,1.001,298772.5
2022-12-01 11:15:00,1.001,1.004,0.999,1.004,126654.9
2022-12-01 11:30:00,1.003,1.005,1.001,1.005,179471.8
2022-12-01 11:45:00,1.005,1.006,1.002,1.003,97648.8
2022-12-01 12:00:00,1.002,1.004,0.999,1.003,151272.9
2022-12-01 12:15:00,1.002,1.005,1.000,1.004,72631.7
2022-12-01 12:30:00,1.004,1.006,1.004,1.006,65702.9
2022-12-01 12:45:00,1.006,1.007,1.005,1.006,80874.2
2022-12-01 13:00:00,1.006,1.007,1.005,1.005,89150.0
2022-12-01 13:15:00,1.006,1.006,1.004,1.005,46587.8
2022-12-01 13:30:00,1.004,1.005,1.000,1.003,152655.8
2022-12-01 13:45:00,1.003,1.004,1.001,1.002,46818.6
2022-12-01 14:00:00,1.001,1.002,0.997,0.998,139187.5
2022-12-01 14:15:00,0.998,1.001,0.997,1.001,80502.7
2022-12-01 14:30:00,1.000,1.001,0.999,1.000,74554.5
2022-12-01 14:45:00,0.999,1.001,0.999,0.999,57078.8
2022-12-01 15:00:00,0.999,1.000,0.998,0.999,75496.1
2022-12-01 15:15:00,0.998,1.001,0.998,1.000,55724.7
2022-12-01 15:30:00,0.999,1.000,0.996,0.997,65643.2
2022-12-01 15:45:00,0.997,0.998,0.996,0.996,38620.4
2022-12-01 16:00:00,0.997,0.997,0.993,0.996,116357.6
2022-12-01 16:15:00,0.995,0.999,0.995,0.998,80116.9
2022-12-01 16:30:00,0.998,0.999,0.997,0.998,91290.2
2022-12-01 16:45:00,0.997,1.001,0.997,0.998,88951.2
2022-12-01 17:00:00,0.998,0.999,0.995,0.997,236630.6
2022-12-01 17:15:00,0.997,1.001,0.996,0.999,117419.0
2022-12-01 17:30:00,0.998,1.000,0.997,0.999,131736.7
2022-12-01 17:45:00,0.998,1.001,0.996,0.998,144806.3
2022-12-01 18:00:00,0.998,1.001,0.997,0.997,119288.8
2022-12-01 18:15:00,0.998,0.999,0.991,0.995,148794.4
2022-12-01 18:30:00,0.994,0.999,0.994,0.999,90697.2
2022-12-01 18:45:00,0.999,1.003,0.998,1.003,71225.0
2022-12-01 19:00:00,1.002,1.004,0.998,1.002,226389.4
2022-12-01 19:15:00,1.001,1.003,0.999,1.001,62978.0
2022-12-01 19:30:00,1.000,1.009,1.000,1.007,276155.5
