Date,Open,High,Low,Close,Volume
2022-12-01 00:00:00,1.007,1.011,1.002,1.008,470683.7
2022-12-01 01:00:00,1.008,1.011,1.006,1.010,383915.8
2022-12-01 02:00:00,1.011,1.012,1.006,1.006,485088.9
2022-12-01 03:00:00,1.006,1.012,1.006,1.012,416106.2
2022-12-01 04:00:00,1.011,1.016,1.008,1.015,700609.7
2022-12-01 05:00:00,1.014,1.015,1.007,1.008,601296.5
2022-12-01 06:00:00,1.008,1.011,1.006,1.011,470681.8
2022-12-01 07:00:00,1.010,1.014,1.008,1.013,585010.2
2022-12-01 08:00:00,1.012,1.015,0.996,1.004,1665784.6
2022-12-01 09:00:00,1.005,1.014,0.999,1.010,1026726.2
2022-12-01 10:00:00,1.011,1.014,0.993,1.007,1721277.4
2022-12-01 11:00:00,1.007,1.007,0.999,1.003,702548.0
2022-12-01 12:00:00,1.002,1.007,0.999,1.006,370481.7
2022-12-01 13:00:00,1.006,1.007,1.000,1.002,335212.2
2022-12-01 14:00:00,1.001,1.002,0.997,0.999,351323.5
2022-12-01 15:00:00,0.999,1.001,0.996,0.996,235484.4
2022-12-01 16:00:00,0.997,1.001,0.993,0.998,376715.9
2022-12-01 17:00:00,0.998,1.001,0.995,0.998,630592.6
2022-12-01 18:00:00,0.998,1.003,0.991,1.003,430005.4
2022-12-01 19:00:00,1.002,1.009,0.998,1.005,778654.3
2022-12-01 20:00:00,1.006,1.009,0.993,0.997,863650.3
2022-12-01 21:00:00,0.998,1.003,0.988,0.998,971502.3
2022-12-01 22:00:00,0.999,1.002,0.997,0.998,298402.1
2022-12-01 23:00:00,0.998,1.003,0.991,1.002,541611.1
2022-12-02 00:00:00,1.003,1.006,1.002,1.005,253533.1
2022-12-02 01:00:00,1.006,1.010,1.004,1.009,511171.7
2022-12-02 02:00:00,1.009,1.014,1.008,1.012,924410.6
2022-12-02 03:00:00,1.012,1.018,1.012,1.015,511300.9
2022-12-02 04:00:00,1.016,1.026,1.014,1.023,1192735.9
2022-12-02 05:00:00,1.023,1.027,1.020,1.025,899563.4
2022-12-02 06:00:00,1.025,1.035,1.024,1.029,1315859.9
2022-12-02 07:00:00,1.030,1.041,1.028,1.032,1924872.6
2022-12-02 08:00:00,1.032,1.035,1.017,1.029,2169889.4
2022-12-02 09:00:00,1.029,1.039,1.025,1.031,1993498.7
2022-12-02 10:00:00,1.031,1.034,1.028,1.032,750916.4
2022-12-02 11:00:00,1.033,1.034,1.024,1.026,743020.5
2022-12-02 12:00:00,1.027,1.029,1.022,1.022,532870.2
2022-12-02 13:00:00,1.023,1.025,1.020,1.021,530579.3
2022-12-02 14:00:00,1.021,1.024,1.019,1.023,391609.6
2022-12-02 15:00:00,1.024,1.028,1.023,1.026,402355.7
2022-12-02 16:00:00,1.026,1.028,1.024,1.025,401097.6
2022-12-02 17:00:00,1.026,1.028,1.025,1.025,263332.9
2022-12-02 18:00:00,1.026,1.036,1.025,1.029,1645888.4
2022-12-02 19:00:00,1.029,1.033,1.022,1.026,1080445.8
2022-12-02 20:00:00,1.026,1.028,1.021,1.028,510941.1
2022-12-02 21:00:00,1.028,1.029,1.024,1.025,418204.1
2022-12-02 22:00:00,1.025,1.025,1.019,1.021,774699.5
2022-12-02 23:00:00,1.022,1.024,1.020,1.021,397604.4
2022-12-03 00:00:00,1.020,1.021,1.019,1.021,302746.9
2022-12-03 01:00:00,1.020,1.021,1.009,1.013,820555.4
