Date,Open,High,Low,Close,Volume
2019-12-23 00:00:00,13.179,14.835,12.93,14.092,41197
2019-12-30 00:00:00,14.08,14.4,12.865,13.997,258560
2020-01-06 00:00:00,14.006,15.471,14.002,15.333,361693
2020-01-13 00:00:00,15.344,18.519,14.914,17.399,496286
2020-01-20 00:00:00,17.399,18.364,16.4,17.399,148536
2020-01-27 00:00:00,17.483,18.87,17.135,18.401,405909
2020-02-03 00:00:00,18.286,24.598,17.85,24.589,1045273
2020-02-10 00:00:00,24.636,27.265,21.71,23.389,2322470
2020-02-17 00:00:00,23.383,24.515,21.065,22.762,1192408
2020-02-24 00:00:00,22.999,23,17.72,18.889,1003439
2020-03-02 00:00:00,18.917,21.719,16.759,16.917,999461
2020-03-09 00:00:00,16.875,17.486,6.173,10.43,4288780
2020-03-16 00:00:00,10.43,13.692,8.382,11.214,271821
2020-03-23 00:00:00,11.21,13.3,10.026,11.315,52997
2020-03-30 00:00:00,11.47,14.06,11.47,13.505,783140
2020-04-06 00:00:00,13.78,15.5,12.895,14.352,51112
2020-04-13 00:00:00,14.186,16.703,13.558,16.171,748678
2020-04-20 00:00:00,16.13,16.603,14.76,16.228,392889
2020-04-27 00:00:00,16.507,18.006,16.128,17.117,548930
2020-05-04 00:00:00,17.249,17.999,13.666,15.324,234864
2020-05-11 00:00:00,15.324,16.574,14.161,16.304,96122
2020-05-18 00:00:00,16.62,17.325,15.982,15.982,38063
2020-05-25 00:00:00,16.034,18,16,17.016,59866
2020-06-01 00:00:00,17.162,18.207,16.6,17.13,130261
2020-06-08 00:00:00,17.5,17.528,16.166,16.637,119473
2020-06-15 00:00:00,16.195,16.645,15.538,16.048,46342
2020-06-22 00:00:00,16.127,16.59,14.806,15.379,59957
2020-06-29 00:00:00,15.542,15.841,15.136,15.397,22720
2020-07-06 00:00:00,15.843,18.59,15.7,18.212,289661
2020-07-13 00:00:00,18.131,18.994,16.454,18.065,495512
2020-07-20 00:00:00,18.088,20.301,17.366,19.481,710587
2020-07-27 00:00:00,19.57,22.167,18.386,20.96,765440
2020-08-03 00:00:00,20.96,23.471,20.693,22.33,589607
2020-08-10 00:00:00,22.482,23.711,20.546,23.433,554256
2020-08-17 00:00:00,23.325,23.979,21.31,21.823,220807
2020-08-24 00:00:00,21.791,23.8,21.099,23.715,239535
2020-08-31 00:00:00,23.811,25.738,17.853,23.056,933575
2020-09-07 00:00:00,23.054,32.022,20,31.158,1660183
2020-09-14 00:00:00,30.801,33.03,25.078,26.3,1809579
2020-09-21 00:00:00,26.115,26.744,22.399,26.034,590707
2020-09-28 00:00:00,26.365,29.45,25.755,28.852,665858
2020-10-05 00:00:00,28.88,29.088,26.838,27.6,146118
2020-09-28 00:00:00,29.209,29.209,25.755,28.852,459829
2020-10-05 00:00:00,28.88,29.21,26.481,28.473,376953
2020-10-12 00:00:00,28.641,31.834,28.641,30.455,1001516
2020-10-19 00:00:00,30.51,31.252,28.506,29.967,745259
2020-10-26 00:00:00,30.06,32.529,27.495,28.497,973189
2020-11-02 00:00:00,28.6,29.889,25.769,28.353,653888
2020-11-09 00:00:00,28.599,28.907,27.2,27.718,372805
2020-11-16 00:00:00,27.756,31.343,27.328,30.1,727389
2020-11-23 00:00:00,30.096,35.37,26.502,30.122,785953
2020-11-30 00:00:00,30.331,31.964,28.706,29.308,74590
2020-12-07 00:00:00,29.548,29.548,26.711,29.143,297642
2020-12-14 00:00:00,29.11,35.656,28.684,34.19,276274
2020-12-21 00:00:00,34.185,35.616,29.922,33.6,305218
2020-12-28 00:00:00,33.5,41.8,33.4,41.29,745168
2021-01-04 00:00:00,41.431,45.171,38.088,42.49,351372
2021-01-11 00:00:00,42.324,46.646,35.2,45.444,184634
2021-01-18 00:00:00,45.98,47.176,36.9,41.8,214545
2021-01-25 00:00:00,42,45.509,39.8,44.293,84714
2021-02-01 00:00:00,44.293,75,43.65,68.386,553210
2021-02-08 00:00:00,68.052,147.757,67.692,135.615,1202865
2021-02-15 00:00:00,136.507,345,117.001,293.369,2231653
2021-02-22 00:00:00,294.282,294.996,185,209.792,1397550
2021-03-01 00:00:00,210.404,265.307,209.252,240.51,533224
