Date,Open,High,Low,Close,Volume
2019-11-20 00:00:00,176.95,177.5,173.3,174.6,25807
2019-11-21 00:00:00,174.65,175.75,154.9,160.85,70858
2019-11-22 00:00:00,160.05,162.6,137.95,149.65,518027
2019-11-23 00:00:00,149.7,154.05,146.4,151.65,289225
2019-11-24 00:00:00,151.65,152.7,138,139.95,369437
2019-11-25 00:00:00,139.8,150.75,131,144,589528
2019-11-26 00:00:00,144.95,149.1,141.55,147.1,186531
2019-11-27 00:00:00,146.15,155.75,140.3,152.35,607454
2019-11-28 00:00:00,152.5,154.6,149.1,150.7,365842
2019-11-29 00:00:00,150.85,156.85,150.25,154.35,274914
2019-11-30 00:00:00,154.55,155.25,149.1,151.35,164338
2019-12-01 00:00:00,151,152.25,146.2,150.65,836039
2019-12-02 00:00:00,150.8,151.4,146.9,148.75,169539
2019-12-03 00:00:00,148.45,150.15,144.55,147.25,571343
2019-12-04 00:00:00,147.3,152,143.35,145.1,738010
2019-12-05 00:00:00,144.55,148.45,143.4,147.8,199702
2019-12-06 00:00:00,146.7,148.75,145.4,148.35,67910
2019-12-07 00:00:00,148.4,148.9,146.2,146.95,141123
2019-12-08 00:00:00,146.9,151.2,146.2,149.55,247715
2019-12-09 00:00:00,150.05,150.2,146,147.3,211205
2019-12-10 00:00:00,147,147.85,144,145.65,207044
2019-12-11 00:00:00,145.6,146.15,141.5,143.3,288472
2019-12-12 00:00:00,143.15,145.7,139.4,144.75,483427
2019-12-13 00:00:00,144.75,144.75,144.75,144.75,0
2019-12-12 00:00:00,143.15,145.7,139.4,144.75,483427
2019-12-13 00:00:00,144.65,145.3,143.05,144.6,263241
2019-12-14 00:00:00,144.45,144.75,140.7,141.65,673963
2019-12-15 00:00:00,141.65,143.75,139.1,142.55,565383
2019-12-16 00:00:00,142.55,142.85,128.15,132.7,1422972
2019-12-17 00:00:00,132.7,132.85,119.1,121.75,2111588
2019-12-18 00:00:00,121.8,134,114.8,132.6,4166540
2019-12-19 00:00:00,132.75,133.8,125.75,128.05,1000422
2019-12-20 00:00:00,128.2,129.25,126,127.85,924036
2019-12-21 00:00:00,128,128.15,126.65,127.1,267735
2019-12-22 00:00:00,127,132.85,126.95,131.9,850006
2019-12-23 00:00:00,132,134.35,126.25,127.9,1500356
2019-12-24 00:00:00,127.8,129.95,126.8,127.9,759740
2019-12-25 00:00:00,127.8,127.9,123.3,125.05,1113895
2019-12-26 00:00:00,125.05,132.05,124.2,125.55,1134474
2019-12-27 00:00:00,125.55,126.75,122.45,126.1,1220609
2019-12-28 00:00:00,126.1,129.35,125.8,127.9,1008900
2019-12-29 00:00:00,127.85,137.85,127.35,134.2,1461374
2019-12-30 00:00:00,134,135.5,128.3,131.4,2517440
2019-12-31 00:00:00,131.1,133.25,128.1,129.15,1605987
2020-01-01 00:00:00,129.05,132.7,128.55,130.55,1257137
2020-01-02 00:00:00,130.55,130.65,126.5,127.25,1377507
2020-01-03 00:00:00,127.15,134.7,125.75,134.15,2526749
2020-01-04 00:00:00,134.1,135.8,132.5,134.3,783492
2020-01-05 00:00:00,134.2,138.1,134.2,135.5,1664467
2020-01-06 00:00:00,135.5,135.5,135.5,135.5,0
2020-01-07 00:00:00,135.5,135.5,135.5,135.5,0
2020-01-08 00:00:00,135.5,135.5,135.5,135.5,0
2020-01-09 00:00:00,135.5,135.5,135.5,135.5,0
2020-01-10 00:00:00,135.5,135.5,135.5,135.5,0
2020-01-11 00:00:00,135.5,135.5,135.5,135.5,0
2020-01-12 00:00:00,135.5,135.5,135.5,135.5,0
2020-01-13 00:00:00,146.65,146.85,142.5,143.55,922018
2020-01-14 00:00:00,143.5,171.15,143.5,166.25,4514370
2020-01-15 00:00:00,166.05,172.15,159.55,166.7,2577414
2020-01-16 00:00:00,166.7,167.45,159.05,164.8,1335148
2020-01-17 00:00:00,164.95,174.45,162.7,170.3,3406222
2020-01-18 00:00:00,169.85,179.4,165.35,174.65,3622861
2020-01-19 00:00:00,174.55,178.2,162.2,167.3,1990611
2020-01-20 00:00:00,167.25,169.3,161.8,166.95,913036
2020-01-21 00:00:00,167,170.05,165.25,169.3,1450810
2020-01-22 00:00:00,169.4,171.35,166.4,168.45,1312048
2020-01-23 00:00:00,168.35,168.45,159.65,163.3,1107310
2020-01-24 00:00:00,163.5,164.8,156.05,162.75,1128549
2020-01-25 00:00:00,162.8,162.8,158.05,160.65,740031
2020-01-26 00:00:00,160.5,167.8,159.6,167.5,1592263
2020-01-27 00:00:00,167.8,172.15,165.75,170.4,1437141
2020-01-28 00:00:00,170.3,176.3,170.3,175.65,1380393
2020-01-29 00:00:00,175.8,178.5,174,174.1,1492660
2020-01-30 00:00:00,174.15,187,171.05,184.85,2646051
2020-01-31 00:00:00,184.8,185.75,175.8,180.2,2020737
2020-02-01 00:00:00,180.4,184.5,179.75,183.75,2021735
2020-02-02 00:00:00,183.65,193.7,179.45,188.7,3622059
2020-02-03 00:00:00,188.65,195.15,186.9,189.95,3298708
2020-02-04 00:00:00,190.2,191.75,185.25,189.05,1753845
2020-02-05 00:00:00,189.1,208,188.45,204.1,4263246
2020-02-06 00:00:00,204.25,216.5,201.5,213.1,4351248
2020-02-07 00:00:00,213.05,224.8,213.05,223.7,5118252
2020-02-08 00:00:00,223.75,227.95,213.25,223.65,4027217
2020-02-09 00:00:00,223.6,230.75,223.5,228.85,3304180
2020-02-10 00:00:00,228.9,229.7,217.9,223.35,2692733
2020-02-11 00:00:00,223.5,239.65,219,237.5,3527192
2020-02-12 00:00:00,237.65,276.8,237.65,266.2,7112911
2020-02-13 00:00:00,266.75,278.95,256.85,268.95,7321125
2020-02-14 00:00:00,269.1,287.1,262.1,285.7,5004341
2020-02-15 00:00:00,285.65,288.85,263.1,265.7,8144563
2020-02-16 00:00:00,265.85,274.65,237.6,259.2,7816153
2020-02-17 00:00:00,259.15,269.15,242.75,267.9,4940111
2020-02-18 00:00:00,267.9,286,258.8,282.85,6739670
2020-02-19 00:00:00,283.2,286.7,250.1,258.9,5716622
2020-02-20 00:00:00,258,264,246,257.3,5439357
2020-02-21 00:00:00,257.25,268.4,254.35,265.6,4926697
2020-02-22 00:00:00,265.25,266.85,255.6,262.35,2883275
2020-02-23 00:00:00,262.5,276.65,262,274.95,3749591
2020-02-24 00:00:00,275.05,277.6,257.55,266.15,4137039
2020-02-25 00:00:00,266.05,266.75,245.4,247.6,4595419
2020-02-26 00:00:00,247.65,250.8,215.65,224.15,9203344
2020-02-27 00:00:00,224.05,238.5,210.2,228.2,6452631
2020-02-28 00:00:00,228.25,235,213.35,227.25,7044017
2020-02-29 00:00:00,227.15,233.45,217.25,217.5,3326919
2020-03-01 00:00:00,217.35,227.95,212.7,218,6842186
2020-03-02 00:00:00,218.05,234.45,216.35,232.55,8167645
2020-03-03 00:00:00,232.35,232.6,220.55,224.05,6073265
2020-03-04 00:00:00,224.05,228.85,220.85,224.75,3326411
2020-03-05 00:00:00,224.8,234.1,224.8,228.9,4213225
2020-03-06 00:00:00,228.95,245.35,228.1,245.1,6959204
2020-03-07 00:00:00,245.1,251.85,236.7,237.6,8973831
2020-03-08 00:00:00,237.45,237.45,195.55,199.4,12895345
2020-03-09 00:00:00,199.85,208.7,190.5,203,13981066
2020-03-10 00:00:00,202.95,206.4,195.95,200.8,8102802
2020-03-11 00:00:00,200.95,203.25,182,194.75,9074462
2020-03-12 00:00:00,194.8,195.75,99.25,107.1,36602746
2020-03-13 00:00:00,106.8,139,84.1,134,24166239
2020-03-14 00:00:00,133.5,134.6,121.15,122.75,4470345
2020-03-15 00:00:00,122.65,133.75,120.4,123.8,6574397
2020-03-16 00:00:00,123.8,123.8,123.8,123.8,0
2020-03-17 00:00:00,123.8,123.8,123.8,123.8,0
2020-03-18 00:00:00,123.8,123.8,123.8,123.8,0
2020-03-19 00:00:00,123.8,123.8,123.8,123.8,0
2020-03-20 00:00:00,123.8,123.8,123.8,123.8,0
2020-03-21 00:00:00,123.8,123.8,123.8,123.8,0
2020-03-22 00:00:00,123.8,123.8,123.8,123.8,0
2020-03-23 00:00:00,122.4,137.75,118.1,136,5139923
2020-03-24 00:00:00,136.1,143.05,132.65,138.55,5440916
2020-03-25 00:00:00,138.4,142.3,132.55,136.05,4406048
2020-03-26 00:00:00,136.2,139.75,133.2,138.35,4000402
2020-03-27 00:00:00,138.35,141.55,129.25,131.3,3615136
2020-03-28 00:00:00,131.15,132.95,124.55,131.05,4801813
2020-03-29 00:00:00,131.15,131.7,123.85,124.5,3851540
2020-03-30 00:00:00,124.45,135.5,124.05,132,4507182
2020-03-31 00:00:00,132.05,135,130.4,132.75,2687582
2020-04-01 00:00:00,132.7,137.2,128.6,135.65,2945419
2020-04-02 00:00:00,135.65,150,135.25,141.4,6927355
2020-04-03 00:00:00,141.4,146.65,137.25,141.25,4551878
2020-04-04 00:00:00,141,146.15,139,144.15,2372635
2020-04-05 00:00:00,144.2,145.35,140.6,142.9,2234924
2020-04-06 00:00:00,142.85,171.95,142.8,171.2,8106971
2020-04-07 00:00:00,171.15,176.2,162.2,164.7,9338585
2020-04-08 00:00:00,164.65,175.35,163.7,173.1,5823367
2020-04-09 00:00:00,173.15,173.35,164.15,169.6,5492759
2020-04-10 00:00:00,169.6,170.15,151.6,157.75,7058857
2020-04-11 00:00:00,158.05,161,154,158.3,4039807
2020-04-12 00:00:00,158.3,164.95,155.15,158.6,4648759
2020-04-13 00:00:00,158.6,159.2,149.75,156.6,8146470
2020-04-14 00:00:00,156.5,161.55,155.45,158.4,5158466
2020-04-15 00:00:00,158.45,161.1,151.8,152.7,6400736
2020-04-16 00:00:00,152.6,175.45,148.2,172.35,13133897
2020-04-17 00:00:00,172.45,175,168,170.7,5946735
2020-04-18 00:00:00,170.65,189.6,170.55,187.45,9809246
2020-04-19 00:00:00,187.5,188.25,176.5,180.1,9056932
2020-04-20 00:00:00,180.05,186.35,166.95,170.6,11975358
2020-04-21 00:00:00,170.5,174.45,168,171,6366647
2020-04-22 00:00:00,171,184,170.05,182.7,8339993
2020-04-23 00:00:00,182.8,194.75,178.1,185.4,11695042
2020-04-24 00:00:00,185.4,189.7,184.75,187.3,5640189
2020-04-25 00:00:00,187.55,198.4,186,194,8359736
2020-04-26 00:00:00,194,200.75,192.35,197.3,7026466
2020-04-27 00:00:00,197.35,198.75,189.3,196.45,9198515
2020-04-28 00:00:00,196.4,197.35,192.5,196.2,6894850
2020-04-29 00:00:00,196.15,221.25,196.15,215.55,17756489
2020-04-30 00:00:00,215.6,227.75,201.1,206.55,15478205
2020-05-01 00:00:00,206.35,217.45,206.35,212.15,5967244
2020-05-02 00:00:00,212.4,215.7,211,213.9,3525138
2020-05-03 00:00:00,214.05,219.8,205,210.1,6933197
2020-05-04 00:00:00,210.15,210.9,194.8,206.85,9897739
2020-05-05 00:00:00,206.8,212.15,201,205.6,6873193
2020-05-06 00:00:00,205.45,210.95,196.7,199.15,7802151
2020-05-07 00:00:00,199.15,215.95,196.55,212.2,10752300
2020-05-08 00:00:00,212.35,216.8,207.3,211.35,7709291
2020-05-09 00:00:00,211.4,214.7,208.85,210.3,6667134
2020-05-10 00:00:00,210.45,210.45,175.25,187.5,18101611
2020-05-11 00:00:00,187.55,193.3,175.5,185.65,9902796
2020-05-12 00:00:00,185.65,192.1,185.6,189.6,3405617
2020-05-13 00:00:00,189.55,201,188.25,199.3,4491309
2020-05-14 00:00:00,199.35,205.9,195.2,203.25,5529386
2020-05-15 00:00:00,203.2,204,191.4,194.75,3210066
2020-05-16 00:00:00,194.75,203.1,193.35,200.4,3106041
2020-05-17 00:00:00,200.25,209.95,199.6,206.9,2609711
2020-05-18 00:00:00,207,216.9,207,214.45,3546726
2020-05-19 00:00:00,214.65,215.9,209.55,214.45,2801919
2020-05-20 00:00:00,214.5,215.6,206,209.95,3299729
2020-05-21 00:00:00,209.95,211.5,191.8,198.55,5355139
2020-05-22 00:00:00,198.5,209,196.25,207.35,3965373
2020-05-23 00:00:00,207.35,211.25,204.6,206.3,3175029
2020-05-24 00:00:00,206.45,210.3,199.25,199.4,4574120
2020-05-25 00:00:00,199.85,205.5,198,204,3144101
2020-05-26 00:00:00,204,205.05,197,200.9,4001877
2020-05-27 00:00:00,200.95,208.2,200.8,207.85,3833307
2020-05-28 00:00:00,207.9,220.9,204.6,220.25,4960480
2020-05-29 00:00:00,220.15,225.15,217.7,220.15,5991944
2020-05-30 00:00:00,220.15,247.5,218.8,243.85,13804512
2020-05-31 00:00:00,243.75,245.1,229.5,231.3,12918974
2020-06-01 00:00:00,231.3,251.8,230.5,248.55,11106506
2020-06-02 00:00:00,248.6,254.8,225,237.85,12700849
2020-06-03 00:00:00,237.85,244.8,233.35,244.1,4365990
2020-06-04 00:00:00,244.1,246.5,235.95,243.45,8073693
2020-06-05 00:00:00,243.4,248.25,238.65,240.25,5629526
2020-06-06 00:00:00,240.2,244.8,238.25,242.15,4631089
2020-06-07 00:00:00,242.05,245.1,235,244.45,6990225
2020-06-08 00:00:00,244.45,244.45,244.45,244.45,0
2020-06-09 00:00:00,244.45,244.45,244.45,244.45,0
2020-06-10 00:00:00,244.45,244.45,244.45,244.45,0
2020-06-11 00:00:00,244.45,244.45,244.45,244.45,0
2020-06-12 00:00:00,244.45,244.45,244.45,244.45,0
2020-06-13 00:00:00,244.45,244.45,244.45,244.45,0
2020-06-14 00:00:00,244.45,244.45,244.45,244.45,0
2020-06-15 00:00:00,232.05,233.55,218.35,230.7,10421464
2020-06-16 00:00:00,230.95,235.65,228.85,234.95,4215081
2020-06-17 00:00:00,234.95,237,227.5,233.6,5334167
2020-06-18 00:00:00,233.6,234.45,228,231.4,3188140
2020-06-19 00:00:00,231.25,231.9,226.55,229,4398156
