Date,Open,High,Low,Close,Volume
2019-11-18 00:00:00,176.95,177.5,137.95,139.95,1273354
2019-11-25 00:00:00,139.8,156.85,131,150.65,3024646
2019-12-02 00:00:00,150.8,152,143.35,149.55,2135342
2019-12-09 00:00:00,150.05,150.2,139.1,142.55,2692735
2019-12-16 00:00:00,142.55,142.85,114.8,131.9,10743299
2019-12-23 00:00:00,132,137.85,122.45,134.2,8199348
2019-12-30 00:00:00,134,138.1,125.75,135.5,11732779
2020-01-06 00:00:00,135.5,135.5,135.5,135.5,0
2020-01-13 00:00:00,146.65,179.4,142.5,167.3,18368644
2020-01-20 00:00:00,167.25,171.35,156.05,167.5,8244047
2020-01-27 00:00:00,167.8,193.7,165.75,188.7,14620776
2020-02-03 00:00:00,188.65,230.75,185.25,228.85,26116696
2020-02-10 00:00:00,228.9,288.85,217.9,259.2,41619018
2020-02-17 00:00:00,259.15,286.7,242.75,274.95,34395323
2020-02-24 00:00:00,275.05,277.6,210.2,218,41601555
2020-03-02 00:00:00,218.05,251.85,195.55,199.4,50608926
2020-03-09 00:00:00,199.85,208.7,84.1,123.8,102972057
2020-03-16 00:00:00,123.5,153.05,100.5,122.4,61559906
2020-03-23 00:00:00,122.4,143.05,118.1,124.5,31255778
2020-03-30 00:00:00,124.45,150,124.05,142.9,26226975
2020-04-06 00:00:00,142.85,176.2,142.8,158.6,44509105
2020-04-13 00:00:00,158.6,189.6,148.2,180.1,57652482
2020-04-20 00:00:00,180.05,200.75,166.95,197.3,59403431
2020-04-27 00:00:00,197.35,227.75,189.3,210.1,65753638
2020-05-04 00:00:00,210.15,216.8,175.25,187.5,67803419
2020-05-11 00:00:00,187.55,209.95,175.5,206.9,32254926
2020-05-18 00:00:00,207,216.9,191.8,199.4,26718035
2020-05-25 00:00:00,199.85,247.5,197,231.3,48655195
2020-06-01 00:00:00,231.3,254.8,225,244.45,53497878
2020-06-08 00:00:00,244.45,244.45,244.45,244.45,0
2020-06-15 00:00:00,232.05,237,218.35,228.05,33507789
2020-06-22 00:00:00,228.05,248.8,214.55,224.95,48054793
2020-06-29 00:00:00,225,232.35,221.5,227.6,34372450
2020-07-06 00:00:00,227.55,248.75,227,242.6,45244294
